country,variant,freq,year,sexratio_maleperfemale
268,estimates,5yearly,1950,1.076
268,estimates,5yearly,1955,1.076
268,estimates,5yearly,1960,1.076
268,estimates,5yearly,1965,1.076
268,estimates,5yearly,1970,1.076
268,estimates,5yearly,1975,1.076
268,estimates,5yearly,1980,1.076
268,estimates,5yearly,1985,1.076
268,estimates,5yearly,1990,1.076
268,estimates,5yearly,1995,1.111
268,estimates,5yearly,2000,1.11
268,estimates,5yearly,2005,1.11
268,estimates,5yearly,2010,1.106
268,medium_variant,5yearly,2015,1.101
268,medium_variant,5yearly,2020,1.097
268,medium_variant,5yearly,2025,1.093
268,medium_variant,5yearly,2030,1.089
268,medium_variant,5yearly,2035,1.084
268,medium_variant,5yearly,2040,1.08
268,medium_variant,5yearly,2045,1.076
268,medium_variant,5yearly,2050,1.076
268,medium_variant,5yearly,2055,1.076
268,medium_variant,5yearly,2060,1.076
268,medium_variant,5yearly,2065,1.076
268,medium_variant,5yearly,2070,1.076
268,medium_variant,5yearly,2075,1.076
268,medium_variant,5yearly,2080,1.076
268,medium_variant,5yearly,2085,1.076
268,medium_variant,5yearly,2090,1.076
268,medium_variant,5yearly,2095,1.076
