country,variant,freq,year,sexratio_maleperfemale
268,estimates,5Yearly,1950,1.076
268,estimates,5Yearly,1955,1.076
268,estimates,5Yearly,1960,1.076
268,estimates,5Yearly,1965,1.076
268,estimates,5Yearly,1970,1.076
268,estimates,5Yearly,1975,1.076
268,estimates,5Yearly,1980,1.076
268,estimates,5Yearly,1985,1.076
268,estimates,5Yearly,1990,1.076
268,estimates,5Yearly,1995,1.111
268,estimates,5Yearly,2000,1.11
268,estimates,5Yearly,2005,1.11
268,estimates,5Yearly,2010,1.106
268,medium variant,5Yearly,2015,1.101
268,medium variant,5Yearly,2020,1.097
268,medium variant,5Yearly,2025,1.093
268,medium variant,5Yearly,2030,1.089
268,medium variant,5Yearly,2035,1.084
268,medium variant,5Yearly,2040,1.08
268,medium variant,5Yearly,2045,1.076
268,medium variant,5Yearly,2050,1.076
268,medium variant,5Yearly,2055,1.076
268,medium variant,5Yearly,2060,1.076
268,medium variant,5Yearly,2065,1.076
268,medium variant,5Yearly,2070,1.076
268,medium variant,5Yearly,2075,1.076
268,medium variant,5Yearly,2080,1.076
268,medium variant,5Yearly,2085,1.076
268,medium variant,5Yearly,2090,1.076
268,medium variant,5Yearly,2095,1.076
