country,variant,freq,year,sexratio_maleperfemale
554,estimates,5Yearly,1950,1.061
554,estimates,5Yearly,1955,1.054
554,estimates,5Yearly,1960,1.056
554,estimates,5Yearly,1965,1.05
554,estimates,5Yearly,1970,1.05
554,estimates,5Yearly,1975,1.052
554,estimates,5Yearly,1980,1.056
554,estimates,5Yearly,1985,1.051
554,estimates,5Yearly,1990,1.063
554,estimates,5Yearly,1995,1.057
554,estimates,5Yearly,2000,1.047
554,estimates,5Yearly,2005,1.056
554,estimates,5Yearly,2010,1.052
554,medium variant,5Yearly,2015,1.054
554,medium variant,5Yearly,2020,1.054
554,medium variant,5Yearly,2025,1.054
554,medium variant,5Yearly,2030,1.054
554,medium variant,5Yearly,2035,1.054
554,medium variant,5Yearly,2040,1.054
554,medium variant,5Yearly,2045,1.054
554,medium variant,5Yearly,2050,1.054
554,medium variant,5Yearly,2055,1.054
554,medium variant,5Yearly,2060,1.054
554,medium variant,5Yearly,2065,1.054
554,medium variant,5Yearly,2070,1.054
554,medium variant,5Yearly,2075,1.054
554,medium variant,5Yearly,2080,1.054
554,medium variant,5Yearly,2085,1.054
554,medium variant,5Yearly,2090,1.054
554,medium variant,5Yearly,2095,1.054
