country,variant,freq,year,sexratio_maleperfemale
51,Estimates,5yearly,1950,1.061
51,Estimates,5yearly,1955,1.06
51,Estimates,5yearly,1960,1.065
51,Estimates,5yearly,1965,1.064
51,Estimates,5yearly,1970,1.057
51,Estimates,5yearly,1975,1.052
51,Estimates,5yearly,1980,1.05
51,Estimates,5yearly,1985,1.058
51,Estimates,5yearly,1990,1.077
51,Estimates,5yearly,1995,1.151
51,Estimates,5yearly,2000,1.173
51,Estimates,5yearly,2005,1.151
51,Estimates,5yearly,2010,1.138
51,Medium_variant,5yearly,2015,1.129
51,Medium_variant,5yearly,2020,1.119
51,Medium_variant,5yearly,2025,1.109
51,Medium_variant,5yearly,2030,1.098
51,Medium_variant,5yearly,2035,1.088
51,Medium_variant,5yearly,2040,1.077
51,Medium_variant,5yearly,2045,1.067
51,Medium_variant,5yearly,2050,1.067
51,Medium_variant,5yearly,2055,1.067
51,Medium_variant,5yearly,2060,1.067
51,Medium_variant,5yearly,2065,1.067
51,Medium_variant,5yearly,2070,1.067
51,Medium_variant,5yearly,2075,1.067
51,Medium_variant,5yearly,2080,1.067
51,Medium_variant,5yearly,2085,1.067
51,Medium_variant,5yearly,2090,1.067
51,Medium_variant,5yearly,2095,1.067
