country,variant,freq,year,sexratio_maleperfemale
156,estimates,5Yearly,1950,1.07
156,estimates,5Yearly,1955,1.07
156,estimates,5Yearly,1960,1.07
156,estimates,5Yearly,1965,1.07
156,estimates,5Yearly,1970,1.07
156,estimates,5Yearly,1975,1.07
156,estimates,5Yearly,1980,1.07
156,estimates,5Yearly,1985,1.09
156,estimates,5Yearly,1990,1.12
156,estimates,5Yearly,1995,1.14
156,estimates,5Yearly,2000,1.16
156,estimates,5Yearly,2005,1.17
156,estimates,5Yearly,2010,1.16
156,medium variant,5Yearly,2015,1.15
156,medium variant,5Yearly,2020,1.14
156,medium variant,5Yearly,2025,1.13
156,medium variant,5Yearly,2030,1.12
156,medium variant,5Yearly,2035,1.11
156,medium variant,5Yearly,2040,1.1
156,medium variant,5Yearly,2045,1.09
156,medium variant,5Yearly,2050,1.08
156,medium variant,5Yearly,2055,1.07
156,medium variant,5Yearly,2060,1.07
156,medium variant,5Yearly,2065,1.07
156,medium variant,5Yearly,2070,1.07
156,medium variant,5Yearly,2075,1.07
156,medium variant,5Yearly,2080,1.07
156,medium variant,5Yearly,2085,1.07
156,medium variant,5Yearly,2090,1.07
156,medium variant,5Yearly,2095,1.07
