country,variant,year,potentialsupport2064_65
788,estimates,1950,10.3281901584654
788,estimates,1955,11.5046381346195
788,estimates,1960,11.6506026416111
788,estimates,1965,11.9962026656042
788,estimates,1970,11.4900967060907
788,estimates,1975,11.3048965437298
788,estimates,1980,10.9662713388685
788,estimates,1985,10.1817624220269
788,estimates,1990,9.77617485957506
788,estimates,1995,9.00942270404188
788,estimates,2000,7.87230370348817
788,estimates,2005,7.65917851386494
788,estimates,2010,8.06957563777563
788,constantfertility,2015,8.12711556918467
788,constantmortality,2015,8.12711556918467
788,estimates,2015,8.12711556918467
788,highvariant,2015,8.12711556918467
788,instantreplacement,2015,8.12711556918467
788,lowvariant,2015,8.12711556918467
788,mediumvariant,2015,8.12711556918467
788,nochange,2015,8.12711556918467
788,zeromigration,2015,8.12711556918467
788,constantfertility,2020,6.91952152081446
788,constantmortality,2020,7.0098762861116
788,highvariant,2020,6.91952152081446
788,instantreplacement,2020,6.91952152081446
788,lowvariant,2020,6.91952152081446
788,mediumvariant,2020,6.91952152081446
788,nochange,2020,7.0098762861116
788,zeromigration,2020,6.93196776359973
788,constantfertility,2025,5.72660234519742
788,constantmortality,2025,5.90330832621852
788,highvariant,2025,5.72660234519742
788,instantreplacement,2025,5.72660234519742
788,lowvariant,2025,5.72660234519742
788,mediumvariant,2025,5.72660234519742
788,nochange,2025,5.90330832621852
788,zeromigration,2025,5.74830312648119
788,constantfertility,2030,4.76836984829793
788,constantmortality,2030,5.01660282002791
788,highvariant,2030,4.76836984829793
788,instantreplacement,2030,4.76836984829793
788,lowvariant,2030,4.76836984829793
788,mediumvariant,2030,4.76836984829793
788,nochange,2030,5.01660282002791
788,zeromigration,2030,4.79551385391872
788,constantfertility,2035,4.13855233021029
788,constantmortality,2035,4.46145134328742
788,highvariant,2035,4.13855233021029
788,instantreplacement,2035,4.13855233021029
788,lowvariant,2035,4.13855233021029
788,mediumvariant,2035,4.13855233021029
788,nochange,2035,4.46145134328742
788,zeromigration,2035,4.16896778753782
788,constantfertility,2040,3.80590448965169
788,constantmortality,2040,4.19870435387961
788,highvariant,2040,3.84060265771358
788,instantreplacement,2040,3.79276082840402
788,lowvariant,2040,3.72917809030334
788,mediumvariant,2040,3.7848901332997
788,nochange,2040,4.22212038527772
788,zeromigration,2040,3.81876414482378
788,constantfertility,2045,3.43331776925112
788,constantmortality,2045,3.85773467602478
788,highvariant,2045,3.50806395251369
788,instantreplacement,2045,3.40959733618375
788,lowvariant,2045,3.25563426207599
788,mediumvariant,2045,3.38184910729484
788,nochange,2045,3.91675573771872
788,zeromigration,2045,3.41805607759577
788,constantfertility,2050,3.01085727125331
788,constantmortality,2050,3.42575220326916
788,highvariant,2050,3.119948331908
788,instantreplacement,2050,2.9796468791313
788,lowvariant,2050,2.73817887784452
788,mediumvariant,2050,2.92906398378571
788,nochange,2050,3.52201333999988
788,zeromigration,2050,2.9661574549784
788,constantfertility,2055,2.65712424327739
788,constantmortality,2055,3.05413010134984
788,highvariant,2055,2.7862203380379
788,instantreplacement,2055,2.61951116841643
788,lowvariant,2055,2.30613756268336
788,mediumvariant,2055,2.54609598459285
788,nochange,2055,3.18823293346206
788,zeromigration,2055,2.58265367145948
788,constantfertility,2060,2.497954043889
788,constantmortality,2060,2.91643050457383
788,highvariant,2060,2.64757139687958
788,instantreplacement,2060,2.4518834850115
788,lowvariant,2060,2.058135031821
788,mediumvariant,2060,2.35197882618157
