continent,variant,year,dependencyratio2564
935,estimates,1950,146.05484751449
935,estimates,1955,152.608719481369
935,estimates,1960,155.469596258669
935,estimates,1965,161.333369396774
935,estimates,1970,170.487840417025
935,estimates,1975,171.873512136045
935,estimates,1980,161.167313030953
935,estimates,1985,152.738501250552
935,estimates,1990,143.39963505651
935,estimates,1995,130.223595134272
935,estimates,2000,118.306426008833
935,estimates,2005,110.613049870333
935,estimates,2010,101.913933673947
935,constant-fertility,2015,93.5509738565978
935,constant-mortality,2015,93.5509738565978
935,estimates,2015,93.5509738565978
935,high variant,2015,93.5509738565978
935,instant-replacement,2015,93.5509738565978
935,low variant,2015,93.5509738565978
935,medium variant,2015,93.5509738565978
935,no change,2015,93.5509738565978
935,zero-migration,2015,93.5509738565978
935,constant-fertility,2020,90.9305507121273
935,constant-mortality,2020,90.1370139546175
935,high variant,2020,92.1023506476419
935,instant-replacement,2020,90.8267168557831
935,low variant,2020,88.5868581601024
935,medium variant,2020,90.3469065683426
935,no change,2020,90.7167970637123
935,zero-migration,2020,90.3523243055798
935,constant-fertility,2025,90.9647760822002
935,constant-mortality,2025,88.6594651505203
935,high variant,2025,93.5764706546361
935,instant-replacement,2025,90.3269690217958
935,low variant,2025,84.9653781156149
935,medium variant,2025,89.2737127257121
935,no change,2025,90.3330612023233
935,zero-migration,2025,89.2698714468251
935,constant-fertility,2030,93.1433749110212
935,constant-mortality,2030,88.6166117631146
935,high variant,2030,97.2036078910585
935,instant-replacement,2030,91.6418994697996
935,low variant,2030,82.5409122855924
935,medium variant,2030,89.8757501932556
935,no change,2030,91.8415411655491
935,zero-migration,2030,89.8259213111228
935,constant-fertility,2035,96.9237653606613
935,constant-mortality,2035,89.4001701418597
935,high variant,2035,101.941370391869
935,instant-replacement,2035,94.2259877711428
935,low variant,2035,81.2552040634274
935,medium variant,2035,91.5949165467714
935,no change,2035,94.6473200212184
935,zero-migration,2035,91.5056279559737
935,constant-fertility,2040,100.500788548264
935,constant-mortality,2040,89.1659969770316
935,high variant,2040,106.198515232114
935,instant-replacement,2040,96.2360438648787
935,low variant,2040,79.1053356747454
935,medium variant,2040,92.5753579751486
935,no change,2040,96.9542137623121
935,zero-migration,2040,92.5154736829065
935,constant-fertility,2045,102.581436437717
935,constant-mortality,2045,87.8338140281546
935,high variant,2045,106.81607516068
935,instant-replacement,2045,96.541745333258
935,low variant,2045,78.3673543474531
935,medium variant,2045,92.5133065595661
935,no change,2045,97.7234110751218
935,zero-migration,2045,92.5246087513069
935,constant-fertility,2050,106.262977423561
935,constant-mortality,2050,88.2379798972125
935,high variant,2050,108.467932881101
935,instant-replacement,2050,98.8685644055767
935,low variant,2050,80.4892377866258
935,medium variant,2050,94.3320596890562
935,no change,2050,99.9868602750357
935,zero-migration,2050,94.3427623071692
935,constant-fertility,2055,112.453593083879
935,constant-mortality,2055,90.9961471071492
935,high variant,2055,112.249017524162
935,instant-replacement,2055,103.869070654331
935,low variant,2055,86.009678073471
935,medium variant,2055,98.7666854931667
935,no change,2055,104.55972032954
935,zero-migration,2055,98.6712194359673
935,constant-fertility,2060,116.911967538561
935,constant-mortality,2060,92.203975946113
935,high variant,2060,114.732371034614
935,instant-replacement,2060,107.202794613032
935,low variant,2060,90.1364146291179
935,medium variant,2060,101.689778299751
935,no change,2060,107.454478719273
935,zero-migration,2060,101.456836034054
935,constant-fertility,2065,118.971113508752
935,constant-mortality,2065,91.4642315535829
935,high variant,2065,114.887575859035
935,instant-replacement,2065,108.234235033061
935,low variant,2065,92.6303754364599
935,medium variant,2065,102.572481704885
935,no change,2065,108.156422781972
935,zero-migration,2065,102.274780607797
935,constant-fertility,2070,120.33305523666
935,constant-mortality,2070,90.4975612636743
935,high variant,2070,113.896041062507
935,instant-replacement,2070,108.649822975551
935,low variant,2070,95.8049430724009
935,medium variant,2070,103.16653058259
935,no change,2070,108.358363906963
935,zero-migration,2070,102.864450784998
935,constant-fertility,2075,121.850969441186
935,constant-mortality,2075,90.3010421496965
935,high variant,2075,112.579188175231
935,instant-replacement,2075,109.243452953588
935,low variant,2075,101.132435550139
935,medium variant,2075,104.424485470127
935,no change,2075,108.97492357312
935,zero-migration,2075,104.104075222464
935,constant-fertility,2080,123.675539902226
935,constant-mortality,2080,91.2254438939199
935,high variant,2080,111.501275877745
935,instant-replacement,2080,110.299351928349
935,low variant,2080,109.431302832566
935,medium variant,2080,106.695843128086
935,no change,2080,110.17633101117
935,zero-migration,2080,106.298395383287
935,constant-fertility,2085,125.785237913111
935,constant-mortality,2085,92.3867068181856
935,high variant,2085,112.748367292371
935,instant-replacement,2085,112.455015727096
935,low variant,2085,115.183117659616
935,medium variant,2085,109.227994125916
935,no change,2085,111.691621829529
935,zero-migration,2085,108.71239454397
935,constant-fertility,2090,127.530083798738
935,constant-mortality,2090,92.88292457397
935,high variant,2090,114.549668037164
935,instant-replacement,2090,114.12255763021
935,low variant,2090,118.273080955768
935,medium variant,2090,111.19026798231
935,no change,2090,112.778540045858
935,zero-migration,2090,110.622956596107
935,constant-fertility,2095,129.029578546759
935,constant-mortality,2095,92.8045182610852
935,high variant,2095,116.279331297264
935,instant-replacement,2095,115.402438110025
935,low variant,2095,119.590607985514
935,medium variant,2095,112.729501497661
935,no change,2095,113.525350888844
935,zero-migration,2095,112.174117965342
935,constant-fertility,2100,130.512597808485
935,constant-mortality,2100,92.6298710881317
935,high variant,2100,117.119476167072
935,instant-replacement,2100,116.461860386314
935,low variant,2100,121.81799101057
935,medium variant,2100,114.194179310542
935,no change,2100,114.282336337257
935,zero-migration,2100,113.665313583265
