variant,global,year,populationnaturalchange
Estimates,900,1950,45234.083
Estimates,900,1951,45522.238
Estimates,900,1952,46160.148
Estimates,900,1953,46921.209
Estimates,900,1954,47805.42
Estimates,900,1955,48814.945
Estimates,900,1956,49955.979
Estimates,900,1957,51231.157
Estimates,900,1958,52648.777
Estimates,900,1959,54226.792
Estimates,900,1960,55979.018
Estimates,900,1961,57910.958
Estimates,900,1962,60012.347
Estimates,900,1963,62244.586
Estimates,900,1964,64539.959
Estimates,900,1965,66802.772
Estimates,900,1966,68930.484
Estimates,900,1967,70841.088
Estimates,900,1968,72470.963
Estimates,900,1969,73780.932
Estimates,900,1970,74727.388
Estimates,900,1971,75292.375
Estimates,900,1972,75551.178
Estimates,900,1973,75605.215
Estimates,900,1974,75544.807
Estimates,900,1975,75490.418
Estimates,900,1976,75563.75
Estimates,900,1977,75847.712
Estimates,900,1978,76402.334
Estimates,900,1979,77264.058
Estimates,900,1980,78487.028
Estimates,900,1981,80100.172
Estimates,900,1982,82006.053
Estimates,900,1983,84062.264
Estimates,900,1984,86129.802
Estimates,900,1985,88000.463
Estimates,900,1986,89456.596
Estimates,900,1987,90370.055
Estimates,900,1988,90671.873
Estimates,900,1989,90347.239
Estimates,900,1990,89428.996
Estimates,900,1991,88013.25
Estimates,900,1992,86307.019
Estimates,900,1993,84515.605
Estimates,900,1994,82778.191
Estimates,900,1995,81225.245
Estimates,900,1996,79945.319
Estimates,900,1997,78942.802
Estimates,900,1998,78217.244
Estimates,900,1999,77790.926
Estimates,900,2000,77674.247
Estimates,900,2001,77852.794
Estimates,900,2002,78257.503
Estimates,900,2003,78813.733
Estimates,900,2004,79467.873
Estimates,900,2005,80175.712
Estimates,900,2006,80906.214
Estimates,900,2007,81634.281
Estimates,900,2008,82324.959
Estimates,900,2009,82932.884
Estimates,900,2010,83414.612
Estimates,900,2011,83739.411
Estimates,900,2012,83903.193
Estimates,900,2013,83903.911
Estimates,900,2014,83733.185
Estimates,900,2015,83382.253
Medium_variant,900,2015,83382.253
Medium_variant,900,2016,82849.661
Medium_variant,900,2017,82159.372
Medium_variant,900,2018,81342.048
Medium_variant,900,2019,80424.605
Medium_variant,900,2020,79434.854
Medium_variant,900,2021,78397.661
Medium_variant,900,2022,77334.389
Medium_variant,900,2023,76267.31
Medium_variant,900,2024,75218.374
Medium_variant,900,2025,74204.627
Medium_variant,900,2026,73233.513
Medium_variant,900,2027,72297.056
Medium_variant,900,2028,71388.246
Medium_variant,900,2029,70507.498
Medium_variant,900,2030,69655.028
Medium_variant,900,2031,68829.367
Medium_variant,900,2032,68023.988
Medium_variant,900,2033,67231.151
Medium_variant,900,2034,66444.238
Medium_variant,900,2035,65657.808
Medium_variant,900,2036,64867.948
Medium_variant,900,2037,64071.107
Medium_variant,900,2038,63262.424
Medium_variant,900,2039,62435.777
Medium_variant,900,2040,61584.816
Medium_variant,900,2041,60704.701
Medium_variant,900,2042,59794.685
Medium_variant,900,2043,58854.755
Medium_variant,900,2044,57884.484
Medium_variant,900,2045,56883.977
Medium_variant,900,2046,55854.492
Medium_variant,900,2047,54800.554
Medium_variant,900,2048,53727.071
Medium_variant,900,2049,52638.017
Medium_variant,900,2050,51534.097
Medium_variant,900,2051,50414.332
Medium_variant,900,2052,49280.511
Medium_variant,900,2053,48137.83
Medium_variant,900,2054,46994.173
Medium_variant,900,2055,45858.052
Medium_variant,900,2056,44737.386
Medium_variant,900,2057,43639.291
Medium_variant,900,2058,42571.091
Medium_variant,900,2059,41539.635
Medium_variant,900,2060,40552.538
Medium_variant,900,2061,39615.108
Medium_variant,900,2062,38724.508
Medium_variant,900,2063,37875.665
Medium_variant,900,2064,37064.113
Medium_variant,900,2065,36283.668
Medium_variant,900,2066,35527.105
Medium_variant,900,2067,34785.938
Medium_variant,900,2068,34051.996
Medium_variant,900,2069,33319.091
Medium_variant,900,2070,32582.497
Medium_variant,900,2071,31840.31
Medium_variant,900,2072,31095.14
Medium_variant,900,2073,30349.219
Medium_variant,900,2074,29602.621
Medium_variant,900,2075,28854.455
Medium_variant,900,2076,28103.844
Medium_variant,900,2077,27352.661
Medium_variant,900,2078,26604.189
Medium_variant,900,2079,25862.173
Medium_variant,900,2080,25132.564
Medium_variant,900,2081,24421.639
Medium_variant,900,2082,23732.963
Medium_variant,900,2083,23068.225
Medium_variant,900,2084,22427.421
Medium_variant,900,2085,21809.965
Medium_variant,900,2086,21213.769
Medium_variant,900,2087,20632.433
Medium_variant,900,2088,20058.776
Medium_variant,900,2089,19486.88
Medium_variant,900,2090,18911.309
Medium_variant,900,2091,18327.667
Medium_variant,900,2092,17732.776
Medium_variant,900,2093,17124.248
Medium_variant,900,2094,16500.543
Medium_variant,900,2095,15860.605
Medium_variant,900,2096,15203.705
Medium_variant,900,2097,14529.708
Medium_variant,900,2098,13838.667
Medium_variant,900,2099,13130.527
