global,variant,year,medianageofpopulation
900,estimates,1950,23.5322873304663
900,estimates,1955,23.087135017378
900,estimates,1960,22.6390089059188
900,estimates,1965,21.9397068691126
900,estimates,1970,21.4888703181693
900,estimates,1975,21.8325149565985
900,estimates,1980,22.5334808970315
900,estimates,1985,23.2534066207489
900,estimates,1990,23.9921536405261
900,estimates,1995,25.0511634064097
900,estimates,2000,26.3020740619012
900,estimates,2005,27.4153042209622
900,estimates,2010,28.5282667457654
900,constant-fertility,2015,29.6355860643426
900,constant-mortality,2015,29.6355860643426
900,estimates,2015,29.6355860643426
900,high variant,2015,29.6355860643426
900,instant-replacement,2015,29.6355860643426
900,low variant,2015,29.6355860643426
900,medium variant,2015,29.6355860643426
900,no change,2015,29.6355860643426
900,zero-migration,2015,29.6355860643426
900,constant-fertility,2020,30.8099368719636
900,constant-mortality,2020,30.9072112061257
900,high variant,2020,30.6487140483243
900,instant-replacement,2020,31.2092437634893
900,low variant,2020,31.2233236527363
900,medium variant,2020,30.9357889865516
900,no change,2020,30.7824247471755
900,zero-migration,2020,30.943984926975
900,constant-fertility,2025,31.708806684975
900,constant-mortality,2025,32.023727639569
900,high variant,2025,31.3491917940994
900,instant-replacement,2025,32.6433066668128
900,low variant,2025,32.8693601100359
900,medium variant,2025,32.1089802777498
900,no change,2025,31.6295918294253
900,zero-migration,2025,32.1189245892713
900,constant-fertility,2030,32.2519441171436
900,constant-mortality,2030,32.9266270721497
900,high variant,2030,31.7143321636458
900,instant-replacement,2030,33.8993836021211
900,low variant,2030,34.4964267569059
900,medium variant,2030,33.1049876064881
900,no change,2030,32.0919162002499
900,zero-migration,2030,33.1128667002583
900,constant-fertility,2035,32.4673165452663
900,constant-mortality,2035,33.6141944354743
900,high variant,2035,31.933790322565
900,instant-replacement,2035,34.9157396091365
900,low variant,2035,35.9092275059981
900,medium variant,2035,33.9076836121463
900,no change,2035,32.2147695210822
900,zero-migration,2035,33.9147656273118
900,constant-fertility,2040,32.4593028538112
900,constant-mortality,2040,34.2085870453331
900,high variant,2040,32.0777900936088
900,instant-replacement,2040,35.8879838909851
900,low variant,2040,37.2733700479666
900,medium variant,2040,34.6296992739982
900,no change,2040,32.1169548580497
900,zero-migration,2040,34.6364431136376
900,constant-fertility,2045,32.2531602048833
900,constant-mortality,2045,34.7944779604974
900,high variant,2045,32.1323635414104
900,instant-replacement,2045,36.8773083302445
900,low variant,2045,38.6499387405661
900,medium variant,2045,35.3667308481789
900,no change,2045,31.8367322083557
