global,variant,gender,freq,year,lifeexpectancyat80
900,estimates,female,5Yearly,1950,5.53493582164997
900,estimates,male,5Yearly,1950,4.89049891387644
900,estimates,female,5Yearly,1955,5.64750684173321
900,estimates,male,5Yearly,1955,4.95122761143223
900,estimates,female,5Yearly,1960,5.99154815381435
900,estimates,male,5Yearly,1960,5.20534960736901
900,estimates,female,5Yearly,1965,6.30182759571422
900,estimates,male,5Yearly,1965,5.42376521925502
900,estimates,female,5Yearly,1970,6.46913920202463
900,estimates,male,5Yearly,1970,5.49795998443247
900,estimates,female,5Yearly,1975,6.75296639803964
900,estimates,male,5Yearly,1975,5.60760858728007
900,estimates,female,5Yearly,1980,6.97385332754546
900,estimates,male,5Yearly,1980,5.73522180268043
900,estimates,female,5Yearly,1985,7.19391952201925
900,estimates,male,5Yearly,1985,5.88331683478958
900,estimates,female,5Yearly,1990,7.42503355378884
900,estimates,male,5Yearly,1990,6.12099258265526
900,estimates,female,5Yearly,1995,7.61541878337733
900,estimates,male,5Yearly,1995,6.31190985520918
900,estimates,female,5Yearly,2000,7.89896612270858
900,estimates,male,5Yearly,2000,6.63175991167907
900,estimates,female,5Yearly,2005,8.26988723292733
900,estimates,male,5Yearly,2005,6.95472319993087
900,estimates,female,5Yearly,2010,8.50751257637264
900,estimates,male,5Yearly,2010,7.25290557822415
900,medium variant,female,5Yearly,2015,8.75836598362352
900,medium variant,male,5Yearly,2015,7.50263023503044
900,medium variant,female,5Yearly,2020,9.02176661248497
900,medium variant,male,5Yearly,2020,7.75035005866574
900,medium variant,female,5Yearly,2025,9.28634967324011
900,medium variant,male,5Yearly,2025,7.99486344316331
900,medium variant,female,5Yearly,2030,9.55444467743308
900,medium variant,male,5Yearly,2030,8.21091145111945
900,medium variant,female,5Yearly,2035,9.78319604034184
900,medium variant,male,5Yearly,2035,8.42098299672314
900,medium variant,female,5Yearly,2040,9.98367331769729
900,medium variant,male,5Yearly,2040,8.6717196885054
900,medium variant,female,5Yearly,2045,10.2201192286729
900,medium variant,male,5Yearly,2045,8.94095777915408
900,medium variant,female,5Yearly,2050,10.4340603162877
900,medium variant,male,5Yearly,2050,9.19685774286859
900,medium variant,female,5Yearly,2055,10.6210917260902
900,medium variant,male,5Yearly,2055,9.4153095591368
900,medium variant,female,5Yearly,2060,10.8113669106353
900,medium variant,male,5Yearly,2060,9.62586105546016
900,medium variant,female,5Yearly,2065,10.9790851839168
900,medium variant,male,5Yearly,2065,9.84209268689095
900,medium variant,female,5Yearly,2070,11.1491925877645
900,medium variant,male,5Yearly,2070,10.039981749364
900,medium variant,female,5Yearly,2075,11.3139043035222
900,medium variant,male,5Yearly,2075,10.2251551280364
900,medium variant,female,5Yearly,2080,11.4637758855462
900,medium variant,male,5Yearly,2080,10.3742659806382
900,medium variant,female,5Yearly,2085,11.6096007401989
900,medium variant,male,5Yearly,2085,10.5484203386927
900,medium variant,female,5Yearly,2090,11.7799039771897
900,medium variant,male,5Yearly,2090,10.7359652114469
900,medium variant,female,5Yearly,2095,11.9464077521379
900,medium variant,male,5Yearly,2095,10.9249409121644
