region,variant,freq,year,populationgrowthrate
921,Estimates,5yearly,1950,1.758
921,Estimates,5yearly,1955,2.04
921,Estimates,5yearly,1960,2.214
921,Estimates,5yearly,1965,2.289
921,Estimates,5yearly,1970,2.318
921,Estimates,5yearly,1975,2.389
921,Estimates,5yearly,1980,2.403
921,Estimates,5yearly,1985,2.291
921,Estimates,5yearly,1990,2.037
921,Estimates,5yearly,1995,1.869
921,Estimates,5yearly,2000,1.681
921,Estimates,5yearly,2005,1.481
921,Estimates,5yearly,2010,1.37
921,Constant_fertility,5yearly,2015,1.369
921,Constant_mortality,5yearly,2015,1.193
921,High_variant,5yearly,2015,1.441
921,Instant_replacement,5yearly,2015,1.112
921,Low_variant,5yearly,2015,1.054
921,Medium_variant,5yearly,2015,1.248
921,No_change,5yearly,2015,1.313
921,Zero_migration,5yearly,2015,1.31
921,Constant_fertility,5yearly,2020,1.307
921,Constant_mortality,5yearly,2020,0.992
921,High_variant,5yearly,2020,1.376
921,Instant_replacement,5yearly,2020,1.041
921,Low_variant,5yearly,2020,0.793
921,Medium_variant,5yearly,2020,1.09
921,No_change,5yearly,2020,1.207
921,Zero_migration,5yearly,2020,1.151
921,Constant_fertility,5yearly,2025,1.222
921,Constant_mortality,5yearly,2025,0.8
921,High_variant,5yearly,2025,1.267
921,Instant_replacement,5yearly,2025,0.948
921,Low_variant,5yearly,2025,0.577
921,Medium_variant,5yearly,2025,0.933
921,No_change,5yearly,2025,1.087
921,Zero_migration,5yearly,2025,0.994
921,Constant_fertility,5yearly,2030,1.134
921,Constant_mortality,5yearly,2030,0.624
921,High_variant,5yearly,2030,1.104
921,Instant_replacement,5yearly,2030,0.847
921,Low_variant,5yearly,2030,0.447
921,Medium_variant,5yearly,2030,0.791
921,No_change,5yearly,2030,0.966
921,Zero_migration,5yearly,2030,0.848
921,Constant_fertility,5yearly,2035,1.067
921,Constant_mortality,5yearly,2035,0.459
921,High_variant,5yearly,2035,0.993
921,Instant_replacement,5yearly,2035,0.731
921,Low_variant,5yearly,2035,0.3
921,Medium_variant,5yearly,2035,0.66
921,No_change,5yearly,2035,0.866
921,Zero_migration,5yearly,2035,0.715
921,Constant_fertility,5yearly,2040,1.031
921,Constant_mortality,5yearly,2040,0.306
921,High_variant,5yearly,2040,0.94
921,Instant_replacement,5yearly,2040,0.615
921,Low_variant,5yearly,2040,0.131
921,Medium_variant,5yearly,2040,0.543
921,No_change,5yearly,2040,0.799
921,Zero_migration,5yearly,2040,0.597
921,Constant_fertility,5yearly,2045,1.003
921,Constant_mortality,5yearly,2045,0.153
921,High_variant,5yearly,2045,0.892
921,Instant_replacement,5yearly,2045,0.521
921,Low_variant,5yearly,2045,-0.049
921,Medium_variant,5yearly,2045,0.425
921,No_change,5yearly,2045,0.743
921,Zero_migration,5yearly,2045,0.481
921,Constant_fertility,5yearly,2050,0.977
921,Constant_mortality,5yearly,2050,0.003
921,High_variant,5yearly,2050,0.824
921,Instant_replacement,5yearly,2050,0.449
921,Low_variant,5yearly,2050,-0.21
921,Medium_variant,5yearly,2050,0.312
921,No_change,5yearly,2050,0.688
921,Zero_migration,5yearly,2050,0.368
921,Constant_fertility,5yearly,2055,0.948
921,Constant_mortality,5yearly,2055,-0.143
921,High_variant,5yearly,2055,0.736
921,Instant_replacement,5yearly,2055,0.381
921,Low_variant,5yearly,2055,-0.356
921,Medium_variant,5yearly,2055,0.203
921,No_change,5yearly,2055,0.638
921,Zero_migration,5yearly,2055,0.257
921,Constant_fertility,5yearly,2060,0.931
921,Constant_mortality,5yearly,2060,-0.273
921,High_variant,5yearly,2060,0.66
921,Instant_replacement,5yearly,2060,0.31
921,Low_variant,5yearly,2060,-0.495
921,Medium_variant,5yearly,2060,0.102
921,No_change,5yearly,2060,0.606
921,Zero_migration,5yearly,2060,0.155
921,Constant_fertility,5yearly,2065,0.938
921,Constant_mortality,5yearly,2065,-0.385
921,High_variant,5yearly,2065,0.617
921,Instant_replacement,5yearly,2065,0.249
921,Low_variant,5yearly,2065,-0.628
921,Medium_variant,5yearly,2065,0.019
921,No_change,5yearly,2065,0.6
921,Zero_migration,5yearly,2065,0.071
921,Constant_fertility,5yearly,2070,0.957
921,Constant_mortality,5yearly,2070,-0.478
921,High_variant,5yearly,2070,0.592
921,Instant_replacement,5yearly,2070,0.198
921,Low_variant,5yearly,2070,-0.765
921,Medium_variant,5yearly,2070,-0.055
921,No_change,5yearly,2070,0.615
921,Zero_migration,5yearly,2070,-0.005
921,Constant_fertility,5yearly,2075,0.986
921,Constant_mortality,5yearly,2075,-0.556
921,High_variant,5yearly,2075,0.575
921,Instant_replacement,5yearly,2075,0.165
921,Low_variant,5yearly,2075,-0.893
921,Medium_variant,5yearly,2075,-0.117
921,No_change,5yearly,2075,0.64
921,Zero_migration,5yearly,2075,-0.068
921,Constant_fertility,5yearly,2080,1.019
921,Constant_mortality,5yearly,2080,-0.623
921,High_variant,5yearly,2080,0.555
921,Instant_replacement,5yearly,2080,0.146
921,Low_variant,5yearly,2080,-1.01
921,Medium_variant,5yearly,2080,-0.17
921,No_change,5yearly,2080,0.67
921,Zero_migration,5yearly,2080,-0.123
921,Constant_fertility,5yearly,2085,1.06
921,Constant_mortality,5yearly,2085,-0.68
921,High_variant,5yearly,2085,0.535
921,Instant_replacement,5yearly,2085,0.14
921,Low_variant,5yearly,2085,-1.109
921,Medium_variant,5yearly,2085,-0.21
921,No_change,5yearly,2085,0.701
921,Zero_migration,5yearly,2085,-0.164
921,Constant_fertility,5yearly,2090,1.103
921,Constant_mortality,5yearly,2090,-0.725
921,High_variant,5yearly,2090,0.514
921,Instant_replacement,5yearly,2090,0.133
921,Low_variant,5yearly,2090,-1.202
921,Medium_variant,5yearly,2090,-0.248
921,No_change,5yearly,2090,0.736
921,Zero_migration,5yearly,2090,-0.203
921,Constant_fertility,5yearly,2095,1.144
921,Constant_mortality,5yearly,2095,-0.756
921,High_variant,5yearly,2095,0.494
921,Instant_replacement,5yearly,2095,0.125
921,Low_variant,5yearly,2095,-1.29
921,Medium_variant,5yearly,2095,-0.284
921,No_change,5yearly,2095,0.773
921,Zero_migration,5yearly,2095,-0.241
