country,year,variant,freq,age5yearinterval,fertilityrateper1000women
768,1950,estimates,5yearly,15_19,162.059
768,1950,estimates,5yearly,20_24,328.376
768,1950,estimates,5yearly,25_29,293.51
768,1950,estimates,5yearly,30_34,242.861
768,1950,estimates,5yearly,35_39,150.822
768,1950,estimates,5yearly,40_44,78.053
768,1950,estimates,5yearly,45_49,11.199
768,1955,estimates,5yearly,15_19,154.171
768,1955,estimates,5yearly,20_24,315.328
768,1955,estimates,5yearly,25_29,291.002
768,1955,estimates,5yearly,30_34,247.722
768,1955,estimates,5yearly,35_39,164.946
768,1955,estimates,5yearly,40_44,92.163
768,1955,estimates,5yearly,45_49,19.008
768,1960,estimates,5yearly,15_19,149.133
768,1960,estimates,5yearly,20_24,306.821
768,1960,estimates,5yearly,25_29,292.626
768,1960,estimates,5yearly,30_34,256.241
768,1960,estimates,5yearly,35_39,182.845
768,1960,estimates,5yearly,40_44,110.207
768,1960,estimates,5yearly,45_49,32.487
768,1965,estimates,5yearly,15_19,145.732
768,1965,estimates,5yearly,20_24,297.279
768,1965,estimates,5yearly,25_29,293.754
768,1965,estimates,5yearly,30_34,264.147
768,1965,estimates,5yearly,35_39,202.214
768,1965,estimates,5yearly,40_44,131.442
768,1965,estimates,5yearly,45_49,52.832
768,1970,estimates,5yearly,15_19,144.996
768,1970,estimates,5yearly,20_24,287.183
768,1970,estimates,5yearly,25_29,294.441
768,1970,estimates,5yearly,30_34,268.87
768,1970,estimates,5yearly,35_39,219.819
768,1970,estimates,5yearly,40_44,152.467
768,1970,estimates,5yearly,45_49,71.944
768,1975,estimates,5yearly,15_19,144.196
768,1975,estimates,5yearly,20_24,279.048
768,1975,estimates,5yearly,25_29,294.547
768,1975,estimates,5yearly,30_34,267.9
768,1975,estimates,5yearly,35_39,229.755
768,1975,estimates,5yearly,40_44,161.733
768,1975,estimates,5yearly,45_49,78.181
768,1980,estimates,5yearly,15_19,138.427
768,1980,estimates,5yearly,20_24,272.493
768,1980,estimates,5yearly,25_29,290.544
768,1980,estimates,5yearly,30_34,261.103
768,1980,estimates,5yearly,35_39,227.597
768,1980,estimates,5yearly,40_44,149.309
768,1980,estimates,5yearly,45_49,71.867
768,1985,estimates,5yearly,15_19,127.014
768,1985,estimates,5yearly,20_24,263.51
768,1985,estimates,5yearly,25_29,281.47
768,1985,estimates,5yearly,30_34,250.32
768,1985,estimates,5yearly,35_39,215.618
768,1985,estimates,5yearly,40_44,126.802
768,1985,estimates,5yearly,45_49,59.706
768,1990,estimates,5yearly,15_19,109.663
768,1990,estimates,5yearly,20_24,245.223
768,1990,estimates,5yearly,25_29,267.398
768,1990,estimates,5yearly,30_34,234.243
768,1990,estimates,5yearly,35_39,194.67
768,1990,estimates,5yearly,40_44,106.69
768,1990,estimates,5yearly,45_49,46.013
768,1995,estimates,5yearly,15_19,96.979
768,1995,estimates,5yearly,20_24,231.062
768,1995,estimates,5yearly,25_29,259.475
768,1995,estimates,5yearly,30_34,220.162
768,1995,estimates,5yearly,35_39,174.971
768,1995,estimates,5yearly,40_44,90.636
768,1995,estimates,5yearly,45_49,35.675
768,2000,estimates,5yearly,15_19,93.552
768,2000,estimates,5yearly,20_24,227.039
768,2000,estimates,5yearly,25_29,258.348
768,2000,estimates,5yearly,30_34,211.311
768,2000,estimates,5yearly,35_39,162.037
768,2000,estimates,5yearly,40_44,80.912
768,2000,estimates,5yearly,45_49,28.081
768,2005,estimates,5yearly,15_19,92.74
768,2005,estimates,5yearly,20_24,220.792
