variant,country,year,totalpopulationannualdoubletime
Estimates,388,1950,28.983
Estimates,388,1951,30.396
Estimates,388,1952,34.01
Estimates,388,1953,39.132
Estimates,388,1954,45.897
Estimates,388,1955,54.02
Estimates,388,1956,62.052
Estimates,388,1957,67.004
Estimates,388,1958,66.004
Estimates,388,1959,59.715
Estimates,388,1960,51.898
Estimates,388,1961,45.631
Estimates,388,1962,42.218
Estimates,388,1963,42.018
Estimates,388,1964,44.788
Estimates,388,1965,49.919
Estimates,388,1966,55.994
Estimates,388,1967,60.453
Estimates,388,1968,60.608
Estimates,388,1969,56.552
Estimates,388,1970,51.18
Estimates,388,1971,46.898
Estimates,388,1972,44.741
Estimates,388,1973,45.032
Estimates,388,1974,47.711
Estimates,388,1975,52.526
Estimates,388,1976,58.466
Estimates,388,1977,62.373
Estimates,388,1978,60.826
Estimates,388,1979,54.899
Estimates,388,1980,48.144
Estimates,388,1981,43.142
Estimates,388,1982,41.306
Estimates,388,1983,43.455
Estimates,388,1984,50.636
Estimates,388,1985,64.907
Estimates,388,1986,89.158
Estimates,388,1987,121.701
Estimates,388,1988,141.387
Estimates,388,1989,128.265
Estimates,388,1990,105.505
Estimates,388,1991,90.137
Estimates,388,1992,81.342
Estimates,388,1993,76.817
Estimates,388,1994,75.741
Estimates,388,1995,75.957
Estimates,388,1996,75.876
Estimates,388,1997,76.568
Estimates,388,1998,79.624
Estimates,388,1999,85.426
Estimates,388,2000,93.949
Estimates,388,2001,104.616
Estimates,388,2002,115.923
Estimates,388,2003,125.481
Estimates,388,2004,131.592
Estimates,388,2005,135.503
Estimates,388,2006,139.637
Estimates,388,2007,144.751
Estimates,388,2008,150.853
Estimates,388,2009,158.249
Estimates,388,2010,166.781
Estimates,388,2011,175.719
Estimates,388,2012,183.632
Estimates,388,2013,189.042
Estimates,388,2014,191.77
Estimates,388,2015,193.029
Medium_variant,388,2015,193.029
Medium_variant,388,2016,194.797
Medium_variant,388,2017,199.632
Medium_variant,388,2018,210.034
Medium_variant,388,2019,228.042
Medium_variant,388,2020,253.778
Medium_variant,388,2021,286.974
Medium_variant,388,2022,332.6
Medium_variant,388,2023,403.123
Medium_variant,388,2024,522.116
Medium_variant,388,2025,756.149
Medium_variant,388,2026,1382.612
Medium_variant,388,2027,6313.721
Medium_variant,388,2028,-2963.826
Medium_variant,388,2029,-1316.988
Medium_variant,388,2030,-879.458
Medium_variant,388,2031,-665.174
Medium_variant,388,2032,-536.409
Medium_variant,388,2033,-451.332
Medium_variant,388,2034,-390.922
Medium_variant,388,2035,-345.98
Medium_variant,388,2036,-311.811
Medium_variant,388,2037,-285.785
Medium_variant,388,2038,-265.988
Medium_variant,388,2039,-250.627
Medium_variant,388,2040,-237.996
Medium_variant,388,2041,-226.88
Medium_variant,388,2042,-216.718
Medium_variant,388,2043,-207.221
Medium_variant,388,2044,-198.224
Medium_variant,388,2045,-189.867
Medium_variant,388,2046,-182.115
Medium_variant,388,2047,-174.501
Medium_variant,388,2048,-166.689
Medium_variant,388,2049,-158.784
Medium_variant,388,2050,-151.16
Medium_variant,388,2051,-144.101
Medium_variant,388,2052,-137.585
Medium_variant,388,2053,-131.531
Medium_variant,388,2054,-125.911
Medium_variant,388,2055,-120.684
Medium_variant,388,2056,-115.835
Medium_variant,388,2057,-111.379
Medium_variant,388,2058,-107.33
Medium_variant,388,2059,-103.665
Medium_variant,388,2060,-100.292
Medium_variant,388,2061,-97.148
Medium_variant,388,2062,-94.237
Medium_variant,388,2063,-91.559
Medium_variant,388,2064,-89.101
Medium_variant,388,2065,-86.822
Medium_variant,388,2066,-84.679
Medium_variant,388,2067,-82.665
Medium_variant,388,2068,-80.767
Medium_variant,388,2069,-78.976
Medium_variant,388,2070,-77.293
Medium_variant,388,2071,-75.706
Medium_variant,388,2072,-74.18
Medium_variant,388,2073,-72.688
Medium_variant,388,2074,-71.231
Medium_variant,388,2075,-69.829
Medium_variant,388,2076,-68.516
Medium_variant,388,2077,-67.301
Medium_variant,388,2078,-66.19
Medium_variant,388,2079,-65.183
Medium_variant,388,2080,-64.264
Medium_variant,388,2081,-63.423
Medium_variant,388,2082,-62.665
Medium_variant,388,2083,-61.991
Medium_variant,388,2084,-61.406
Medium_variant,388,2085,-60.897
Medium_variant,388,2086,-60.458
Medium_variant,388,2087,-60.118
Medium_variant,388,2088,-59.909
Medium_variant,388,2089,-59.825
Medium_variant,388,2090,-59.841
Medium_variant,388,2091,-59.925
Medium_variant,388,2092,-60.049
Medium_variant,388,2093,-60.202
Medium_variant,388,2094,-60.381
Medium_variant,388,2095,-60.588
Medium_variant,388,2096,-60.837
Medium_variant,388,2097,-61.135
Medium_variant,388,2098,-61.5
Medium_variant,388,2099,-61.949
