country,variant,freq,year,meanageforchildbearing
804,Estimates,5yearly,1950,28.167
804,Estimates,5yearly,1955,27.693
804,Estimates,5yearly,1960,27.223
804,Estimates,5yearly,1965,26.74
804,Estimates,5yearly,1970,26.234
804,Estimates,5yearly,1975,25.718
804,Estimates,5yearly,1980,25.227
804,Estimates,5yearly,1985,24.812
804,Estimates,5yearly,1990,24.596
804,Estimates,5yearly,1995,24.659
804,Estimates,5yearly,2000,25.514
804,Estimates,5yearly,2005,26.411
804,Estimates,5yearly,2010,27.131
804,Medium_variant,5yearly,2015,28.731
804,Medium_variant,5yearly,2020,29.366
804,Medium_variant,5yearly,2025,29.862
804,Medium_variant,5yearly,2030,30.236
804,Medium_variant,5yearly,2035,30.501
804,Medium_variant,5yearly,2040,30.564
804,Medium_variant,5yearly,2045,30.569
804,Medium_variant,5yearly,2050,30.574
804,Medium_variant,5yearly,2055,30.586
804,Medium_variant,5yearly,2060,30.586
804,Medium_variant,5yearly,2065,30.586
804,Medium_variant,5yearly,2070,30.588
804,Medium_variant,5yearly,2075,30.591
804,Medium_variant,5yearly,2080,30.593
804,Medium_variant,5yearly,2085,30.593
804,Medium_variant,5yearly,2090,30.593
804,Medium_variant,5yearly,2095,30.588
