variant,region,year,totalsurvivors_under_one_yearage
Estimates,931,1950,4204.725
Estimates,931,1951,4252.128
Estimates,931,1952,4351.115
Estimates,931,1953,4458.253
Estimates,931,1954,4573.617
Estimates,931,1955,4697.059
Estimates,931,1956,4827.875
Estimates,931,1957,4964.977
Estimates,931,1958,5106.225
Estimates,931,1959,5247.892
Estimates,931,1960,5385.551
Estimates,931,1961,5514.53
Estimates,931,1962,5630.164
Estimates,931,1963,5729.281
Estimates,931,1964,5811.03
Estimates,931,1965,5875.191
Estimates,931,1966,5923.14
Estimates,931,1967,5960.473
Estimates,931,1968,5993.571
Estimates,931,1969,6027.558
Estimates,931,1970,6069.527
Estimates,931,1971,6126.216
Estimates,931,1972,6199.822
Estimates,931,1973,6290.415
Estimates,931,1974,6396.898
Estimates,931,1975,6516.181
Estimates,931,1976,6643.271
Estimates,931,1977,6770.623
Estimates,931,1978,6891.135
Estimates,931,1979,7000.065
Estimates,931,1980,7093.324
Estimates,931,1981,7168.739
Estimates,931,1982,7227.863
Estimates,931,1983,7272.376
Estimates,931,1984,7302.624
Estimates,931,1985,7318.487
Estimates,931,1986,7320.087
Estimates,931,1987,7309.746
Estimates,931,1988,7290.824
Estimates,931,1989,7266.852
Estimates,931,1990,7242.606
Estimates,931,1991,7222.775
Estimates,931,1992,7209.757
Estimates,931,1993,7204.804
Estimates,931,1994,7208.348
Estimates,931,1995,7220.236
Estimates,931,1996,7239.067
Estimates,931,1997,7260.431
Estimates,931,1998,7279.447
Estimates,931,1999,7292.3
Estimates,931,2000,7292.931
Estimates,931,2001,7275.401
Estimates,931,2002,7238.494
Estimates,931,2003,7183.496
Estimates,931,2004,7113.162
Estimates,931,2005,7033.743
Estimates,931,2006,6953.509
Estimates,931,2007,6880.35
Estimates,931,2008,6819.957
Estimates,931,2009,6774.602
Estimates,931,2010,6743.86
Estimates,931,2011,6724.39
Estimates,931,2012,6709.528
Estimates,931,2013,6693.69
Estimates,931,2014,6674.512
Estimates,931,2015,6650.577
Medium_variant,931,2015,6650.577
Medium_variant,931,2016,6621.827
Medium_variant,931,2017,6590.046
Medium_variant,931,2018,6556.665
Medium_variant,931,2019,6521.872
Medium_variant,931,2020,6485.754
Medium_variant,931,2021,6448.347
Medium_variant,931,2022,6409.731
Medium_variant,931,2023,6370.107
Medium_variant,931,2024,6329.749
Medium_variant,931,2025,6288.921
Medium_variant,931,2026,6247.828
Medium_variant,931,2027,6206.679
Medium_variant,931,2028,6165.688
Medium_variant,931,2029,6125.098
Medium_variant,931,2030,6085.112
Medium_variant,931,2031,6045.833
Medium_variant,931,2032,6007.244
Medium_variant,931,2033,5969.326
Medium_variant,931,2034,5932.138
Medium_variant,931,2035,5895.71
Medium_variant,931,2036,5860.049
Medium_variant,931,2037,5825.092
Medium_variant,931,2038,5790.795
Medium_variant,931,2039,5757.124
Medium_variant,931,2040,5724.103
Medium_variant,931,2041,5691.751
Medium_variant,931,2042,5660.063
Medium_variant,931,2043,5628.969
Medium_variant,931,2044,5598.387
Medium_variant,931,2045,5568.202
Medium_variant,931,2046,5538.294
Medium_variant,931,2047,5508.568
Medium_variant,931,2048,5478.941
Medium_variant,931,2049,5449.362
Medium_variant,931,2050,5419.814
Medium_variant,931,2051,5390.318
Medium_variant,931,2052,5360.95
Medium_variant,931,2053,5331.773
Medium_variant,931,2054,5302.79
Medium_variant,931,2055,5273.971
Medium_variant,931,2056,5245.272
Medium_variant,931,2057,5216.673
Medium_variant,931,2058,5188.184
Medium_variant,931,2059,5159.861
Medium_variant,931,2060,5131.786
Medium_variant,931,2061,5104.057
Medium_variant,931,2062,5076.762
Medium_variant,931,2063,5049.966
Medium_variant,931,2064,5023.702
Medium_variant,931,2065,4998.001
Medium_variant,931,2066,4972.851
Medium_variant,931,2067,4948.18
Medium_variant,931,2068,4923.915
Medium_variant,931,2069,4900.003
Medium_variant,931,2070,4876.401
Medium_variant,931,2071,4853.07
Medium_variant,931,2072,4829.984
Medium_variant,931,2073,4807.112
Medium_variant,931,2074,4784.422
Medium_variant,931,2075,4761.883
Medium_variant,931,2076,4739.476
Medium_variant,931,2077,4717.218
Medium_variant,931,2078,4695.127
Medium_variant,931,2079,4673.214
Medium_variant,931,2080,4651.514
Medium_variant,931,2081,4630.083
Medium_variant,931,2082,4608.943
Medium_variant,931,2083,4588.095
Medium_variant,931,2084,4567.528
Medium_variant,931,2085,4547.197
Medium_variant,931,2086,4527.034
Medium_variant,931,2087,4506.987
Medium_variant,931,2088,4487.014
Medium_variant,931,2089,4467.122
Medium_variant,931,2090,4447.329
Medium_variant,931,2091,4427.687
Medium_variant,931,2092,4408.236
Medium_variant,931,2093,4389.028
Medium_variant,931,2094,4370.099
Medium_variant,931,2095,4351.478
Medium_variant,931,2096,4333.174
Medium_variant,931,2097,4315.19
Medium_variant,931,2098,4297.542
Medium_variant,931,2099,4280.217
