region,variant,year,medianageofpopulation
920,estimates,1950,20.4595967798143
920,estimates,1955,20.2358168209265
920,estimates,1960,19.5566167411711
920,estimates,1965,18.5799315868039
920,estimates,1970,18.0859240069236
920,estimates,1975,18.3707530238378
920,estimates,1980,19.0866132350868
920,estimates,1985,19.9996882627666
920,estimates,1990,21.2899464438877
920,estimates,1995,22.5863485682324
920,estimates,2000,24.1820009682474
920,estimates,2005,25.4677979947345
920,estimates,2010,27.3913375672598
920,constant-fertility,2015,28.8300748435115
920,constant-mortality,2015,28.8300748435115
920,estimates,2015,28.8300748435115
920,high variant,2015,28.8300748435115
920,instant-replacement,2015,28.8300748435115
920,low variant,2015,28.8300748435115
920,medium variant,2015,28.8300748435115
920,no change,2015,28.8300748435115
920,zero-migration,2015,28.8300748435115
920,constant-fertility,2020,30.0426329797516
920,constant-mortality,2020,30.1594179185921
920,high variant,2020,29.8860665508971
920,instant-replacement,2020,30.3254627740655
920,low variant,2020,30.4998542071164
920,medium variant,2020,30.186735701585
920,no change,2020,30.0157091445633
920,zero-migration,2020,30.1332943218996
920,constant-fertility,2025,31.2725169678692
920,constant-mortality,2025,31.5867535980178
920,high variant,2025,30.8979044239275
920,instant-replacement,2025,31.848216719874
920,low variant,2025,32.4426885935937
920,medium variant,2025,31.666991516714
920,no change,2025,31.1939993418108
920,zero-migration,2025,31.575106911463
920,constant-fertility,2030,32.3226711606798
920,constant-mortality,2030,32.9064267463577
920,high variant,2030,31.7066610236673
920,instant-replacement,2030,33.2412328360127
920,low variant,2030,34.453897724297
920,medium variant,2030,33.0760238512011
920,no change,2030,32.1572969778073
920,zero-migration,2030,32.9506037818027
920,constant-fertility,2035,33.1563061357937
920,constant-mortality,2035,34.07069061555
920,high variant,2035,32.3741580461046
920,instant-replacement,2035,34.4678144719264
920,low variant,2035,36.3783092783349
920,medium variant,2035,34.3681336547593
920,no change,2035,32.8670047663697
920,zero-migration,2035,34.2180185431968
920,constant-fertility,2040,33.7344565391996
920,constant-mortality,2040,35.0625789315426
920,high variant,2040,32.8256489252499
920,instant-replacement,2040,35.5349570454746
920,low variant,2040,38.2104320801042
920,medium variant,2040,35.5254405266926
920,no change,2040,33.2866957401009
920,zero-migration,2040,35.3565186161497
920,constant-fertility,2045,34.0846305688116
920,constant-mortality,2045,35.8882108850665
920,high variant,2045,33.1131389548092
920,instant-replacement,2045,36.4350681946844
920,low variant,2045,39.982866534102
920,medium variant,2045,36.5439062939039
920,no change,2045,33.4826278298364
920,zero-migration,2045,36.3564890770591
920,constant-fertility,2050,34.3928715252543
920,constant-mortality,2050,36.7505800657851
920,high variant,2050,33.4372610465913
920,instant-replacement,2050,37.3201241022164
920,low variant,2050,41.7375033525821
920,medium variant,2050,37.5764048091133
920,no change,2050,33.6218112422772
920,zero-migration,2050,37.3730029040377
920,constant-fertility,2055,34.6332813534076
920,constant-mortality,2055,37.5249109420182
920,high variant,2055,33.8822152472842
920,instant-replacement,2055,38.0256259604658
920,low variant,2055,43.5669056784464
920,medium variant,2055,38.5876250141835
920,no change,2055,33.6723823419013
920,zero-migration,2055,38.3544863647752
920,constant-fertility,2060,34.7795489424338
920,constant-mortality,2060,38.1622193432175
920,high variant,2060,34.3459591853477
920,instant-replacement,2060,38.4814453140075
920,low variant,2060,45.4884705077206
920,medium variant,2060,39.4984380803258
920,no change,2060,33.6156645257559
920,zero-migration,2060,39.2388270659978
920,constant-fertility,2065,34.8271373004468
920,constant-mortality,2065,38.6638202781911
920,high variant,2065,34.7928396916981
920,instant-replacement,2065,38.8836998438259
920,low variant,2065,47.034904016594
920,medium variant,2065,40.2870843204696
920,no change,2065,33.4673894544854
920,zero-migration,2065,40.0172580249209
920,constant-fertility,2070,34.8145379686703
920,constant-mortality,2070,39.05649858704
920,high variant,2070,35.1283090473851
920,instant-replacement,2070,39.2452902846332
920,low variant,2070,48.333040907164
920,medium variant,2070,40.9702693744682
920,no change,2070,33.2736335036025
920,zero-migration,2070,40.6980829483713
920,constant-fertility,2075,34.7779816389259
920,constant-mortality,2075,39.3815535276553
920,high variant,2075,35.4203463824027
920,instant-replacement,2075,39.5836602368095
920,low variant,2075,49.36317587526
920,medium variant,2075,41.5888201904101
920,no change,2075,33.0710243329889
920,zero-migration,2075,41.3194941940737
920,constant-fertility,2080,34.7374815801152
920,constant-mortality,2080,39.663823115828
920,high variant,2080,35.717261078469
920,instant-replacement,2080,39.8834271636861
920,low variant,2080,50.1447843599904
920,medium variant,2080,42.1650549581216
920,no change,2080,32.8751088466544
920,zero-migration,2080,41.8992960022187
920,constant-fertility,2085,34.7000417789772
920,constant-mortality,2085,39.9084004683602
920,high variant,2085,36.0535896727291
920,instant-replacement,2085,40.1505753028587
920,low variant,2085,50.9165007976542
920,medium variant,2085,42.7102037378008
920,no change,2085,32.6893681352622
920,zero-migration,2085,42.4458271932914
920,constant-fertility,2090,34.6716519905549
920,constant-mortality,2090,40.1079654804093
920,high variant,2090,36.430736656995
920,instant-replacement,2090,40.4144458409073
920,low variant,2090,51.67941872533
920,medium variant,2090,43.2297119529841
920,no change,2090,32.5117995035948
920,zero-migration,2090,42.9647626486623
920,constant-fertility,2095,34.6591458864601
920,constant-mortality,2095,40.2465770208892
920,high variant,2095,36.8255301538934
920,instant-replacement,2095,40.6908092137982
920,low variant,2095,52.4103028734948
920,medium variant,2095,43.7239500157371
920,no change,2095,32.337747287405
920,zero-migration,2095,43.4585905477688
920,constant-fertility,2100,34.6599619222164
920,constant-mortality,2100,40.3274466876767
920,high variant,2100,37.2039680286401
920,instant-replacement,2100,40.9939658418928
920,low variant,2100,53.0780199048325
920,medium variant,2100,44.1845080685099
920,no change,2100,32.1625107593918
920,zero-migration,2100,43.9222845182804
