global,variant,year,populationdensitypersqkm
900,Estimates,1950,19.410188949557
900,Estimates,1951,19.7693000497618
900,Estimates,1952,20.1234507447885
900,Estimates,1953,20.4777223293168
900,Estimates,1954,20.836299661671
900,Estimates,1955,21.2024714174833
900,Estimates,1956,21.5785965216603
900,Estimates,1957,21.9661375165608
900,Estimates,1958,22.365759959347
900,Estimates,1959,22.7774980329917
900,Estimates,1960,23.2012514023603
900,Estimates,1961,23.6373156383252
900,Estimates,1962,24.0868458594057
900,Estimates,1963,24.55205548035
900,Estimates,1964,25.0356531039636
900,Estimates,1965,25.5391860497599
900,Estimates,1966,26.0633485541616
900,Estimates,1967,26.606476166974
900,Estimates,1968,27.1647165432609
900,Estimates,1969,27.7327566251735
900,Estimates,1970,28.3063585773132
900,Estimates,1971,28.8847632025416
900,Estimates,1972,29.4678817189076
900,Estimates,1973,30.0530525972567
900,Estimates,1974,30.6373351103371
900,Estimates,1975,31.21895645554
900,Estimates,1976,31.7965606211612
900,Estimates,1977,32.3713784555711
900,Estimates,1978,32.9475773143665
900,Estimates,1979,33.5310560164172
900,Estimates,1980,34.1263404119199
900,Estimates,1981,34.7333597289767
900,Estimates,1982,35.3513845873484
900,Estimates,1983,35.9832901924382
900,Estimates,1984,36.6324135003487
900,Estimates,1985,37.3002613675467
900,Estimates,1986,37.9883449243314
900,Estimates,1987,38.6935951208631
900,Estimates,1988,39.4071387353733
900,Estimates,1989,40.1169740699969
900,Estimates,1990,40.8140828770721
900,Estimates,1991,41.4955981452697
900,Estimates,1992,42.1627043641772
900,Estimates,1993,42.8155407561923
900,Estimates,1994,43.4556202887473
900,Estimates,1995,44.0844516323817
900,Estimates,1996,44.7014609866562
900,Estimates,1997,45.3068908608149
900,Estimates,1998,45.9043643348184
900,Estimates,1999,46.4987220466087
900,Estimates,2000,47.0938064636494
900,Estimates,2001,47.6909793703936
900,Estimates,2002,48.2904768269028
900,Estimates,2003,48.8936015757112
900,Estimates,2004,49.501452191612
900,Estimates,2005,50.1148043521339
900,Estimates,2006,50.7342363852113
900,Estimates,2007,51.3598383872292
900,Estimates,2008,51.9911169457694
900,Estimates,2009,52.6271696134388
900,Estimates,2010,53.2670570464496
900,Estimates,2011,53.9104533804512
900,Estimates,2012,54.5567045115375
900,Estimates,2013,55.2040416649563
900,Estimates,2014,55.8502728566158
900,Constant_fertility,2015,56.4935473095253
900,Constant_mortality,2015,56.4935473095253
900,Estimates,2015,56.4935473095253
900,High_variant,2015,56.4935473095253
900,Instant_replacement,2015,56.4935473095253
900,Low_variant,2015,56.4935473095253
900,Medium_variant,2015,56.4935473095253
900,No_change,2015,56.4935473095253
900,Zero_migration,2015,56.4935473095253
900,Constant_fertility,2016,57.1577418109716
900,Constant_mortality,2016,57.1141197563711
900,High_variant,2016,57.1954560301461
900,Instant_replacement,2016,57.0653038500253
900,Low_variant,2016,57.0704494213
900,Medium_variant,2016,57.1330169984748
900,No_change,2016,57.1387304513923
900,Zero_migration,2016,57.1332485694752
900,Constant_fertility,2017,57.8291064119577
900,Constant_mortality,2017,57.7216627408902
900,High_variant,2017,57.9202533372891
900,Instant_replacement,2017,57.6046397279173
900,Low_variant,2017,57.6156429632075
900,Medium_variant,2017,57.768102949843
900,No_change,2017,57.7823329363153
900,Zero_migration,2017,57.7686680258223
900,Constant_fertility,2018,58.5061371846682
900,Constant_mortality,2018,58.3155333357096
900,High_variant,2018,58.662506659532
900,Instant_replacement,2018,58.1199549225812
900,Low_variant,2018,58.1321409563738
900,Medium_variant,2018,58.3975814408758
900,No_change,2018,58.4233740965437
900,Zero_migration,2018,58.3985940240083
900,Constant_fertility,2019,59.1866414916374
900,Constant_mortality,2019,58.8956712229098
900,High_variant,2019,59.4140983594727
900,Instant_replacement,2019,58.6240523601638
900,Low_variant,2019,58.6255982653155
900,Medium_variant,2019,59.0202013609323
900,No_change,2019,59.0607838828095
900,Zero_migration,2019,59.0217865530581
900,Constant_fertility,2020,59.8690392216806
900,Constant_mortality,2020,59.4619677887274
900,High_variant,2020,60.1688500358068
900,Instant_replacement,2020,59.126402284542
900,Low_variant,2020,59.1003029813962
900,Medium_variant,2020,59.63500396487
900,No_change,2020,59.6937665167355
900,Zero_migration,2020,59.6372903806734
900,Constant_fertility,2021,60.5530105906658
900,Constant_mortality,2021,60.013643097175
900,High_variant,2021,60.9246954904033
900,Instant_replacement,2021,59.6293755197098
900,Low_variant,2021,59.5569141741618
900,Medium_variant,2021,60.2412715178746
900,No_change,2021,60.3218784882779
900,Zero_migration,2021,60.2443894477511
900,Constant_fertility,2022,61.2390948163487
900,Constant_mortality,2022,60.5499891525495
900,High_variant,2022,61.6824902968594
900,Instant_replacement,2022,60.1304714893501
900,Low_variant,2022,59.9941661665822
900,Medium_variant,2022,60.8388012665675
900,No_change,2022,60.9450998195762
900,Zero_migration,2022,60.8428664729571
900,Constant_fertility,2023,61.9276313378785
900,Constant_mortality,2023,61.0712038271433
900,High_variant,2023,62.4423875905888
900,Instant_replacement,2023,60.6285173031797
900,Low_variant,2023,60.4124005808433
900,Medium_variant,2023,61.4278626007544
900,No_change,2023,61.5636445712166
900,Zero_migration,2023,61.4329553640635
900,Constant_fertility,2024,62.6192449188403
900,Constant_mortality,2024,61.5777891425339
900,High_variant,2024,63.2054035444359
900,Instant_replacement,2024,61.1208926330189
900,Low_variant,2024,60.811763403682
900,Medium_variant,2024,62.0090687692704
900,No_change,2024,62.1779750857777
900,Zero_migration,2024,62.0152212277967
900,Constant_fertility,2025,63.3145066539379
900,Constant_mortality,2025,62.0701453784886
900,High_variant,2025,63.9719588080529
900,Instant_replacement,2025,61.6057209820149
900,Low_variant,2025,61.192769293691
900,Medium_variant,2025,62.5829046061219
900,No_change,2025,62.7885146187199
900,Zero_migration,2025,62.5901094036466
900,Constant_fertility,2026,64.013680383144
900,Constant_mortality,2026,62.5482007100247
900,High_variant,2026,64.74182776767
900,Instant_replacement,2026,62.0831405579147
900,Low_variant,2026,61.5556356090717
900,Medium_variant,2026,63.1493247518031
900,No_change,2026,63.3954143145886
900,Zero_migration,2026,63.157557429091
900,Constant_fertility,2027,64.7169766926341
900,Constant_mortality,2027,63.0118339094238
900,High_variant,2027,65.5133879581153
900,Instant_replacement,2027,62.5543098075999
900,Low_variant,2027,61.9017920467044
900,Medium_variant,2027,63.7081982548582
900,No_change,2027,63.998804271611
900,Zero_migration,2027,63.7174241831048
900,Constant_fertility,2028,65.4249144840862
900,Constant_mortality,2028,63.4613786046527
900,High_variant,2028,66.2841058192317
900,Instant_replacement,2028,63.0194389867159
900,Low_variant,2028,62.2344048092492
900,Medium_variant,2028,64.2598670526295
900,No_change,2028,64.5991213969131
900,Zero_migration,2028,64.2700273513376
900,Constant_fertility,2029,66.1380970058753
900,Constant_mortality,2029,63.8972736475853
900,High_variant,2029,67.0507937023292
900,Instant_replacement,2029,63.4788192923752
900,Low_variant,2029,62.5574631118953
900,Medium_variant,2029,64.8047703967019
900,No_change,2029,65.1968938547057
900,Zero_migration,2029,64.8157805346928
