country,variant,year,population
654,estimates,1950,4.972
654,estimates,1951,5.01
654,estimates,1952,5.018
654,estimates,1953,5.005
654,estimates,1954,4.98
654,estimates,1955,4.946
654,estimates,1956,4.909
654,estimates,1957,4.87
654,estimates,1958,4.831
654,estimates,1959,4.791
654,estimates,1960,4.75
654,estimates,1961,4.708
654,estimates,1962,4.67
654,estimates,1963,4.64
654,estimates,1964,4.623
654,estimates,1965,4.627
654,estimates,1966,4.652
654,estimates,1967,4.696
654,estimates,1968,4.754
654,estimates,1969,4.82
654,estimates,1970,4.885
654,estimates,1971,4.95
654,estimates,1972,5.014
654,estimates,1973,5.076
654,estimates,1974,5.131
654,estimates,1975,5.178
654,estimates,1976,5.215
654,estimates,1977,5.242
654,estimates,1978,5.264
654,estimates,1979,5.291
654,estimates,1980,5.329
654,estimates,1981,5.379
654,estimates,1982,5.438
654,estimates,1983,5.499
654,estimates,1984,5.551
654,estimates,1985,5.586
654,estimates,1986,5.603
654,estimates,1987,5.603
654,estimates,1988,5.589
654,estimates,1989,5.564
654,estimates,1990,5.531
654,estimates,1991,5.488
654,estimates,1992,5.435
654,estimates,1993,5.378
654,estimates,1994,5.328
654,estimates,1995,5.287
654,estimates,1996,5.264
654,estimates,1997,5.255
654,estimates,1998,5.242
654,estimates,1999,5.199
654,estimates,2000,5.113
654,estimates,2001,4.972
654,estimates,2002,4.788
654,estimates,2003,4.587
654,estimates,2004,4.408
654,estimates,2005,4.274
654,estimates,2006,4.199
654,estimates,2007,4.173
654,estimates,2008,4.177
654,estimates,2009,4.184
654,estimates,2010,4.173
654,estimates,2011,4.139
654,estimates,2012,4.09
654,estimates,2013,4.034
654,estimates,2014,3.987
654,constant_fertility,2015,3.961
654,constant_mortality,2015,3.961
654,estimates,2015,3.961
654,high_variant,2015,3.961
654,instant_replacement,2015,3.961
654,low_variant,2015,3.961
654,medium_variant,2015,3.961
654,no_change,2015,3.961
654,zero_migration,2015,3.961
654,constant_fertility,2016,3.958
654,constant_mortality,2016,3.955
654,high_variant,2016,3.96
654,instant_replacement,2016,3.964
654,low_variant,2016,3.954
654,medium_variant,2016,3.956
654,no_change,2016,3.956
654,zero_migration,2016,3.956
654,constant_fertility,2017,3.972
654,constant_mortality,2017,3.966
654,high_variant,2017,3.98
654,instant_replacement,2017,3.987
654,low_variant,2017,3.962
654,medium_variant,2017,3.97
654,no_change,2017,3.968
654,zero_migration,2017,3.97
654,constant_fertility,2018,3.999
654,constant_mortality,2018,3.988
654,high_variant,2018,4.013
654,instant_replacement,2018,4.024
654,low_variant,2018,3.98
654,medium_variant,2018,3.996
654,no_change,2018,3.992
654,zero_migration,2018,3.996
654,constant_fertility,2019,4.031
654,constant_mortality,2019,4.014
654,high_variant,2019,4.051
654,instant_replacement,2019,4.066
