variant,country,year,totalsurvivors_under_one_yearage
Estimates,600,1950,62.246
Estimates,600,1951,62.775
Estimates,600,1952,63.862
Estimates,600,1953,65.002
Estimates,600,1954,66.199
Estimates,600,1955,67.453
Estimates,600,1956,68.769
Estimates,600,1957,70.144
Estimates,600,1958,71.581
Estimates,600,1959,73.082
Estimates,600,1960,74.643
Estimates,600,1961,76.262
Estimates,600,1962,77.918
Estimates,600,1963,79.585
Estimates,600,1964,81.221
Estimates,600,1965,82.731
Estimates,600,1966,84.004
Estimates,600,1967,85.009
Estimates,600,1968,85.775
Estimates,600,1969,86.372
Estimates,600,1970,86.937
Estimates,600,1971,87.644
Estimates,600,1972,88.654
Estimates,600,1973,90.086
Estimates,600,1974,91.998
Estimates,600,1975,94.416
Estimates,600,1976,97.319
Estimates,600,1977,100.57
Estimates,600,1978,104.023
Estimates,600,1979,107.575
Estimates,600,1980,111.122
Estimates,600,1981,114.579
Estimates,600,1982,117.894
Estimates,600,1983,121.012
Estimates,600,1984,123.874
Estimates,600,1985,126.433
Estimates,600,1986,128.664
Estimates,600,1987,130.61
Estimates,600,1988,132.311
Estimates,600,1989,133.791
Estimates,600,1990,135.11
Estimates,600,1991,136.339
Estimates,600,1992,137.511
Estimates,600,1993,138.624
Estimates,600,1994,139.643
Estimates,600,1995,140.443
Estimates,600,1996,140.858
Estimates,600,1997,140.794
Estimates,600,1998,140.236
Estimates,600,1999,139.251
Estimates,600,2000,137.999
Estimates,600,2001,136.702
Estimates,600,2002,135.574
Estimates,600,2003,134.771
Estimates,600,2004,134.354
Estimates,600,2005,134.299
Estimates,600,2006,134.495
Estimates,600,2007,134.768
Estimates,600,2008,134.984
Estimates,600,2009,135.112
Estimates,600,2010,135.174
Estimates,600,2011,135.244
Estimates,600,2012,135.406
Estimates,600,2013,135.712
Estimates,600,2014,136.146
Estimates,600,2015,136.666
Medium_variant,600,2015,136.666
Medium_variant,600,2016,137.205
Medium_variant,600,2017,137.679
Medium_variant,600,2018,138.016
Medium_variant,600,2019,138.181
Medium_variant,600,2020,138.146
Medium_variant,600,2021,137.911
Medium_variant,600,2022,137.515
Medium_variant,600,2023,136.999
Medium_variant,600,2024,136.38
Medium_variant,600,2025,135.678
Medium_variant,600,2026,134.908
Medium_variant,600,2027,134.086
Medium_variant,600,2028,133.228
Medium_variant,600,2029,132.355
Medium_variant,600,2030,131.482
Medium_variant,600,2031,130.616
Medium_variant,600,2032,129.758
Medium_variant,600,2033,128.911
Medium_variant,600,2034,128.083
Medium_variant,600,2035,127.284
Medium_variant,600,2036,126.523
Medium_variant,600,2037,125.798
Medium_variant,600,2038,125.106
Medium_variant,600,2039,124.449
Medium_variant,600,2040,123.823
Medium_variant,600,2041,123.227
Medium_variant,600,2042,122.655
Medium_variant,600,2043,122.096
Medium_variant,600,2044,121.541
Medium_variant,600,2045,120.98
Medium_variant,600,2046,120.404
Medium_variant,600,2047,119.811
Medium_variant,600,2048,119.194
Medium_variant,600,2049,118.548
Medium_variant,600,2050,117.871
Medium_variant,600,2051,117.159
Medium_variant,600,2052,116.417
Medium_variant,600,2053,115.652
Medium_variant,600,2054,114.868
Medium_variant,600,2055,114.069
Medium_variant,600,2056,113.262
Medium_variant,600,2057,112.452
Medium_variant,600,2058,111.643
Medium_variant,600,2059,110.841
Medium_variant,600,2060,110.049
Medium_variant,600,2061,109.269
Medium_variant,600,2062,108.5
Medium_variant,600,2063,107.74
Medium_variant,600,2064,106.989
Medium_variant,600,2065,106.249
Medium_variant,600,2066,105.521
Medium_variant,600,2067,104.802
Medium_variant,600,2068,104.092
Medium_variant,600,2069,103.386
Medium_variant,600,2070,102.682
Medium_variant,600,2071,101.974
Medium_variant,600,2072,101.259
Medium_variant,600,2073,100.537
Medium_variant,600,2074,99.81
Medium_variant,600,2075,99.08
Medium_variant,600,2076,98.355
Medium_variant,600,2077,97.638
Medium_variant,600,2078,96.938
Medium_variant,600,2079,96.257
Medium_variant,600,2080,95.599
Medium_variant,600,2081,94.965
Medium_variant,600,2082,94.353
Medium_variant,600,2083,93.761
Medium_variant,600,2084,93.184
Medium_variant,600,2085,92.623
Medium_variant,600,2086,92.074
Medium_variant,600,2087,91.532
Medium_variant,600,2088,90.996
Medium_variant,600,2089,90.464
Medium_variant,600,2090,89.935
Medium_variant,600,2091,89.411
Medium_variant,600,2092,88.891
Medium_variant,600,2093,88.377
Medium_variant,600,2094,87.87
Medium_variant,600,2095,87.371
Medium_variant,600,2096,86.879
Medium_variant,600,2097,86.395
Medium_variant,600,2098,85.92
Medium_variant,600,2099,85.453
