continent,variant,freq,year,crudedeathrateper1000population
903,estimates,5yearly,1950,26.87
903,estimates,5yearly,1955,24.412
903,estimates,5yearly,1960,22.282
903,estimates,5yearly,1965,20.447
903,estimates,5yearly,1970,18.773
903,estimates,5yearly,1975,17.174
903,estimates,5yearly,1980,15.751
903,estimates,5yearly,1985,14.686
903,estimates,5yearly,1990,14.366
903,estimates,5yearly,1995,13.746
903,estimates,5yearly,2000,12.993
903,estimates,5yearly,2005,11.272
903,estimates,5yearly,2010,9.802
903,constantfertility,5yearly,2015,9.001
903,constantmortality,5yearly,2015,9.807
903,highvariant,5yearly,2015,8.969
903,instantreplacement,5yearly,2015,8.132
903,lowvariant,5yearly,2015,8.825
903,mediumvariant,5yearly,2015,8.897
903,nochange,5yearly,2015,9.928
903,zeromigration,5yearly,2015,8.895
903,constantfertility,5yearly,2020,8.362
903,constantmortality,5yearly,2020,9.854
903,highvariant,5yearly,2020,8.289
903,instantreplacement,5yearly,2020,7.836
903,lowvariant,5yearly,2020,8.157
903,mediumvariant,5yearly,2020,8.224
903,nochange,5yearly,2020,10.057
903,zeromigration,5yearly,2020,8.216
903,constantfertility,5yearly,2025,7.768
903,constantmortality,5yearly,2025,9.966
903,highvariant,5yearly,2025,7.684
903,instantreplacement,5yearly,2025,7.765
903,lowvariant,5yearly,2025,7.658
903,mediumvariant,5yearly,2025,7.671
903,nochange,5yearly,2025,10.183
903,zeromigration,5yearly,2025,7.659
903,constantfertility,5yearly,2030,7.228
903,constantmortality,5yearly,2030,10.135
903,highvariant,5yearly,2030,7.159
903,instantreplacement,5yearly,2030,7.716
903,lowvariant,5yearly,2030,7.307
903,mediumvariant,5yearly,2030,7.23
903,nochange,5yearly,2030,10.307
903,zeromigration,5yearly,2030,7.213
903,constantfertility,5yearly,2035,6.759
903,constantmortality,5yearly,2035,10.34
903,highvariant,5yearly,2035,6.749
903,instantreplacement,5yearly,2035,7.646
903,lowvariant,5yearly,2035,7.051
903,mediumvariant,5yearly,2035,6.89
903,nochange,5yearly,2035,10.432
903,zeromigration,5yearly,2035,6.871
903,constantfertility,5yearly,2040,6.36
903,constantmortality,5yearly,2040,10.577
903,highvariant,5yearly,2040,6.444
903,instantreplacement,5yearly,2040,7.652
903,lowvariant,5yearly,2040,6.892
903,mediumvariant,5yearly,2040,6.651
903,nochange,5yearly,2040,10.557
903,zeromigration,5yearly,2040,6.63
903,constantfertility,5yearly,2045,6.01
903,constantmortality,5yearly,2045,10.855
903,highvariant,5yearly,2045,6.221
903,instantreplacement,5yearly,2045,7.815
903,lowvariant,5yearly,2045,6.834
903,mediumvariant,5yearly,2045,6.501
903,nochange,5yearly,2045,10.677
903,zeromigration,5yearly,2045,6.48
903,constantfertility,5yearly,2050,5.696
903,constantmortality,5yearly,2050,11.183
903,highvariant,5yearly,2050,6.068
903,instantreplacement,5yearly,2050,8.145
903,lowvariant,5yearly,2050,6.888
903,mediumvariant,5yearly,2050,6.44
903,nochange,5yearly,2050,10.786
903,zeromigration,5yearly,2050,6.419
903,constantfertility,5yearly,2055,5.415
903,constantmortality,5yearly,2055,11.559
903,highvariant,5yearly,2055,5.982
903,instantreplacement,5yearly,2055,8.606
903,lowvariant,5yearly,2055,7.052
903,mediumvariant,5yearly,2055,6.464
903,nochange,5yearly,2055,10.876
903,zeromigration,5yearly,2055,6.443
903,constantfertility,5yearly,2060,5.155
903,constantmortality,5yearly,2060,11.971
903,highvariant,5yearly,2060,5.952
903,instantreplacement,5yearly,2060,9.15
903,lowvariant,5yearly,2060,7.306
903,mediumvariant,5yearly,2060,6.555
903,nochange,5yearly,2060,10.936
903,zeromigration,5yearly,2060,6.536
903,constantfertility,5yearly,2065,4.9
903,constantmortality,5yearly,2065,12.404
903,highvariant,5yearly,2065,5.953
903,instantreplacement,5yearly,2065,9.716
903,lowvariant,5yearly,2065,7.618
903,mediumvariant,5yearly,2065,6.686
903,nochange,5yearly,2065,10.964
903,zeromigration,5yearly,2065,6.67
903,constantfertility,5yearly,2070,4.653
903,constantmortality,5yearly,2070,12.855
903,highvariant,5yearly,2070,5.986
903,instantreplacement,5yearly,2070,10.309
903,lowvariant,5yearly,2070,7.99
903,mediumvariant,5yearly,2070,6.858
903,nochange,5yearly,2070,10.965
903,zeromigration,5yearly,2070,6.845
903,constantfertility,5yearly,2075,4.411
903,constantmortality,5yearly,2075,13.332
903,highvariant,5yearly,2075,6.039
903,instantreplacement,5yearly,2075,10.887
903,lowvariant,5yearly,2075,8.405
903,mediumvariant,5yearly,2075,7.055
903,nochange,5yearly,2075,10.952
903,zeromigration,5yearly,2075,7.046
903,constantfertility,5yearly,2080,4.182
903,constantmortality,5yearly,2080,13.84
903,highvariant,5yearly,2080,6.116
903,instantreplacement,5yearly,2080,11.394
903,lowvariant,5yearly,2080,8.865
903,mediumvariant,5yearly,2080,7.281
903,nochange,5yearly,2080,10.936
903,zeromigration,5yearly,2080,7.275
903,constantfertility,5yearly,2085,3.968
903,constantmortality,5yearly,2085,14.372
903,highvariant,5yearly,2085,6.212
903,instantreplacement,5yearly,2085,11.735
903,lowvariant,5yearly,2085,9.345
903,mediumvariant,5yearly,2085,7.524
903,nochange,5yearly,2085,10.925
903,zeromigration,5yearly,2085,7.52
903,constantfertility,5yearly,2090,3.778
903,constantmortality,5yearly,2090,14.902
903,highvariant,5yearly,2090,6.345
903,instantreplacement,5yearly,2090,11.854
903,lowvariant,5yearly,2090,9.853
903,mediumvariant,5yearly,2090,7.798
903,nochange,5yearly,2090,10.918
903,zeromigration,5yearly,2090,7.793
903,constantfertility,5yearly,2095,3.606
903,constantmortality,5yearly,2095,15.41
903,highvariant,5yearly,2095,6.495
903,instantreplacement,5yearly,2095,11.687
903,lowvariant,5yearly,2095,10.343
903,mediumvariant,5yearly,2095,8.075
903,nochange,5yearly,2095,10.913
903,zeromigration,5yearly,2095,8.07
