continent,variant,gender,freq,year,lifeexpectancyat60
935,estimates,female,5Yearly,1950,12.879574158465
935,estimates,male,5Yearly,1950,11.303612997316
935,estimates,female,5Yearly,1955,13.0443420379823
935,estimates,male,5Yearly,1955,11.353557306946
935,estimates,female,5Yearly,1960,13.650436378381
935,estimates,male,5Yearly,1960,11.9227751878483
935,estimates,female,5Yearly,1965,15.5086114658935
935,estimates,male,5Yearly,1965,13.632664520404
935,estimates,female,5Yearly,1970,16.1351687702411
935,estimates,male,5Yearly,1970,14.2348372622528
935,estimates,female,5Yearly,1975,16.9423345205028
935,estimates,male,5Yearly,1975,14.9339302844566
935,estimates,female,5Yearly,1980,17.4958372438862
935,estimates,male,5Yearly,1980,15.3423507833314
935,estimates,female,5Yearly,1985,17.9521711407413
935,estimates,male,5Yearly,1985,15.7721440845395
935,estimates,female,5Yearly,1990,18.5525440607385
935,estimates,male,5Yearly,1990,16.1220221587448
935,estimates,female,5Yearly,1995,19.1468566912095
935,estimates,male,5Yearly,1995,16.5627908479667
935,estimates,female,5Yearly,2000,19.6880282929447
935,estimates,male,5Yearly,2000,17.2826003122247
935,estimates,female,5Yearly,2005,20.2003887920549
935,estimates,male,5Yearly,2005,17.7300804725813
935,estimates,female,5Yearly,2010,20.6166123493029
935,estimates,male,5Yearly,2010,18.1448029823336
935,medium variant,female,5Yearly,2015,21.1631108236765
935,medium variant,male,5Yearly,2015,18.644102373225
935,medium variant,female,5Yearly,2020,21.6507409587423
935,medium variant,male,5Yearly,2020,19.0959178411138
935,medium variant,female,5Yearly,2025,22.1546025673608
935,medium variant,male,5Yearly,2025,19.6194447232337
935,medium variant,female,5Yearly,2030,22.6068094265705
935,medium variant,male,5Yearly,2030,20.116399856554
935,medium variant,female,5Yearly,2035,23.0850436610695
935,medium variant,male,5Yearly,2035,20.5943593121684
935,medium variant,female,5Yearly,2040,23.4959392193472
935,medium variant,male,5Yearly,2040,21.0738625640805
935,medium variant,female,5Yearly,2045,23.9120183841433
935,medium variant,male,5Yearly,2045,21.5928825309555
935,medium variant,female,5Yearly,2050,24.3275428219491
935,medium variant,male,5Yearly,2050,22.1681149769108
935,medium variant,female,5Yearly,2055,24.6990766605632
935,medium variant,male,5Yearly,2055,22.6578404140863
935,medium variant,female,5Yearly,2060,25.0667665014034
935,medium variant,male,5Yearly,2060,23.0662871107729
935,medium variant,female,5Yearly,2065,25.425204391361
935,medium variant,male,5Yearly,2065,23.5062052998449
935,medium variant,female,5Yearly,2070,25.7955210925202
935,medium variant,male,5Yearly,2070,23.9504444651171
935,medium variant,female,5Yearly,2075,26.1802607331851
935,medium variant,male,5Yearly,2075,24.3990901415525
935,medium variant,female,5Yearly,2080,26.545006436255
935,medium variant,male,5Yearly,2080,24.8552685839575
935,medium variant,female,5Yearly,2085,26.9336251761875
935,medium variant,male,5Yearly,2085,25.3688124883151
935,medium variant,female,5Yearly,2090,27.3638211435479
935,medium variant,male,5Yearly,2090,25.8932039895682
935,medium variant,female,5Yearly,2095,27.7820686893307
935,medium variant,male,5Yearly,2095,26.3611603159206
