continent,variant,gender,freq,year,under40mortalityper1000livebirth
903,estimates,female,5Yearly,1950,491.679312674068
903,estimates,male,5Yearly,1950,512.756505285073
903,estimates,female,5Yearly,1955,456.254711988365
903,estimates,male,5Yearly,1955,478.231287904445
903,estimates,female,5Yearly,1960,423.355266584089
903,estimates,male,5Yearly,1960,445.66731488315
903,estimates,female,5Yearly,1965,394.532994494789
903,estimates,male,5Yearly,1965,417.692973039357
903,estimates,female,5Yearly,1970,365.769841900957
903,estimates,male,5Yearly,1970,390.110423685839
903,estimates,female,5Yearly,1975,336.268571234496
903,estimates,male,5Yearly,1975,360.847502206135
903,estimates,female,5Yearly,1980,311.182592195643
903,estimates,male,5Yearly,1980,336.391593845923
903,estimates,female,5Yearly,1985,295.224637527393
903,estimates,male,5Yearly,1985,321.088509104176
903,estimates,female,5Yearly,1990,300.644640378143
903,estimates,male,5Yearly,1990,324.42207642812
903,estimates,female,5Yearly,1995,303.297753409905
903,estimates,male,5Yearly,1995,317.202820474097
903,estimates,female,5Yearly,2000,297.066810418857
903,estimates,male,5Yearly,2000,303.268673605884
903,estimates,female,5Yearly,2005,252.735060589764
903,estimates,male,5Yearly,2005,260.135545946262
903,estimates,female,5Yearly,2010,208.807080009609
903,estimates,male,5Yearly,2010,222.724174721708
903,medium variant,female,5Yearly,2015,184.754300262264
903,medium variant,male,5Yearly,2015,200.4750585906
903,medium variant,female,5Yearly,2020,166.461950265506
903,medium variant,male,5Yearly,2020,183.675025645244
903,medium variant,female,5Yearly,2025,148.646995641986
903,medium variant,male,5Yearly,2025,167.41424867475
903,medium variant,female,5Yearly,2030,131.774586245224
903,medium variant,male,5Yearly,2030,151.774313445057
903,medium variant,female,5Yearly,2035,116.482958097815
903,medium variant,male,5Yearly,2035,136.992783864531
903,medium variant,female,5Yearly,2040,103.314598530213
903,medium variant,male,5Yearly,2040,123.673485253147
903,medium variant,female,5Yearly,2045,91.7530665251851
903,medium variant,male,5Yearly,2045,111.849911117646
903,medium variant,female,5Yearly,2050,81.9700142990893
903,medium variant,male,5Yearly,2050,101.554199109525
903,medium variant,female,5Yearly,2055,73.4680056573477
903,medium variant,male,5Yearly,2055,92.717477067673
903,medium variant,female,5Yearly,2060,66.1000010466928
903,medium variant,male,5Yearly,2060,84.9233634123653
903,medium variant,female,5Yearly,2065,59.533959799325
903,medium variant,male,5Yearly,2065,77.8178223496457
903,medium variant,female,5Yearly,2070,54.0562601061225
903,medium variant,male,5Yearly,2070,71.2209312064323
903,medium variant,female,5Yearly,2075,49.3137201482522
903,medium variant,male,5Yearly,2075,65.4354494930282
903,medium variant,female,5Yearly,2080,45.0860491449476
903,medium variant,male,5Yearly,2080,60.415421858504
903,medium variant,female,5Yearly,2085,41.5762236554976
903,medium variant,male,5Yearly,2085,56.0392904292563
903,medium variant,female,5Yearly,2090,38.5244234065258
903,medium variant,male,5Yearly,2090,52.2962785108443
903,medium variant,female,5Yearly,2095,35.9972836749822
903,medium variant,male,5Yearly,2095,48.81366430731
