variant,continent,year,totalpopulationannualdoubletime
estimates,935,1950,32.728
estimates,935,1951,34.067
estimates,935,1952,36.414
estimates,935,1953,37.78
estimates,935,1954,38.244
estimates,935,1955,38.038
estimates,935,1956,37.451
estimates,935,1957,36.737
estimates,935,1958,36.075
estimates,935,1959,35.532
estimates,935,1960,35.05
estimates,935,1961,34.481
estimates,935,1962,33.645
estimates,935,1963,32.458
estimates,935,1964,31.068
estimates,935,1965,29.705
estimates,935,1966,28.584
estimates,935,1967,27.886
estimates,935,1968,27.699
estimates,935,1969,27.978
estimates,935,1970,28.494
estimates,935,1971,29.045
estimates,935,1972,29.689
estimates,935,1973,30.544
estimates,935,1974,31.589
estimates,935,1975,32.787
estimates,935,1976,34.034
estimates,935,1977,35.076
estimates,935,1978,35.662
estimates,935,1979,35.763
estimates,935,1980,35.666
estimates,935,1981,35.617
estimates,935,1982,35.504
estimates,935,1983,35.179
estimates,935,1984,34.719
estimates,935,1985,34.204
estimates,935,1986,33.788
estimates,935,1987,33.782
estimates,935,1988,34.442
estimates,935,1989,35.798
estimates,935,1990,37.63
estimates,935,1991,39.63
estimates,935,1992,41.662
estimates,935,1993,43.67
estimates,935,1994,45.573
estimates,935,1995,47.486
estimates,935,1996,49.533
estimates,935,1997,51.52
estimates,935,1998,53.16
estimates,935,1999,54.395
estimates,935,2000,55.359
estimates,935,2001,56.242
estimates,935,2002,57.14
estimates,935,2003,58.094
estimates,935,2004,59.126
estimates,935,2005,60.2
estimates,935,2006,61.245
estimates,935,2007,62.177
estimates,935,2008,62.943
estimates,935,2009,63.559
estimates,935,2010,64.107
estimates,935,2011,64.712
estimates,935,2012,65.544
estimates,935,2013,66.746
estimates,935,2014,68.361
estimates,935,2015,70.267
medium_variant,935,2015,70.267
medium_variant,935,2016,72.327
medium_variant,935,2017,74.584
medium_variant,935,2018,77.145
medium_variant,935,2019,80.024
medium_variant,935,2020,83.223
medium_variant,935,2021,86.712
medium_variant,935,2022,90.412
medium_variant,935,2023,94.234
medium_variant,935,2024,98.143
medium_variant,935,2025,102.232
medium_variant,935,2026,106.613
medium_variant,935,2027,111.256
medium_variant,935,2028,116.076
medium_variant,935,2029,121.073
medium_variant,935,2030,126.309
medium_variant,935,2031,131.873
medium_variant,935,2032,137.813
medium_variant,935,2033,144.168
medium_variant,935,2034,150.997
medium_variant,935,2035,158.361
medium_variant,935,2036,166.329
medium_variant,935,2037,174.989
medium_variant,935,2038,184.454
medium_variant,935,2039,194.867
medium_variant,935,2040,206.375
medium_variant,935,2041,219.195
medium_variant,935,2042,233.747
medium_variant,935,2043,250.603
medium_variant,935,2044,270.36
medium_variant,935,2045,293.593
medium_variant,935,2046,320.996
medium_variant,935,2047,353.698
medium_variant,935,2048,393.393
medium_variant,935,2049,442.526
medium_variant,935,2050,504.687
medium_variant,935,2051,585.875
medium_variant,935,2052,697.88
medium_variant,935,2053,864.383
medium_variant,935,2054,1136.693
medium_variant,935,2055,1653.237
medium_variant,935,2056,2967.548
medium_variant,935,2057,12324.851
medium_variant,935,2058,-6298.701
medium_variant,935,2059,-2619.019
medium_variant,935,2060,-1686.678
medium_variant,935,2061,-1256.543
medium_variant,935,2062,-1013.726
medium_variant,935,2063,-862.348
medium_variant,935,2064,-759.861
medium_variant,935,2065,-685.116
medium_variant,935,2066,-626.781
medium_variant,935,2067,-578.708
medium_variant,935,2068,-537.544
medium_variant,935,2069,-501.679
medium_variant,935,2070,-470.852
medium_variant,935,2071,-444.699
medium_variant,935,2072,-422.08
medium_variant,935,2073,-402.016
medium_variant,935,2074,-384.115
medium_variant,935,2075,-368.255
medium_variant,935,2076,-354.278
medium_variant,935,2077,-341.791
medium_variant,935,2078,-330.465
medium_variant,935,2079,-320.211
medium_variant,935,2080,-310.954
medium_variant,935,2081,-302.735
medium_variant,935,2082,-295.81
medium_variant,935,2083,-290.354
medium_variant,935,2084,-286.229
medium_variant,935,2085,-282.952
medium_variant,935,2086,-280.115
medium_variant,935,2087,-277.781
medium_variant,935,2088,-276.091
medium_variant,935,2089,-274.936
medium_variant,935,2090,-274.098
medium_variant,935,2091,-273.344
medium_variant,935,2092,-272.483
medium_variant,935,2093,-271.374
medium_variant,935,2094,-269.938
medium_variant,935,2095,-268.13
medium_variant,935,2096,-265.927
medium_variant,935,2097,-263.316
medium_variant,935,2098,-260.289
medium_variant,935,2099,-256.842
