variant,continent,year,totalpopulationannualdoubletime
estimates,904,1950,26.043
estimates,904,1951,25.866
estimates,904,1952,25.632
estimates,904,1953,25.582
estimates,904,1954,25.637
estimates,904,1955,25.725
estimates,904,1956,25.782
estimates,904,1957,25.761
estimates,904,1958,25.633
estimates,904,1959,25.409
estimates,904,1960,25.147
estimates,904,1961,24.941
estimates,904,1962,24.891
estimates,904,1963,25.074
estimates,904,1964,25.476
estimates,904,1965,26.006
estimates,904,1966,26.551
estimates,904,1967,27.028
estimates,904,1968,27.388
estimates,904,1969,27.626
estimates,904,1970,27.812
estimates,904,1971,28.021
estimates,904,1972,28.286
estimates,904,1973,28.613
estimates,904,1974,29.003
estimates,904,1975,29.436
estimates,904,1976,29.882
estimates,904,1977,30.316
estimates,904,1978,30.721
estimates,904,1979,31.101
estimates,904,1980,31.475
estimates,904,1981,31.874
estimates,904,1982,32.333
estimates,904,1983,32.879
estimates,904,1984,33.515
estimates,904,1985,34.212
estimates,904,1986,34.934
estimates,904,1987,35.672
estimates,904,1988,36.425
estimates,904,1989,37.189
estimates,904,1990,37.981
estimates,904,1991,38.812
estimates,904,1992,39.651
estimates,904,1993,40.463
estimates,904,1994,41.251
estimates,904,1995,42.021
estimates,904,1996,42.81
estimates,904,1997,43.72
estimates,904,1998,44.847
estimates,904,1999,46.204
estimates,904,2000,47.73
estimates,904,2001,49.309
estimates,904,2002,50.783
estimates,904,2003,52.011
estimates,904,2004,52.961
estimates,904,2005,53.762
estimates,904,2006,54.578
estimates,904,2007,55.467
estimates,904,2008,56.445
estimates,904,2009,57.532
estimates,904,2010,58.687
estimates,904,2011,59.87
estimates,904,2012,61.123
estimates,904,2013,62.506
estimates,904,2014,64.031
estimates,904,2015,65.679
medium_variant,904,2015,65.679
medium_variant,904,2016,67.423
medium_variant,904,2017,69.251
medium_variant,904,2018,71.161
medium_variant,904,2019,73.157
medium_variant,904,2020,75.256
medium_variant,904,2021,77.483
medium_variant,904,2022,79.866
medium_variant,904,2023,82.43
medium_variant,904,2024,85.191
medium_variant,904,2025,88.151
medium_variant,904,2026,91.305
medium_variant,904,2027,94.646
medium_variant,904,2028,98.172
medium_variant,904,2029,101.893
medium_variant,904,2030,105.845
medium_variant,904,2031,110.075
medium_variant,904,2032,114.622
medium_variant,904,2033,119.52
medium_variant,904,2034,124.812
medium_variant,904,2035,130.537
medium_variant,904,2036,136.731
medium_variant,904,2037,143.428
medium_variant,904,2038,150.668
medium_variant,904,2039,158.516
medium_variant,904,2040,167.075
medium_variant,904,2041,176.481
medium_variant,904,2042,186.888
medium_variant,904,2043,198.48
medium_variant,904,2044,211.469
medium_variant,904,2045,226.115
medium_variant,904,2046,242.72
medium_variant,904,2047,261.609
medium_variant,904,2048,283.196
medium_variant,904,2049,308.107
medium_variant,904,2050,337.29
medium_variant,904,2051,372.156
medium_variant,904,2052,414.804
medium_variant,904,2053,468.398
medium_variant,904,2054,537.824
medium_variant,904,2055,630.741
medium_variant,904,2056,760.701
medium_variant,904,2057,955.732
medium_variant,904,2058,1282.222
medium_variant,904,2059,1939.676
medium_variant,904,2060,3937.766
medium_variant,904,2061,-242557.825
medium_variant,904,2062,-3873.683
medium_variant,904,2063,-1969.33
medium_variant,904,2064,-1328.522
medium_variant,904,2065,-1007.12
medium_variant,904,2066,-814.089
medium_variant,904,2067,-685.662
medium_variant,904,2068,-594.346
medium_variant,904,2069,-526.223
medium_variant,904,2070,-473.422
medium_variant,904,2071,-431.316
medium_variant,904,2072,-397.175
medium_variant,904,2073,-369.145
medium_variant,904,2074,-345.784
medium_variant,904,2075,-325.995
medium_variant,904,2076,-308.967
medium_variant,904,2077,-294.117
medium_variant,904,2078,-281.034
medium_variant,904,2079,-269.439
medium_variant,904,2080,-259.134
medium_variant,904,2081,-249.991
medium_variant,904,2082,-241.953
medium_variant,904,2083,-234.951
medium_variant,904,2084,-228.848
medium_variant,904,2085,-223.466
medium_variant,904,2086,-218.636
medium_variant,904,2087,-214.224
medium_variant,904,2088,-210.143
medium_variant,904,2089,-206.359
medium_variant,904,2090,-202.896
medium_variant,904,2091,-199.785
medium_variant,904,2092,-197.04
medium_variant,904,2093,-194.652
medium_variant,904,2094,-192.592
medium_variant,904,2095,-190.821
medium_variant,904,2096,-189.297
medium_variant,904,2097,-187.981
medium_variant,904,2098,-186.835
medium_variant,904,2099,-185.824
