country,variant,freq,year,netnumberofmigrants
218,Estimates,5yearly,1950,-2
218,Estimates,5yearly,1955,-7.999
218,Estimates,5yearly,1960,-9.002
218,Estimates,5yearly,1965,-5.5
218,Estimates,5yearly,1970,-5.499
218,Estimates,5yearly,1975,-7.198
218,Estimates,5yearly,1980,-14.001
218,Estimates,5yearly,1985,-16.998
218,Estimates,5yearly,1990,-19
218,Estimates,5yearly,1995,-69.999
218,Estimates,5yearly,2000,-120.002
218,Estimates,5yearly,2005,-44.999
218,Estimates,5yearly,2010,-38.001
218,Medium_variant,5yearly,2015,-30.776
218,Medium_variant,5yearly,2020,-24.056
218,Medium_variant,5yearly,2025,-18.214
218,Medium_variant,5yearly,2030,-13.42
218,Medium_variant,5yearly,2035,-13.42
218,Medium_variant,5yearly,2040,-13.42
218,Medium_variant,5yearly,2045,-13.42
218,Medium_variant,5yearly,2050,-12.753
218,Medium_variant,5yearly,2055,-12.081
218,Medium_variant,5yearly,2060,-11.408
218,Medium_variant,5yearly,2065,-10.74
218,Medium_variant,5yearly,2070,-10.067
218,Medium_variant,5yearly,2075,-9.396
218,Medium_variant,5yearly,2080,-8.728
218,Medium_variant,5yearly,2085,-8.052
218,Medium_variant,5yearly,2090,-7.382
218,Medium_variant,5yearly,2095,-6.713
