country,variant,freq,year,netnumberofmigrants
218,estimates,5Yearly,1950,-2
218,estimates,5Yearly,1955,-7.999
218,estimates,5Yearly,1960,-9.002
218,estimates,5Yearly,1965,-5.5
218,estimates,5Yearly,1970,-5.499
218,estimates,5Yearly,1975,-7.198
218,estimates,5Yearly,1980,-14.001
218,estimates,5Yearly,1985,-16.998
218,estimates,5Yearly,1990,-19
218,estimates,5Yearly,1995,-69.999
218,estimates,5Yearly,2000,-120.002
218,estimates,5Yearly,2005,-44.999
218,estimates,5Yearly,2010,-38.001
218,medium variant,5Yearly,2015,-30.776
218,medium variant,5Yearly,2020,-24.056
218,medium variant,5Yearly,2025,-18.214
218,medium variant,5Yearly,2030,-13.42
218,medium variant,5Yearly,2035,-13.42
218,medium variant,5Yearly,2040,-13.42
218,medium variant,5Yearly,2045,-13.42
218,medium variant,5Yearly,2050,-12.753
218,medium variant,5Yearly,2055,-12.081
218,medium variant,5Yearly,2060,-11.408
218,medium variant,5Yearly,2065,-10.74
218,medium variant,5Yearly,2070,-10.067
218,medium variant,5Yearly,2075,-9.396
218,medium variant,5Yearly,2080,-8.728
218,medium variant,5Yearly,2085,-8.052
218,medium variant,5Yearly,2090,-7.382
218,medium variant,5Yearly,2095,-6.713
