country,variant,freq,year,netnumberofmigrants
332,Estimates,5yearly,1950,-29.999
332,Estimates,5yearly,1955,-34.999
332,Estimates,5yearly,1960,-51.997
332,Estimates,5yearly,1965,-58.003
332,Estimates,5yearly,1970,-88
332,Estimates,5yearly,1975,-97.999
332,Estimates,5yearly,1980,-124.999
332,Estimates,5yearly,1985,-135.001
332,Estimates,5yearly,1990,-140.001
332,Estimates,5yearly,1995,-144.998
332,Estimates,5yearly,2000,-139.999
332,Estimates,5yearly,2005,-138.004
332,Estimates,5yearly,2010,-150
332,Medium_variant,5yearly,2015,-175
332,Medium_variant,5yearly,2020,-175
332,Medium_variant,5yearly,2025,-175
332,Medium_variant,5yearly,2030,-175
332,Medium_variant,5yearly,2035,-175
332,Medium_variant,5yearly,2040,-175
332,Medium_variant,5yearly,2045,-175
332,Medium_variant,5yearly,2050,-166.249
332,Medium_variant,5yearly,2055,-157.501
332,Medium_variant,5yearly,2060,-148.751
332,Medium_variant,5yearly,2065,-139.998
332,Medium_variant,5yearly,2070,-131.245
332,Medium_variant,5yearly,2075,-122.502
332,Medium_variant,5yearly,2080,-113.747
332,Medium_variant,5yearly,2085,-105.004
332,Medium_variant,5yearly,2090,-96.246
332,Medium_variant,5yearly,2095,-87.501
