global,variant,freq,year,birthper1000population
900,Estimates,5yearly,1950,36.897
900,Estimates,5yearly,1955,35.518
900,Estimates,5yearly,1960,35.398
900,Estimates,5yearly,1965,34.1
900,Estimates,5yearly,1970,31.569
900,Estimates,5yearly,1975,28.564
900,Estimates,5yearly,1980,27.828
900,Estimates,5yearly,1985,27.487
900,Estimates,5yearly,1990,24.498
900,Estimates,5yearly,1995,21.93
900,Estimates,5yearly,2000,20.826
900,Estimates,5yearly,2005,20.241
900,Estimates,5yearly,2010,19.587
900,Constant_fertility,5yearly,2015,19.429
900,Constant_mortality,5yearly,2015,18.631
900,High_variant,5yearly,2015,20.414
900,Instant_replacement,5yearly,2015,16.737
900,Low_variant,5yearly,2015,16.799
900,Medium_variant,5yearly,2015,18.616
900,No_change,5yearly,2015,19.444
900,Zero_migration,5yearly,2015,18.627
900,Constant_fertility,5yearly,2020,19.077
900,Constant_mortality,5yearly,2020,17.561
900,High_variant,5yearly,2020,20.074
900,Instant_replacement,5yearly,2020,15.945
900,Low_variant,5yearly,2020,14.856
900,Medium_variant,5yearly,2020,17.506
900,No_change,5yearly,2020,19.135
900,Zero_migration,5yearly,2020,17.529
900,Constant_fertility,5yearly,2025,18.895
900,Constant_mortality,5yearly,2025,16.758
900,High_variant,5yearly,2025,19.532
900,Instant_replacement,5yearly,2025,15.375
900,Low_variant,5yearly,2025,13.581
900,Medium_variant,5yearly,2025,16.647
900,No_change,5yearly,2025,19.018
900,Zero_migration,5yearly,2025,16.671
900,Constant_fertility,5yearly,2030,18.976
900,Constant_mortality,5yearly,2030,16.253
900,High_variant,5yearly,2030,18.695
900,Instant_replacement,5yearly,2030,14.976
900,Low_variant,5yearly,2030,13.224
900,Medium_variant,5yearly,2030,16.074
900,No_change,5yearly,2030,19.176
900,Zero_migration,5yearly,2030,16.094
900,Constant_fertility,5yearly,2035,19.302
900,Constant_mortality,5yearly,2035,15.901
900,High_variant,5yearly,2035,18.316
900,Instant_replacement,5yearly,2035,14.532
900,Low_variant,5yearly,2035,12.807
900,Medium_variant,5yearly,2035,15.66
900,No_change,5yearly,2035,19.572
900,Zero_migration,5yearly,2035,15.675
900,Constant_fertility,5yearly,2040,19.779
900,Constant_mortality,5yearly,2040,15.569
900,High_variant,5yearly,2040,18.268
900,Instant_replacement,5yearly,2040,14.043
900,Low_variant,5yearly,2040,12.196
900,Medium_variant,5yearly,2040,15.277
900,No_change,5yearly,2040,20.108
900,Zero_migration,5yearly,2040,15.291
900,Constant_fertility,5yearly,2045,20.321
900,Constant_mortality,5yearly,2045,15.191
900,High_variant,5yearly,2045,18.258
900,Instant_replacement,5yearly,2045,13.664
900,Low_variant,5yearly,2045,11.46
900,Medium_variant,5yearly,2045,14.851
900,No_change,5yearly,2045,20.699
900,Zero_migration,5yearly,2045,14.867
