variant,continent,year,totaldeaths
estimates,909,1950,165.494
estimates,909,1951,165.485
estimates,909,1952,165.548
estimates,909,1953,165.785
estimates,909,1954,166.187
estimates,909,1955,166.764
estimates,909,1956,167.507
estimates,909,1957,168.421
estimates,909,1958,169.504
estimates,909,1959,170.748
estimates,909,1960,172.156
estimates,909,1961,173.715
estimates,909,1962,175.405
estimates,909,1963,177.204
estimates,909,1964,179.063
estimates,909,1965,180.979
estimates,909,1966,182.942
estimates,909,1967,184.92
estimates,909,1968,186.861
estimates,909,1969,188.697
estimates,909,1970,190.303
estimates,909,1971,191.574
estimates,909,1972,192.459
estimates,909,1973,192.943
estimates,909,1974,193.057
estimates,909,1975,192.817
estimates,909,1976,192.261
estimates,909,1977,191.52
estimates,909,1978,190.766
estimates,909,1979,190.153
estimates,909,1980,189.916
estimates,909,1981,190.283
estimates,909,1982,191.329
estimates,909,1983,193.035
estimates,909,1984,195.334
estimates,909,1985,198.036
estimates,909,1986,200.858
estimates,909,1987,203.528
estimates,909,1988,205.846
estimates,909,1989,207.754
estimates,909,1990,209.311
estimates,909,1991,210.678
estimates,909,1992,212.09
estimates,909,1993,213.7
estimates,909,1994,215.534
estimates,909,1995,217.524
estimates,909,1996,219.548
estimates,909,1997,221.448
estimates,909,1998,223.125
estimates,909,1999,224.577
estimates,909,2000,225.828
estimates,909,2001,226.919
estimates,909,2002,227.998
estimates,909,2003,229.191
estimates,909,2004,230.61
estimates,909,2005,232.387
estimates,909,2006,234.648
estimates,909,2007,237.406
estimates,909,2008,240.642
estimates,909,2009,244.317
estimates,909,2010,248.333
estimates,909,2011,252.559
estimates,909,2012,256.851
estimates,909,2013,261.09
estimates,909,2014,265.217
estimates,909,2015,269.201
medium_variant,909,2015,269.201
medium_variant,909,2016,273.053
medium_variant,909,2017,276.87
medium_variant,909,2018,280.742
medium_variant,909,2019,284.718
medium_variant,909,2020,288.855
medium_variant,909,2021,293.192
medium_variant,909,2022,297.756
medium_variant,909,2023,302.572
medium_variant,909,2024,307.658
medium_variant,909,2025,313.048
medium_variant,909,2026,318.76
medium_variant,909,2027,324.767
medium_variant,909,2028,331.041
medium_variant,909,2029,337.561
medium_variant,909,2030,344.306
medium_variant,909,2031,351.263
medium_variant,909,2032,358.399
medium_variant,909,2033,365.666
medium_variant,909,2034,373.023
medium_variant,909,2035,380.431
medium_variant,909,2036,387.87
medium_variant,909,2037,395.323
medium_variant,909,2038,402.744
medium_variant,909,2039,410.099
medium_variant,909,2040,417.326
medium_variant,909,2041,424.392
medium_variant,909,2042,431.276
medium_variant,909,2043,437.967
medium_variant,909,2044,444.456
medium_variant,909,2045,450.744
medium_variant,909,2046,456.855
medium_variant,909,2047,462.811
medium_variant,909,2048,468.638
medium_variant,909,2049,474.327
medium_variant,909,2050,479.863
medium_variant,909,2051,485.209
medium_variant,909,2052,490.352
medium_variant,909,2053,495.281
medium_variant,909,2054,499.994
medium_variant,909,2055,504.506
medium_variant,909,2056,508.828
medium_variant,909,2057,512.997
medium_variant,909,2058,517.053
medium_variant,909,2059,521.03
medium_variant,909,2060,524.956
medium_variant,909,2061,528.845
medium_variant,909,2062,532.706
medium_variant,909,2063,536.572
medium_variant,909,2064,540.472
medium_variant,909,2065,544.457
medium_variant,909,2066,548.569
medium_variant,909,2067,552.815
medium_variant,909,2068,557.202
medium_variant,909,2069,561.728
medium_variant,909,2070,566.367
medium_variant,909,2071,571.086
medium_variant,909,2072,575.837
medium_variant,909,2073,580.594
medium_variant,909,2074,585.344
medium_variant,909,2075,590.126
medium_variant,909,2076,594.998
medium_variant,909,2077,599.989
medium_variant,909,2078,605.085
medium_variant,909,2079,610.233
medium_variant,909,2080,615.326
medium_variant,909,2081,620.26
medium_variant,909,2082,624.929
medium_variant,909,2083,629.251
medium_variant,909,2084,633.186
medium_variant,909,2085,636.7
medium_variant,909,2086,639.797
medium_variant,909,2087,642.56
medium_variant,909,2088,645.078
medium_variant,909,2089,647.421
medium_variant,909,2090,649.664
medium_variant,909,2091,651.868
medium_variant,909,2092,654.081
medium_variant,909,2093,656.357
medium_variant,909,2094,658.716
medium_variant,909,2095,661.18
medium_variant,909,2096,663.763
medium_variant,909,2097,666.467
medium_variant,909,2098,669.294
medium_variant,909,2099,672.244
