global,variant,freq,year,infantmortalityper1000livebirth
900,estimates,5Yearly,1950,141.804330704936
900,estimates,5Yearly,1955,129.665141979609
900,estimates,5Yearly,1960,121.622709695887
900,estimates,5Yearly,1965,104.838446574832
900,estimates,5Yearly,1970,94.6045635935819
900,estimates,5Yearly,1975,85.251116550962
900,estimates,5Yearly,1980,75.5926034342462
900,estimates,5Yearly,1985,67.0441335553644
900,estimates,5Yearly,1990,62.953372333842
900,estimates,5Yearly,1995,57.2103060860745
900,estimates,5Yearly,2000,49.3900869322753
900,estimates,5Yearly,2005,41.9321846549615
900,estimates,5Yearly,2010,35.8318313290135
900,medium variant,5Yearly,2015,31.7516852444262
900,medium variant,5Yearly,2020,28.5423563789431
900,medium variant,5Yearly,2025,25.7771252354994
900,medium variant,5Yearly,2030,23.1843494639963
900,medium variant,5Yearly,2035,20.8482207156143
900,medium variant,5Yearly,2040,18.7975663738941
900,medium variant,5Yearly,2045,17.0337263660683
900,medium variant,5Yearly,2050,15.4958499712041
900,medium variant,5Yearly,2055,14.1488239979582
900,medium variant,5Yearly,2060,12.9383848491726
900,medium variant,5Yearly,2065,11.8135991549427
900,medium variant,5Yearly,2070,10.8028114552285
900,medium variant,5Yearly,2075,9.91234511998211
900,medium variant,5Yearly,2080,9.14404024655413
900,medium variant,5Yearly,2085,8.49236711015033
900,medium variant,5Yearly,2090,7.91343694976922
900,medium variant,5Yearly,2095,7.40160920147121
