global,variant,freq,year,crudedeathrateper1000population
900,Estimates,5yearly,1950,19.245
900,Estimates,5yearly,1955,17.512
900,Estimates,5yearly,1960,16.211
900,Estimates,5yearly,1965,13.543
900,Estimates,5yearly,1970,11.997
900,Estimates,5yearly,1975,10.767
900,Estimates,5yearly,1980,10.054
900,Estimates,5yearly,1985,9.494
900,Estimates,5yearly,1990,9.09
900,Estimates,5yearly,1995,8.728
900,Estimates,5yearly,2000,8.395
900,Estimates,5yearly,2005,8.044
900,Estimates,5yearly,2010,7.829
900,Constant_fertility,5yearly,2015,7.826
900,Constant_mortality,5yearly,2015,8.391
900,High_variant,5yearly,2015,7.813
900,Instant_replacement,5yearly,2015,7.628
900,Low_variant,5yearly,2015,7.779
900,Medium_variant,5yearly,2015,7.796
900,No_change,5yearly,2015,8.427
900,Zero_migration,5yearly,2015,7.799
900,Constant_fertility,5yearly,2020,7.889
900,Constant_mortality,5yearly,2020,8.976
900,High_variant,5yearly,2020,7.82
900,Instant_replacement,5yearly,2020,7.731
900,Low_variant,5yearly,2020,7.898
900,Medium_variant,5yearly,2020,7.858
900,No_change,5yearly,2020,9.028
900,Zero_migration,5yearly,2020,7.866
900,Constant_fertility,5yearly,2025,8.009
900,Constant_mortality,5yearly,2025,9.638
900,High_variant,5yearly,2025,7.879
900,Instant_replacement,5yearly,2025,7.961
900,Low_variant,5yearly,2025,8.161
900,Medium_variant,5yearly,2025,8.016
900,No_change,5yearly,2025,9.673
900,Zero_migration,5yearly,2025,8.027
900,Constant_fertility,5yearly,2030,8.191
900,Constant_mortality,5yearly,2030,10.383
900,High_variant,5yearly,2030,8.012
900,Instant_replacement,5yearly,2030,8.287
900,Low_variant,5yearly,2030,8.562
900,Medium_variant,5yearly,2030,8.274
900,No_change,5yearly,2030,10.361
900,Zero_migration,5yearly,2030,8.29
900,Constant_fertility,5yearly,2035,8.388
900,Constant_mortality,5yearly,2035,11.162
900,High_variant,5yearly,2035,8.193
900,Instant_replacement,5yearly,2035,8.65
900,Low_variant,5yearly,2035,9.026
900,Medium_variant,5yearly,2035,8.585
900,No_change,5yearly,2035,11.044
900,Zero_migration,5yearly,2035,8.606
900,Constant_fertility,5yearly,2040,8.548
900,Constant_mortality,5yearly,2040,11.902
900,High_variant,5yearly,2040,8.367
900,Instant_replacement,5yearly,2040,9.017
900,Low_variant,5yearly,2040,9.516
900,Medium_variant,5yearly,2040,8.901
900,No_change,5yearly,2040,11.647
900,Zero_migration,5yearly,2040,8.928
900,Constant_fertility,5yearly,2045,8.635
900,Constant_mortality,5yearly,2045,12.562
900,High_variant,5yearly,2045,8.491
900,Instant_replacement,5yearly,2045,9.371
900,Low_variant,5yearly,2045,10.015
900,Medium_variant,5yearly,2045,9.194
900,No_change,5yearly,2045,12.123
900,Zero_migration,5yearly,2045,9.227
900,Constant_fertility,5yearly,2050,8.625
900,Constant_mortality,5yearly,2050,13.14
900,High_variant,5yearly,2050,8.548
900,Instant_replacement,5yearly,2050,9.693
900,Low_variant,5yearly,2050,10.512
900,Medium_variant,5yearly,2050,9.447
900,No_change,5yearly,2050,12.461
900,Zero_migration,5yearly,2050,9.486
900,Constant_fertility,5yearly,2055,8.538
900,Constant_mortality,5yearly,2055,13.65
900,High_variant,5yearly,2055,8.567
900,Instant_replacement,5yearly,2055,9.998
900,Low_variant,5yearly,2055,11.032
900,Medium_variant,5yearly,2055,9.683
900,No_change,5yearly,2055,12.672
900,Zero_migration,5yearly,2055,9.729
900,Constant_fertility,5yearly,2060,8.371
900,Constant_mortality,5yearly,2060,14.11
900,High_variant,5yearly,2060,8.554
900,Instant_replacement,5yearly,2060,10.273
900,Low_variant,5yearly,2060,11.56
900,Medium_variant,5yearly,2060,9.897
900,No_change,5yearly,2060,12.775
900,Zero_migration,5yearly,2060,9.948
900,Constant_fertility,5yearly,2065,8.113
900,Constant_mortality,5yearly,2065,14.516
900,High_variant,5yearly,2065,8.496
900,Instant_replacement,5yearly,2065,10.489
900,Low_variant,5yearly,2065,12.066
900,Medium_variant,5yearly,2065,10.065
900,No_change,5yearly,2065,12.777
900,Zero_migration,5yearly,2065,10.121
900,Constant_fertility,5yearly,2070,7.804
900,Constant_mortality,5yearly,2070,14.848
900,High_variant,5yearly,2070,8.426
900,Instant_replacement,5yearly,2070,10.681
900,Low_variant,5yearly,2070,12.594
900,Medium_variant,5yearly,2070,10.226
900,No_change,5yearly,2070,12.681
900,Zero_migration,5yearly,2070,10.284
900,Constant_fertility,5yearly,2075,7.436
900,Constant_mortality,5yearly,2075,15.103
900,High_variant,5yearly,2075,8.327
900,Instant_replacement,5yearly,2075,10.813
900,Low_variant,5yearly,2075,13.11
900,Medium_variant,5yearly,2075,10.355
900,No_change,5yearly,2075,12.505
900,Zero_migration,5yearly,2075,10.412
900,Constant_fertility,5yearly,2080,7.016
900,Constant_mortality,5yearly,2080,15.327
900,High_variant,5yearly,2080,8.194
900,Instant_replacement,5yearly,2080,10.851
900,Low_variant,5yearly,2080,13.584
900,Medium_variant,5yearly,2080,10.436
900,No_change,5yearly,2080,12.302
900,Zero_migration,5yearly,2080,10.49
900,Constant_fertility,5yearly,2085,6.558
900,Constant_mortality,5yearly,2085,15.575
900,High_variant,5yearly,2085,8.031
900,Instant_replacement,5yearly,2085,10.768
900,Low_variant,5yearly,2085,13.974
900,Medium_variant,5yearly,2085,10.455
900,No_change,5yearly,2085,12.124
900,Zero_migration,5yearly,2085,10.504
900,Constant_fertility,5yearly,2090,6.114
900,Constant_mortality,5yearly,2090,15.85
900,High_variant,5yearly,2090,7.898
900,Instant_replacement,5yearly,2090,10.619
900,Low_variant,5yearly,2090,14.326
900,Medium_variant,5yearly,2090,10.471
900,No_change,5yearly,2090,11.98
900,Zero_migration,5yearly,2090,10.516
900,Constant_fertility,5yearly,2095,5.724
900,Constant_mortality,5yearly,2095,16.103
900,High_variant,5yearly,2095,7.849
900,Instant_replacement,5yearly,2095,10.481
