variant,region,year,totalpopulationannualdoubletime
Estimates,912,1950,29.434
Estimates,912,1951,28.992
Estimates,912,1952,28.187
Estimates,912,1953,27.511
Estimates,912,1954,26.955
Estimates,912,1955,26.512
Estimates,912,1956,26.175
Estimates,912,1957,25.939
Estimates,912,1958,25.798
Estimates,912,1959,25.741
Estimates,912,1960,25.751
Estimates,912,1961,25.81
Estimates,912,1962,25.893
Estimates,912,1963,25.984
Estimates,912,1964,26.081
Estimates,912,1965,26.16
Estimates,912,1966,26.231
Estimates,912,1967,26.406
Estimates,912,1968,26.779
Estimates,912,1969,27.327
Estimates,912,1970,27.967
Estimates,912,1971,28.555
Estimates,912,1972,28.86
Estimates,912,1973,28.713
Estimates,912,1974,28.163
Estimates,912,1975,27.473
Estimates,912,1976,26.861
Estimates,912,1977,26.327
Estimates,912,1978,25.829
Estimates,912,1979,25.392
Estimates,912,1980,25.01
Estimates,912,1981,24.7
Estimates,912,1982,24.549
Estimates,912,1983,24.622
Estimates,912,1984,24.908
Estimates,912,1985,25.35
Estimates,912,1986,25.872
Estimates,912,1987,26.391
Estimates,912,1988,26.849
Estimates,912,1989,27.252
Estimates,912,1990,27.617
Estimates,912,1991,28.029
Estimates,912,1992,28.749
Estimates,912,1993,30.033
Estimates,912,1994,31.95
Estimates,912,1995,34.389
Estimates,912,1996,37.053
Estimates,912,1997,39.446
Estimates,912,1998,41.036
Estimates,912,1999,41.618
Estimates,912,2000,41.584
Estimates,912,2001,41.441
Estimates,912,2002,41.342
Estimates,912,2003,41.289
Estimates,912,2004,41.299
Estimates,912,2005,41.334
Estimates,912,2006,41.286
Estimates,912,2007,40.944
Estimates,912,2008,40.182
Estimates,912,2009,39.109
Estimates,912,2010,37.958
Estimates,912,2011,36.975
Estimates,912,2012,36.377
Estimates,912,2013,36.288
Estimates,912,2014,36.686
Estimates,912,2015,37.363
Medium_variant,912,2015,37.363
Medium_variant,912,2016,38.108
Medium_variant,912,2017,38.925
Medium_variant,912,2018,39.88
Medium_variant,912,2019,40.957
Medium_variant,912,2020,42.15
Medium_variant,912,2021,43.436
Medium_variant,912,2022,44.748
Medium_variant,912,2023,46.013
Medium_variant,912,2024,47.202
Medium_variant,912,2025,48.362
Medium_variant,912,2026,49.536
Medium_variant,912,2027,50.656
Medium_variant,912,2028,51.633
Medium_variant,912,2029,52.456
Medium_variant,912,2030,53.187
Medium_variant,912,2031,53.895
Medium_variant,912,2032,54.576
Medium_variant,912,2033,55.212
Medium_variant,912,2034,55.817
Medium_variant,912,2035,56.404
Medium_variant,912,2036,56.998
Medium_variant,912,2037,57.655
Medium_variant,912,2038,58.431
Medium_variant,912,2039,59.339
Medium_variant,912,2040,60.341
Medium_variant,912,2041,61.398
Medium_variant,912,2042,62.532
Medium_variant,912,2043,63.779
Medium_variant,912,2044,65.144
Medium_variant,912,2045,66.614
Medium_variant,912,2046,68.174
Medium_variant,912,2047,69.83
Medium_variant,912,2048,71.596
Medium_variant,912,2049,73.472
Medium_variant,912,2050,75.456
Medium_variant,912,2051,77.541
Medium_variant,912,2052,79.714
Medium_variant,912,2053,81.963
Medium_variant,912,2054,84.285
Medium_variant,912,2055,86.691
Medium_variant,912,2056,89.19
Medium_variant,912,2057,91.757
Medium_variant,912,2058,94.357
Medium_variant,912,2059,96.983
Medium_variant,912,2060,99.66
Medium_variant,912,2061,102.414
Medium_variant,912,2062,105.237
Medium_variant,912,2063,108.108
Medium_variant,912,2064,111.028
Medium_variant,912,2065,114.006
Medium_variant,912,2066,117.059
Medium_variant,912,2067,120.227
Medium_variant,912,2068,123.552
Medium_variant,912,2069,127.048
Medium_variant,912,2070,130.701
Medium_variant,912,2071,134.478
Medium_variant,912,2072,138.333
Medium_variant,912,2073,142.226
Medium_variant,912,2074,146.151
Medium_variant,912,2075,150.153
Medium_variant,912,2076,154.302
Medium_variant,912,2077,158.636
Medium_variant,912,2078,163.183
Medium_variant,912,2079,167.971
Medium_variant,912,2080,173.029
Medium_variant,912,2081,178.364
Medium_variant,912,2082,183.935
Medium_variant,912,2083,189.704
Medium_variant,912,2084,195.703
Medium_variant,912,2085,202.018
Medium_variant,912,2086,208.805
Medium_variant,912,2087,216.341
Medium_variant,912,2088,224.93
Medium_variant,912,2089,234.777
Medium_variant,912,2090,245.926
Medium_variant,912,2091,258.375
Medium_variant,912,2092,272.16
Medium_variant,912,2093,287.419
Medium_variant,912,2094,304.448
Medium_variant,912,2095,323.74
Medium_variant,912,2096,346.01
Medium_variant,912,2097,372.297
Medium_variant,912,2098,404.112
Medium_variant,912,2099,443.73
