global,variant,year,oldagedependencyratio2569
900,Estimates,1950,6.54493001707746
900,Estimates,1955,6.63200515794658
900,Estimates,1960,6.75446826669446
900,Estimates,1965,6.94520535192415
900,Estimates,1970,7.4648789944051
900,Estimates,1975,7.9724100473966
900,Estimates,1980,8.40737166054926
900,Estimates,1985,8.69869111237911
900,Estimates,1990,8.49371926195338
900,Estimates,1995,8.68347869326286
900,Estimates,2000,9.10844498233581
900,Estimates,2005,9.55970290947173
900,Estimates,2010,10.0354310560823
900,Constant_fertility,2015,10.2193209872378
900,Constant_mortality,2015,10.2193209872378
900,Estimates,2015,10.2193209872378
900,High_variant,2015,10.2193209872378
900,Instant_replacement,2015,10.2193209872378
900,Low_variant,2015,10.2193209872378
900,Medium_variant,2015,10.2193209872378
900,No_change,2015,10.2193209872378
900,Zero_migration,2015,10.2193209872378
900,Constant_fertility,2020,11.0568398217375
900,Constant_mortality,2020,10.9063720449905
900,High_variant,2020,11.0568398217375
900,Instant_replacement,2020,11.0568506111787
900,Low_variant,2020,11.0568398217375
900,Medium_variant,2020,11.0568398217375
900,No_change,2020,10.9063708852692
900,Zero_migration,2020,11.057863942486
900,Constant_fertility,2025,12.7381169368298
900,Constant_mortality,2025,12.3034755410625
900,High_variant,2025,12.7381169368298
900,Instant_replacement,2025,12.7381697993577
900,Low_variant,2025,12.7381169368298
900,Medium_variant,2025,12.7381169368298
900,No_change,2025,12.3034682272236
900,Zero_migration,2025,12.7408265484096
900,Constant_fertility,2030,14.4044549480002
900,Constant_mortality,2030,13.5497593550162
900,High_variant,2030,14.4044549480002
900,Instant_replacement,2030,14.4046289944739
900,Low_variant,2030,14.4044549480002
900,Medium_variant,2030,14.4044549480002
900,No_change,2030,13.549729163075
900,Zero_migration,2030,14.4085664662794
900,Constant_fertility,2035,16.341783426251
900,Constant_mortality,2035,14.9239765513454
900,High_variant,2035,16.341783426251
900,Instant_replacement,2035,16.3421829416272
900,Low_variant,2035,16.341783426251
900,Medium_variant,2035,16.341783426251
900,No_change,2035,14.9238969399983
900,Zero_migration,2035,16.3470490280654
900,Constant_fertility,2040,18.3384713162596
900,Constant_mortality,2040,16.2073949873771
900,High_variant,2040,18.3384713162596
900,Instant_replacement,2040,18.3390485708682
900,Low_variant,2040,18.3384713162596
900,Medium_variant,2040,18.3384713162596
900,No_change,2040,16.2072432400954
900,Zero_migration,2040,18.34996456181
900,Constant_fertility,2045,19.9375468372129
900,Constant_mortality,2045,17.1153044014597
900,High_variant,2045,19.7865872030518
900,Instant_replacement,2045,20.294221672467
900,Low_variant,2045,20.3265398656953
900,Medium_variant,2045,20.0527130581127
900,No_change,2045,17.0171430175416
900,Zero_migration,2045,20.0791770120328
900,Constant_fertility,2050,20.8995667328985
900,Constant_mortality,2050,17.5051908475261
900,High_variant,2050,20.5677326006462
900,Instant_replacement,2050,21.7558176712122
900,Low_variant,2050,22.0173931159361
900,Medium_variant,2050,21.2676066135347
900,No_change,2050,17.2042251048233
900,Zero_migration,2050,21.3063422239518
900,Constant_fertility,2055,22.073153698775
900,Constant_mortality,2055,18.2177034713625
900,High_variant,2055,21.584354986206
900,Instant_replacement,2055,23.6141195367197
900,Low_variant,2055,24.3032059269037
900,Medium_variant,2055,22.8628522397582
900,No_change,2055,17.5947921232121
900,Zero_migration,2055,22.9029859728277
900,Constant_fertility,2060,23.551147047064
900,Constant_mortality,2060,19.3749652882241
900,High_variant,2060,23.033888549438
900,Instant_replacement,2060,26.0565882723724
900,Low_variant,2060,27.3118264045895
900,Medium_variant,2060,24.9925848334834
900,No_change,2060,18.2731734386337
900,Zero_migration,2060,25.0155495116555
900,Constant_fertility,2065,24.1308380921848
900,Constant_mortality,2065,19.8711619715182
900,High_variant,2065,23.7388585054426
900,Instant_replacement,2065,27.8298765392174
900,Low_variant,2065,29.7532863803121
900,Medium_variant,2065,26.4246916470972
900,No_change,2065,18.1777100030119
900,Zero_migration,2065,26.4091185908832
900,Constant_fertility,2070,23.7897049656682
900,Constant_mortality,2070,19.6951103463776
900,High_variant,2070,23.6442732870183
900,Instant_replacement,2070,28.8582891324616
900,Low_variant,2070,31.5556101744091
900,Medium_variant,2070,27.0945696346091
900,No_change,2070,17.347180294899
900,Zero_migration,2070,27.0404711245259
900,Constant_fertility,2075,23.1858650871703
900,Constant_mortality,2075,19.5516038588407
900,High_variant,2075,23.3876696198973
900,Instant_replacement,2075,29.857880441232
900,Low_variant,2075,33.5785721189892
900,Medium_variant,2075,27.7174120789834
900,No_change,2075,16.4414456327395
900,Zero_migration,2075,27.6320161819899
900,Constant_fertility,2080,22.5695672985992
900,Constant_mortality,2080,19.7535851121925
900,High_variant,2080,23.2548434437815
900,Instant_replacement,2080,31.1503934736649
900,Low_variant,2080,36.2880039903627
900,Medium_variant,2080,28.6175069529686
900,No_change,2080,15.7087294043425
900,Zero_migration,2080,28.5006985077554
900,Constant_fertility,2085,21.9533315182999
900,Constant_mortality,2085,20.3022574962185
900,High_variant,2085,23.3096140534772
900,Instant_replacement,2085,32.8201785131219
900,Low_variant,2085,39.8719302551897
900,Medium_variant,2085,29.8626227095011
900,No_change,2085,15.1124629845989
900,Zero_migration,2085,29.7121748358124
900,Constant_fertility,2090,21.4234557054897
900,Constant_mortality,2090,20.7799281270427
900,High_variant,2090,24.2278397127152
900,Instant_replacement,2090,33.6845716243992
900,Low_variant,2090,42.0452497925913
900,Medium_variant,2090,31.1436870505004
900,No_change,2090,14.58639762739
900,Zero_migration,2090,30.9563931111486
900,Constant_fertility,2095,20.812099105679
900,Constant_mortality,2095,20.9720938181391
900,High_variant,2095,25.3480868669801
900,Instant_replacement,2095,34.5562782847802
900,Low_variant,2095,43.1367829832676
900,Medium_variant,2095,32.2378253266863
900,No_change,2095,13.9528562606219
900,Zero_migration,2095,32.0325689249166
900,Constant_fertility,2100,20.1135233472701
900,Constant_mortality,2100,20.9933121363489
900,High_variant,2100,26.4369248111172
900,Instant_replacement,2100,35.5172683492772
900,Low_variant,2100,43.6082482288878
900,Medium_variant,2100,33.1872086388032
900,No_change,2100,13.2529803358679
900,Zero_migration,2100,32.9728573488465
