variant,country,year,populationnaturalchange
estimates,800,1950,139.011
estimates,800,1951,141.067
estimates,800,1952,145.401
estimates,800,1953,150.184
estimates,800,1954,155.414
estimates,800,1955,161.097
estimates,800,1956,167.249
estimates,800,1957,173.881
estimates,800,1958,181.019
estimates,800,1959,188.718
estimates,800,1960,197.026
estimates,800,1961,205.978
estimates,800,1962,215.579
estimates,800,1963,225.775
estimates,800,1964,236.444
estimates,800,1965,247.386
estimates,800,1966,258.376
estimates,800,1967,269.231
estimates,800,1968,279.829
estimates,800,1969,290.116
estimates,800,1970,300.095
estimates,800,1971,309.843
estimates,800,1972,319.548
estimates,800,1973,329.387
estimates,800,1974,339.456
estimates,800,1975,349.863
estimates,800,1976,360.679
estimates,800,1977,371.9
estimates,800,1978,383.495
estimates,800,1979,395.452
estimates,800,1980,407.692
estimates,800,1981,420.101
estimates,800,1982,432.6
estimates,800,1983,445.158
estimates,800,1984,457.8
estimates,800,1985,470.581
estimates,800,1986,483.579
estimates,800,1987,496.93
estimates,800,1988,510.771
estimates,800,1989,525.206
estimates,800,1990,540.109
estimates,800,1991,555.255
estimates,800,1992,570.655
estimates,800,1993,586.559
estimates,800,1994,603.405
estimates,800,1995,621.984
estimates,800,1996,643.191
estimates,800,1997,667.57
estimates,800,1998,695.366
estimates,800,1999,726.53
estimates,800,2000,760.841
estimates,800,2001,797.843
estimates,800,2002,836.59
estimates,800,2003,876.111
estimates,800,2004,915.682
estimates,800,2005,954.473
estimates,800,2006,991.817
estimates,800,2007,1027.653
estimates,800,2008,1062.099
estimates,800,2009,1095.276
estimates,800,2010,1127.716
estimates,800,2011,1160.202
estimates,800,2012,1193.462
estimates,800,2013,1227.944
estimates,800,2014,1263.694
estimates,800,2015,1300.425
medium_variant,800,2015,1300.425
medium_variant,800,2016,1337.575
medium_variant,800,2017,1374.39
medium_variant,800,2018,1410.287
medium_variant,800,2019,1445.051
medium_variant,800,2020,1478.658
medium_variant,800,2021,1511.299
medium_variant,800,2022,1543.386
medium_variant,800,2023,1575.241
medium_variant,800,2024,1606.957
medium_variant,800,2025,1638.603
medium_variant,800,2026,1670.182
medium_variant,800,2027,1701.558
medium_variant,800,2028,1732.575
medium_variant,800,2029,1763.126
medium_variant,800,2030,1793.114
medium_variant,800,2031,1822.457
medium_variant,800,2032,1851.074
medium_variant,800,2033,1878.857
medium_variant,800,2034,1905.693
medium_variant,800,2035,1931.446
medium_variant,800,2036,1956.005
medium_variant,800,2037,1979.366
medium_variant,800,2038,2001.553
medium_variant,800,2039,2022.592
medium_variant,800,2040,2042.557
medium_variant,800,2041,2061.548
medium_variant,800,2042,2079.697
medium_variant,800,2043,2097.109
medium_variant,800,2044,2113.845
medium_variant,800,2045,2129.959
medium_variant,800,2046,2145.475
medium_variant,800,2047,2160.33
medium_variant,800,2048,2174.449
medium_variant,800,2049,2187.777
medium_variant,800,2050,2200.25
medium_variant,800,2051,2211.809
medium_variant,800,2052,2222.388
medium_variant,800,2053,2231.928
medium_variant,800,2054,2240.371
medium_variant,800,2055,2247.706
medium_variant,800,2056,2253.959
medium_variant,800,2057,2259.146
medium_variant,800,2058,2263.246
medium_variant,800,2059,2266.194
medium_variant,800,2060,2267.844
medium_variant,800,2061,2268.031
medium_variant,800,2062,2266.685
medium_variant,800,2063,2263.81
medium_variant,800,2064,2259.478
medium_variant,800,2065,2253.883
medium_variant,800,2066,2247.287
medium_variant,800,2067,2239.902
medium_variant,800,2068,2231.853
medium_variant,800,2069,2223.14
medium_variant,800,2070,2213.614
medium_variant,800,2071,2203.018
medium_variant,800,2072,2191.096
medium_variant,800,2073,2177.697
medium_variant,800,2074,2162.822
medium_variant,800,2075,2146.578
medium_variant,800,2076,2129.168
medium_variant,800,2077,2110.851
medium_variant,800,2078,2091.831
medium_variant,800,2079,2072.196
medium_variant,800,2080,2051.986
medium_variant,800,2081,2031.171
medium_variant,800,2082,2009.612
medium_variant,800,2083,1987.181
medium_variant,800,2084,1963.814
medium_variant,800,2085,1939.421
medium_variant,800,2086,1913.925
medium_variant,800,2087,1887.313
medium_variant,800,2088,1859.606
medium_variant,800,2089,1830.836
medium_variant,800,2090,1801.072
medium_variant,800,2091,1770.4
medium_variant,800,2092,1738.908
medium_variant,800,2093,1706.674
medium_variant,800,2094,1673.761
medium_variant,800,2095,1640.21
medium_variant,800,2096,1606.041
medium_variant,800,2097,1571.268
medium_variant,800,2098,1535.892
medium_variant,800,2099,1499.916
