global,variant,year,childdependencyratio2069
900,estimates,1950,82.1803316618977
900,estimates,1955,85.7085606570271
900,estimates,1960,88.779930949334
900,estimates,1965,94.1261303082533
900,estimates,1970,96.4862936061234
900,estimates,1975,93.4863239846406
900,estimates,1980,89.3216276892309
900,estimates,1985,84.4041331180792
900,estimates,1990,79.583755233114
900,estimates,1995,74.5771066239699
900,estimates,2000,70.1229811061652
900,estimates,2005,65.1802155203815
900,estimates,2010,59.6268530641327
900,constantfertility,2015,56.3060146650509
900,constantmortality,2015,56.3060146650509
900,estimates,2015,56.3060146650509
900,highvariant,2015,56.3060146650509
900,instantreplacement,2015,56.3060146650509
900,lowvariant,2015,56.3060146650509
900,mediumvariant,2015,56.3060146650509
900,nochange,2015,56.3060146650509
900,zeromigration,2015,56.3060146650509
900,constantfertility,2020,55.3195587285077
900,constantmortality,2020,54.6354559789545
900,highvariant,2020,56.1458626584417
900,instantreplacement,2020,53.2730863689049
900,lowvariant,2020,53.2008567121021
900,mediumvariant,2020,54.6745377908569
900,nochange,2020,55.2754669279635
900,zeromigration,2020,54.6632024519417
900,constantfertility,2025,55.2290400518526
900,constantmortality,2025,53.1833440568786
900,highvariant,2025,56.9571595446283
900,instantreplacement,2025,50.7386230536945
900,lowvariant,2025,49.6520324052222
900,mediumvariant,2025,53.3060168297487
900,nochange,2025,55.081124802409
900,zeromigration,2025,53.2830448232555
900,constantfertility,2030,55.3571046489951
900,constantmortality,2030,51.3076279254299
900,highvariant,2030,57.7548046214996
900,instantreplacement,2030,48.0105342542026
900,lowvariant,2030,45.3469180662159
900,mediumvariant,2030,51.5526089757883
900,nochange,2030,55.0441179121103
900,zeromigration,2030,51.5271946360863
900,constantfertility,2035,56.054520699109
900,constantmortality,2035,49.3276288751651
900,highvariant,2035,58.3982339213093
900,instantreplacement,2035,45.2995093828405
900,lowvariant,2035,41.0681370662909
900,mediumvariant,2035,49.7271703350041
900,nochange,2035,55.5118480024578
900,zeromigration,2035,49.7151717754391
900,constantfertility,2040,57.1567323961013
900,constantmortality,2040,47.826409248314
900,highvariant,2040,57.7479364886811
900,instantreplacement,2040,44.5336971772216
900,lowvariant,2040,38.8162963915591
900,mediumvariant,2040,48.3338655025907
900,nochange,2040,56.3935091687319
900,zeromigration,2040,48.3454937155993
900,constantfertility,2045,58.8673037048245
900,constantmortality,2045,46.8464278296554
900,highvariant,2045,57.0908960943793
900,instantreplacement,2045,43.9468582244031
900,lowvariant,2045,37.6374458799361
900,mediumvariant,2045,47.4403324028644
900,nochange,2045,57.8592476353684
900,zeromigration,2045,47.4581630033092
900,constantfertility,2050,60.976783289411
900,constantmortality,2050,46.0421773283194
