global,variant,freq,year,rateofnaturalincreaseper1000population
900,estimates,5yearly,1950,17.652
900,estimates,5yearly,1955,18.006
900,estimates,5yearly,1960,19.187
900,estimates,5yearly,1965,20.557
900,estimates,5yearly,1970,19.572
900,estimates,5yearly,1975,17.797
900,estimates,5yearly,1980,17.774
900,estimates,5yearly,1985,17.993
900,estimates,5yearly,1990,15.408
900,estimates,5yearly,1995,13.202
900,estimates,5yearly,2000,12.431
900,estimates,5yearly,2005,12.197
900,estimates,5yearly,2010,11.758
900,constant_fertility,5yearly,2015,11.603
900,constant_mortality,5yearly,2015,10.24
900,high_variant,5yearly,2015,12.601
900,instant_replacement,5yearly,2015,9.109
900,low_variant,5yearly,2015,9.02
900,medium_variant,5yearly,2015,10.82
900,no_change,5yearly,2015,11.017
900,zero_migration,5yearly,2015,10.828
900,constant_fertility,5yearly,2020,11.188
900,constant_mortality,5yearly,2020,8.585
900,high_variant,5yearly,2020,12.254
900,instant_replacement,5yearly,2020,8.214
900,low_variant,5yearly,2020,6.958
900,medium_variant,5yearly,2020,9.648
900,no_change,5yearly,2020,10.107
900,zero_migration,5yearly,2020,9.663
900,constant_fertility,5yearly,2025,10.886
900,constant_mortality,5yearly,2025,7.12
900,high_variant,5yearly,2025,11.653
900,instant_replacement,5yearly,2025,7.414
900,low_variant,5yearly,2025,5.42
900,medium_variant,5yearly,2025,8.631
900,no_change,5yearly,2025,9.345
900,zero_migration,5yearly,2025,8.644
900,constant_fertility,5yearly,2030,10.785
900,constant_mortality,5yearly,2030,5.87
900,high_variant,5yearly,2030,10.683
900,instant_replacement,5yearly,2030,6.689
900,low_variant,5yearly,2030,4.662
900,medium_variant,5yearly,2030,7.8
900,no_change,5yearly,2030,8.815
900,zero_migration,5yearly,2030,7.804
900,constant_fertility,5yearly,2035,10.914
900,constant_mortality,5yearly,2035,4.739
900,high_variant,5yearly,2035,10.123
900,instant_replacement,5yearly,2035,5.882
900,low_variant,5yearly,2035,3.781
900,medium_variant,5yearly,2035,7.075
900,no_change,5yearly,2035,8.528
900,zero_migration,5yearly,2035,7.069
900,constant_fertility,5yearly,2040,11.231
900,constant_mortality,5yearly,2040,3.667
900,high_variant,5yearly,2040,9.901
900,instant_replacement,5yearly,2040,5.026
900,low_variant,5yearly,2040,2.68
900,medium_variant,5yearly,2040,6.376
900,no_change,5yearly,2040,8.461
900,zero_migration,5yearly,2040,6.363
900,constant_fertility,5yearly,2045,11.686
900,constant_mortality,5yearly,2045,2.629
900,high_variant,5yearly,2045,9.767
900,instant_replacement,5yearly,2045,4.293
900,low_variant,5yearly,2045,1.445
900,medium_variant,5yearly,2045,5.657
900,no_change,5yearly,2045,8.576
900,zero_migration,5yearly,2045,5.64
900,constant_fertility,5yearly,2050,12.305
900,constant_mortality,5yearly,2050,1.644
900,high_variant,5yearly,2050,9.535
900,instant_replacement,5yearly,2050,3.684
900,low_variant,5yearly,2050,0.250999999999999
900,medium_variant,5yearly,2050,4.949
900,no_change,5yearly,2050,8.893
900,zero_migration,5yearly,2050,4.927
900,constant_fertility,5yearly,2055,13.101
900,constant_mortality,5yearly,2055,0.75
900,high_variant,5yearly,2055,9.155
900,instant_replacement,5yearly,2055,3.079
900,low_variant,5yearly,2055,-0.805999999999999
900,medium_variant,5yearly,2055,4.277
900,no_change,5yearly,2055,9.432
900,zero_migration,5yearly,2055,4.249
900,constant_fertility,5yearly,2060,14.082
900,constant_mortality,5yearly,2060,0.00700000000000145
900,high_variant,5yearly,2060,8.797
900,instant_replacement,5yearly,2060,2.571
900,low_variant,5yearly,2060,-1.681
900,medium_variant,5yearly,2060,3.724
900,no_change,5yearly,2060,10.172
900,zero_migration,5yearly,2060,3.691
900,constant_fertility,5yearly,2065,15.234
900,constant_mortality,5yearly,2065,-0.602
900,high_variant,5yearly,2065,8.599
900,instant_replacement,5yearly,2065,2.185
900,low_variant,5yearly,2065,-2.456
900,medium_variant,5yearly,2065,3.293
900,no_change,5yearly,2065,11.073
900,zero_migration,5yearly,2065,3.253
900,constant_fertility,5yearly,2070,16.48
900,constant_mortality,5yearly,2070,-1.115
900,high_variant,5yearly,2070,8.512
900,instant_replacement,5yearly,2070,1.874
900,low_variant,5yearly,2070,-3.269
900,medium_variant,5yearly,2070,2.893
900,no_change,5yearly,2070,12.094
900,zero_migration,5yearly,2070,2.851
900,constant_fertility,5yearly,2075,17.803
900,constant_mortality,5yearly,2075,-1.573
900,high_variant,5yearly,2075,8.462
900,instant_replacement,5yearly,2075,1.654
900,low_variant,5yearly,2075,-4.108
900,medium_variant,5yearly,2075,2.507
900,no_change,5yearly,2075,13.194
900,zero_migration,5yearly,2075,2.467
900,constant_fertility,5yearly,2080,19.181
900,constant_mortality,5yearly,2080,-2.027
900,high_variant,5yearly,2080,8.38
900,instant_replacement,5yearly,2080,1.532
900,low_variant,5yearly,2080,-4.911
900,medium_variant,5yearly,2080,2.146
900,no_change,5yearly,2080,14.312
900,zero_migration,5yearly,2080,2.11
900,constant_fertility,5yearly,2085,20.588
900,constant_mortality,5yearly,2085,-2.499
900,high_variant,5yearly,2085,8.265
900,instant_replacement,5yearly,2085,1.505
900,low_variant,5yearly,2085,-5.589
900,medium_variant,5yearly,2085,1.849
900,no_change,5yearly,2085,15.397
900,zero_migration,5yearly,2085,1.818
900,constant_fertility,5yearly,2090,21.963
900,constant_mortality,5yearly,2090,-2.973
900,high_variant,5yearly,2090,8.091
900,instant_replacement,5yearly,2090,1.524
900,low_variant,5yearly,2090,-6.18
900,medium_variant,5yearly,2090,1.571
900,no_change,5yearly,2090,16.436
900,zero_migration,5yearly,2090,1.543
900,constant_fertility,5yearly,2095,23.259
900,constant_mortality,5yearly,2095,-3.382
900,high_variant,5yearly,2095,7.866
900,instant_replacement,5yearly,2095,1.544
900,low_variant,5yearly,2095,-6.738
900,medium_variant,5yearly,2095,1.268
900,no_change,5yearly,2095,17.446
900,zero_migration,5yearly,2095,1.239
