variant,region,year,lifeexpectancyatbirth
estimates,911,1950,35.956
estimates,911,1951,36.14
estimates,911,1952,36.506
estimates,911,1953,36.867
estimates,911,1954,37.222
estimates,911,1955,37.571
estimates,911,1956,37.915
estimates,911,1957,38.254
estimates,911,1958,38.589
estimates,911,1959,38.921
estimates,911,1960,39.251
estimates,911,1961,39.58
estimates,911,1962,39.913
estimates,911,1963,40.25
estimates,911,1964,40.596
estimates,911,1965,40.956
estimates,911,1966,41.335
estimates,911,1967,41.735
estimates,911,1968,42.152
estimates,911,1969,42.581
estimates,911,1970,43.014
estimates,911,1971,43.438
estimates,911,1972,43.845
estimates,911,1973,44.228
estimates,911,1974,44.584
estimates,911,1975,44.916
estimates,911,1976,45.229
estimates,911,1977,45.532
estimates,911,1978,45.833
estimates,911,1979,46.131
estimates,911,1980,46.424
estimates,911,1981,46.708
estimates,911,1982,46.976
estimates,911,1983,47.224
estimates,911,1984,47.451
estimates,911,1985,47.66
estimates,911,1986,47.854
estimates,911,1987,48.039
estimates,911,1988,48.215
estimates,911,1989,48.378
estimates,911,1990,48.514
estimates,911,1991,48.603
estimates,911,1992,48.638
estimates,911,1993,48.626
estimates,911,1994,48.58
estimates,911,1995,48.529
estimates,911,1996,48.507
estimates,911,1997,48.545
estimates,911,1998,48.666
estimates,911,1999,48.882
estimates,911,2000,49.196
estimates,911,2001,49.602
estimates,911,2002,50.073
estimates,911,2003,50.586
estimates,911,2004,51.124
estimates,911,2005,51.675
estimates,911,2006,52.232
estimates,911,2007,52.792
estimates,911,2008,53.348
estimates,911,2009,53.892
estimates,911,2010,54.415
estimates,911,2011,54.911
estimates,911,2012,55.38
estimates,911,2013,55.824
estimates,911,2014,56.244
estimates,911,2015,56.642
medium_variant,911,2015,56.642
medium_variant,911,2016,57.022
medium_variant,911,2017,57.39
medium_variant,911,2018,57.752
medium_variant,911,2019,58.111
medium_variant,911,2020,58.473
medium_variant,911,2021,58.838
medium_variant,911,2022,59.205
medium_variant,911,2023,59.575
medium_variant,911,2024,59.946
medium_variant,911,2025,60.318
medium_variant,911,2026,60.69
medium_variant,911,2027,61.061
medium_variant,911,2028,61.429
medium_variant,911,2029,61.793
medium_variant,911,2030,62.152
medium_variant,911,2031,62.507
medium_variant,911,2032,62.858
medium_variant,911,2033,63.204
medium_variant,911,2034,63.546
medium_variant,911,2035,63.885
medium_variant,911,2036,64.219
medium_variant,911,2037,64.548
medium_variant,911,2038,64.873
medium_variant,911,2039,65.193
medium_variant,911,2040,65.507
medium_variant,911,2041,65.815
medium_variant,911,2042,66.116
medium_variant,911,2043,66.409
medium_variant,911,2044,66.696
medium_variant,911,2045,66.976
medium_variant,911,2046,67.25
medium_variant,911,2047,67.52
medium_variant,911,2048,67.785
medium_variant,911,2049,68.048
medium_variant,911,2050,68.307
medium_variant,911,2051,68.564
medium_variant,911,2052,68.817
medium_variant,911,2053,69.068
medium_variant,911,2054,69.314
medium_variant,911,2055,69.556
medium_variant,911,2056,69.792
medium_variant,911,2057,70.022
medium_variant,911,2058,70.245
medium_variant,911,2059,70.463
medium_variant,911,2060,70.675
medium_variant,911,2061,70.883
medium_variant,911,2062,71.09
medium_variant,911,2063,71.295
medium_variant,911,2064,71.499
medium_variant,911,2065,71.703
medium_variant,911,2066,71.905
medium_variant,911,2067,72.105
medium_variant,911,2068,72.301
medium_variant,911,2069,72.494
medium_variant,911,2070,72.683
medium_variant,911,2071,72.868
medium_variant,911,2072,73.049
medium_variant,911,2073,73.226
medium_variant,911,2074,73.401
medium_variant,911,2075,73.573
medium_variant,911,2076,73.743
medium_variant,911,2077,73.911
medium_variant,911,2078,74.077
medium_variant,911,2079,74.243
medium_variant,911,2080,74.407
medium_variant,911,2081,74.569
medium_variant,911,2082,74.729
medium_variant,911,2083,74.888
medium_variant,911,2084,75.045
medium_variant,911,2085,75.203
medium_variant,911,2086,75.362
medium_variant,911,2087,75.523
medium_variant,911,2088,75.686
medium_variant,911,2089,75.851
medium_variant,911,2090,76.016
medium_variant,911,2091,76.181
medium_variant,911,2092,76.345
medium_variant,911,2093,76.504
medium_variant,911,2094,76.66
medium_variant,911,2095,76.81
medium_variant,911,2096,76.955
medium_variant,911,2097,77.095
medium_variant,911,2098,77.229
medium_variant,911,2099,77.357
