country,variant,gender,year,population
64,estimates,female,1950,86.141
64,estimates,male,1950,90.654
64,estimates,female,1951,88.658
64,estimates,male,1951,92.831
64,estimates,female,1952,91.08
64,estimates,male,1952,95.08
64,estimates,female,1953,93.441
64,estimates,male,1953,97.369
64,estimates,female,1954,95.772
64,estimates,male,1954,99.677
64,estimates,female,1955,98.097
64,estimates,male,1955,101.992
64,estimates,female,1956,100.436
64,estimates,male,1956,104.312
64,estimates,female,1957,102.803
64,estimates,male,1957,106.646
64,estimates,female,1958,105.209
64,estimates,male,1958,109.012
64,estimates,female,1959,107.66
64,estimates,male,1959,111.435
64,estimates,female,1960,110.166
64,estimates,male,1960,113.942
64,estimates,female,1961,112.74
64,estimates,male,1961,116.557
64,estimates,female,1962,115.405
64,estimates,male,1962,119.298
64,estimates,female,1963,118.194
64,estimates,male,1963,122.17
64,estimates,female,1964,121.147
64,estimates,male,1964,125.177
64,estimates,female,1965,124.295
64,estimates,male,1965,128.334
64,estimates,female,1966,127.649
64,estimates,male,1966,131.621
64,estimates,female,1967,131.216
64,estimates,male,1967,135.077
64,estimates,female,1968,135.019
64,estimates,male,1968,138.849
64,estimates,female,1969,139.084
64,estimates,male,1969,143.126
64,estimates,female,1970,143.424
64,estimates,male,1970,148.033
64,estimates,female,1971,148.041
64,estimates,male,1971,153.612
64,estimates,female,1972,152.922
64,estimates,male,1972,159.79
64,estimates,female,1973,158.04
64,estimates,male,1973,166.425
64,estimates,female,1974,163.361
64,estimates,male,1974,173.316
64,estimates,female,1975,168.85
64,estimates,male,1975,180.296
64,estimates,female,1976,174.514
64,estimates,male,1976,187.348
64,estimates,female,1977,180.336
64,estimates,male,1977,194.465
64,estimates,female,1978,186.227
64,estimates,male,1978,201.504
64,estimates,female,1979,192.076
64,estimates,male,1979,208.302
64,estimates,female,1980,197.809
64,estimates,male,1980,214.752
64,estimates,female,1981,203.253
64,estimates,male,1981,220.634
64,estimates,female,1982,208.416
64,estimates,male,1982,225.969
64,estimates,female,1983,213.611
64,estimates,male,1983,231.178
64,estimates,female,1984,219.281
64,estimates,male,1984,236.854
64,estimates,female,1985,225.668
64,estimates,male,1985,243.342
64,estimates,female,1986,233.111
64,estimates,male,1986,251.04
64,estimates,female,1987,241.327
64,estimates,male,1987,259.625
64,estimates,female,1988,249.203
64,estimates,male,1988,267.865
64,estimates,female,1989,255.216
64,estimates,male,1989,274.068
64,estimates,female,1990,258.375
64,estimates,male,1990,277.13
64,estimates,female,1991,258.142
64,estimates,male,1991,276.536
64,estimates,female,1992,255.116
64,estimates,male,1992,272.969
64,estimates,female,1993,250.841
64,estimates,male,1993,268.006
64,estimates,female,1994,247.503
64,estimates,male,1994,263.879
64,estimates,female,1995,246.666
64,estimates,male,1995,262.231
64,estimates,female,1996,248.876
64,estimates,male,1996,263.501
64,estimates,female,1997,253.635
64,estimates,male,1997,267.282
64,estimates,female,1998,260.184
64,estimates,male,1998,273.322
64,estimates,female,1999,267.313
64,estimates,male,1999,281.074
64,estimates,female,2000,274.123
64,estimates,male,2000,290.064
64,estimates,female,2001,280.429
64,estimates,male,2001,300.355
64,estimates,female,2002,286.492
64,estimates,male,2002,311.929
64,estimates,female,2003,292.379
64,estimates,male,2003,324.095
64,estimates,female,2004,298.271
64,estimates,male,2004,335.964
64,estimates,female,2005,304.286
64,estimates,male,2005,346.877
64,estimates,female,2006,310.396
64,estimates,male,2006,356.524
64,estimates,female,2007,316.481
64,estimates,male,2007,364.99
64,estimates,female,2008,322.474
64,estimates,male,2008,372.516
64,estimates,female,2009,328.295
64,estimates,male,2009,379.535
64,estimates,female,2010,333.884
64,estimates,male,2010,386.362
64,estimates,female,2011,339.21
64,estimates,male,2011,393.036
64,estimates,female,2012,344.287
64,estimates,male,2012,399.424
64,estimates,female,2013,349.158
64,estimates,male,2013,405.479
64,estimates,female,2014,353.893
64,estimates,male,2014,411.115
64,constant-fertility,female,2015,358.546
64,constant-fertility,male,2015,416.284
64,constant-mortality,female,2015,358.546
64,constant-mortality,male,2015,416.284
64,estimates,female,2015,358.546
64,estimates,male,2015,416.284
64,high variant,female,2015,358.546
64,high variant,male,2015,416.284
64,instant-replacement,female,2015,358.546
64,instant-replacement,male,2015,416.284
64,low variant,female,2015,358.546
64,low variant,male,2015,416.284
64,medium variant,female,2015,358.546
64,medium variant,male,2015,416.284
64,no change,female,2015,358.546
64,no change,male,2015,416.284
64,zero-migration,female,2015,358.546
64,zero-migration,male,2015,416.284
64,constant-fertility,female,2016,363.432
64,constant-fertility,male,2016,421.296
64,constant-mortality,female,2016,362.985
64,constant-mortality,male,2016,420.838
64,high variant,female,2016,363.61
64,high variant,male,2016,421.48
64,instant-replacement,female,2016,363.612
64,instant-replacement,male,2016,421.482
64,low variant,female,2016,362.641
64,low variant,male,2016,420.477
64,medium variant,female,2016,363.125
64,medium variant,male,2016,420.978
64,no change,female,2016,363.29
64,no change,male,2016,421.154
64,zero-migration,female,2016,363.125
64,zero-migration,male,2016,420.978
64,constant-fertility,female,2017,368.367
64,constant-fertility,male,2017,426.037
64,constant-mortality,female,2017,367.273
64,constant-mortality,male,2017,424.915
64,high variant,female,2017,368.798
64,high variant,male,2017,426.482
64,instant-replacement,female,2017,368.801
64,instant-replacement,male,2017,426.486
64,low variant,female,2017,366.436
64,low variant,male,2017,424.039
64,medium variant,female,2017,367.617
64,medium variant,male,2017,425.26
64,no change,female,2017,368.02
64,no change,male,2017,425.688
64,zero-migration,female,2017,367.617
64,zero-migration,male,2017,425.26
64,constant-fertility,female,2018,373.344
64,constant-fertility,male,2018,430.597
64,constant-mortality,female,2018,371.417
64,constant-mortality,male,2018,428.625
64,high variant,female,2018,374.084
64,high variant,male,2018,431.364
64,instant-replacement,female,2018,374.078
64,instant-replacement,male,2018,431.357
64,low variant,female,2018,369.966
64,low variant,male,2018,427.102
64,medium variant,female,2018,372.025
64,medium variant,male,2018,429.232
64,no change,female,2018,372.729
64,no change,male,2018,429.982
64,zero-migration,female,2018,372.025
64,zero-migration,male,2018,429.232
64,constant-fertility,female,2019,378.335
64,constant-fertility,male,2019,435.089
64,constant-mortality,female,2019,375.425
64,constant-mortality,male,2019,432.113
64,high variant,female,2019,379.418
64,high variant,male,2019,436.209
64,instant-replacement,female,2019,379.379
64,instant-replacement,male,2019,436.169
64,low variant,female,2019,373.276
64,low variant,male,2019,429.854
64,medium variant,female,2019,376.347
64,medium variant,male,2019,433.031
64,no change,female,2019,377.401
64,no change,male,2019,434.157
64,zero-migration,female,2019,376.347
64,zero-migration,male,2019,433.031
64,constant-fertility,female,2020,383.323
64,constant-fertility,male,2020,439.596
64,constant-mortality,female,2020,379.3
64,constant-mortality,male,2020,435.488
64,high variant,female,2020,384.759
64,high variant,male,2020,441.082
64,instant-replacement,female,2020,384.655
64,instant-replacement,male,2020,440.975
64,low variant,female,2020,376.403
64,low variant,male,2020,432.437
64,medium variant,female,2020,380.581
64,medium variant,male,2020,436.758
64,no change,female,2020,382.023
64,no change,male,2020,438.303
64,zero-migration,female,2020,380.581
64,zero-migration,male,2020,436.758
64,constant-fertility,female,2021,388.309
64,constant-fertility,male,2021,444.159
64,constant-mortality,female,2021,383.047
64,constant-mortality,male,2021,438.793
64,high variant,female,2021,390.102
64,high variant,male,2021,446.014
64,instant-replacement,female,2021,389.901
64,instant-replacement,male,2021,445.806
64,low variant,female,2021,379.362
64,low variant,male,2021,434.903
64,medium variant,female,2021,384.732
64,medium variant,male,2021,440.457
64,no change,female,2021,386.596
64,no change,male,2021,442.461
64,zero-migration,female,2021,384.732
64,zero-migration,male,2021,440.457
64,constant-fertility,female,2022,393.3
64,constant-fertility,male,2022,448.767
64,constant-mortality,female,2022,386.665
64,constant-mortality,male,2022,442.011
64,high variant,female,2022,395.454
64,high variant,male,2022,450.996
64,instant-replacement,female,2022,395.127
64,instant-replacement,male,2022,450.658
64,low variant,female,2022,382.149
64,low variant,male,2022,437.232
64,medium variant,female,2022,388.801
64,medium variant,male,2022,444.112
64,no change,female,2022,391.123
64,no change,male,2022,446.617
64,zero-migration,female,2022,388.801
64,zero-migration,male,2022,444.112
64,constant-fertility,female,2023,398.279
64,constant-fertility,male,2023,453.389
64,constant-mortality,female,2023,390.143
64,constant-mortality,male,2023,445.114
64,high variant,female,2023,400.801
64,high variant,male,2023,455.998
64,instant-replacement,female,2023,400.32
64,instant-replacement,male,2023,455.5
64,low variant,female,2023,384.755
64,low variant,male,2023,439.4
64,medium variant,female,2023,392.777
64,medium variant,male,2023,447.697
64,no change,female,2023,395.59
64,no change,male,2023,450.74
64,zero-migration,female,2023,392.777
64,zero-migration,male,2023,447.697
64,constant-fertility,female,2024,403.229
64,constant-fertility,male,2024,457.967
64,constant-mortality,female,2024,393.467
64,constant-mortality,male,2024,448.05
64,high variant,female,2024,406.126
64,high variant,male,2024,460.963
64,instant-replacement,female,2024,405.466
64,instant-replacement,male,2024,460.281
64,low variant,female,2024,387.165
