continent,variant,freq,year,birthper1000population
905,estimates,5yearly,1950,24.63
905,estimates,5yearly,1955,24.806
905,estimates,5yearly,1960,22.421
905,estimates,5yearly,1965,18.011
905,estimates,5yearly,1970,15.605
905,estimates,5yearly,1975,14.833
905,estimates,5yearly,1980,15.327
905,estimates,5yearly,1985,15.576
905,estimates,5yearly,1990,15.368
905,estimates,5yearly,1995,14.106
905,estimates,5yearly,2000,13.769
905,estimates,5yearly,2005,13.614
905,estimates,5yearly,2010,12.436
905,constantfertility,5yearly,2015,12.337
905,constantmortality,5yearly,2015,12.382
905,highvariant,5yearly,2015,13.972
905,instantreplacement,5yearly,2015,13.734
905,lowvariant,5yearly,2015,10.754
905,mediumvariant,5yearly,2015,12.37
905,nochange,5yearly,2015,12.349
905,zeromigration,5yearly,2015,12.296
905,constantfertility,5yearly,2020,12.104
905,constantmortality,5yearly,2020,12.306
905,highvariant,5yearly,2020,14.674
905,instantreplacement,5yearly,2020,13.479
905,lowvariant,5yearly,2020,9.777
905,mediumvariant,5yearly,2020,12.261
905,nochange,5yearly,2020,12.149
905,zeromigration,5yearly,2020,12.036
905,constantfertility,5yearly,2025,11.786
905,constantmortality,5yearly,2025,12.05
905,highvariant,5yearly,2025,14.726
905,instantreplacement,5yearly,2025,13
905,lowvariant,5yearly,2025,9.022
905,mediumvariant,5yearly,2025,11.955
905,nochange,5yearly,2025,11.881
905,zeromigration,5yearly,2025,11.563
905,constantfertility,5yearly,2030,11.498
905,constantmortality,5yearly,2030,11.817
905,highvariant,5yearly,2030,14.167
905,instantreplacement,5yearly,2030,12.574
905,lowvariant,5yearly,2030,8.931
905,mediumvariant,5yearly,2030,11.657
905,nochange,5yearly,2030,11.657
905,zeromigration,5yearly,2030,11.121
905,constantfertility,5yearly,2035,11.332
905,constantmortality,5yearly,2035,11.748
905,highvariant,5yearly,2035,13.91
905,instantreplacement,5yearly,2035,12.382
905,lowvariant,5yearly,2035,8.882
905,mediumvariant,5yearly,2035,11.51
905,nochange,5yearly,2035,11.568
905,zeromigration,5yearly,2035,10.882
905,constantfertility,5yearly,2040,11.256
905,constantmortality,5yearly,2040,11.767
905,highvariant,5yearly,2040,14.028
905,instantreplacement,5yearly,2040,12.444
905,lowvariant,5yearly,2040,8.705
905,mediumvariant,5yearly,2040,11.443
905,nochange,5yearly,2040,11.576
905,zeromigration,5yearly,2040,10.774
905,constantfertility,5yearly,2045,11.208
905,constantmortality,5yearly,2045,11.856
905,highvariant,5yearly,2045,14.524
905,instantreplacement,5yearly,2045,12.691
905,lowvariant,5yearly,2045,8.357
905,mediumvariant,5yearly,2045,11.445
905,nochange,5yearly,2045,11.613
905,zeromigration,5yearly,2045,10.757
905,constantfertility,5yearly,2050,11.15
905,constantmortality,5yearly,2050,11.952
905,highvariant,5yearly,2050,15.038
905,instantreplacement,5yearly,2050,12.845
905,lowvariant,5yearly,2050,7.972
905,mediumvariant,5yearly,2050,11.46
905,nochange,5yearly,2050,11.633
905,zeromigration,5yearly,2050,10.749
905,constantfertility,5yearly,2055,11.05
905,constantmortality,5yearly,2055,11.97
905,highvariant,5yearly,2055,15.182
905,instantreplacement,5yearly,2055,12.726
905,lowvariant,5yearly,2055,7.706
905,mediumvariant,5yearly,2055,11.405
