global,year,variant,age1yearinterval,population
900,1950,estimates,0,78116.685
900,1950,estimates,1,71707.672
900,1950,estimates,2,66449.346
900,1950,estimates,3,62228.019
900,1950,estimates,4,58930.171
900,1950,estimates,5,56442.125
900,1950,estimates,6,54650.245
900,1950,estimates,7,53440.978
900,1950,estimates,8,52700.607
900,1950,estimates,9,52315.608
900,1950,estimates,10,52313.458
900,1950,estimates,11,52721.679
900,1950,estimates,12,52720.923
900,1950,estimates,13,51915.315
900,1950,estimates,14,50614.598
900,1950,estimates,15,49500.049
900,1950,estimates,16,48406.038
900,1950,estimates,17,47479.061
900,1950,estimates,18,46850.759
900,1950,estimates,19,46392.541
900,1950,estimates,20,45860.804
900,1950,estimates,21,45324.219
900,1950,estimates,22,44604.749
900,1950,estimates,23,43595.5480000001
900,1950,estimates,24,42395.589
900,1950,estimates,25,41248.122
900,1950,estimates,26,40149.842
900,1950,estimates,27,38970.424
900,1950,estimates,28,37684.2300000001
900,1950,estimates,29,36371.301
900,1950,estimates,30,35081.576
900,1950,estimates,31,33738.045
900,1950,estimates,32,32825.285
900,1950,estimates,33,32568.096
900,1950,estimates,34,32723.548
900,1950,estimates,35,32834.651
900,1950,estimates,36,33005.807
900,1950,estimates,37,32941.484
900,1950,estimates,38,32452.4779999999
900,1950,estimates,39,31683.008
900,1950,estimates,40,30974.2570000001
900,1950,estimates,41,30267.311
900,1950,estimates,42,29521.5249999999
900,1950,estimates,43,28753.815
900,1950,estimates,44,27965.8860000001
900,1950,estimates,45,27143.566
900,1950,estimates,46,26290.723
900,1950,estimates,47,25453.023
900,1950,estimates,48,24652.266
900,1950,estimates,49,23875.35
900,1950,estimates,50,23092.3269999999
900,1950,estimates,51,22314.936
900,1950,estimates,52,21531.135
900,1950,estimates,53,20733.83
900,1950,estimates,54,19935.8100000001
900,1950,estimates,55,19145.833
900,1950,estimates,56,18348.819
900,1950,estimates,57,17625.54
900,1950,estimates,58,17012.8769999999
900,1950,estimates,59,16467.676
900,1950,estimates,60,15915.902
900,1950,estimates,61,15379.494
900,1950,estimates,62,14777.884
900,1950,estimates,63,14065.776
900,1950,estimates,64,13283.307
900,1950,estimates,65,12518.687
900,1950,estimates,66,11757.792
900,1950,estimates,67,11004.614
900,1950,estimates,68,10271.1190000001
900,1950,estimates,69,9554.21699999988
900,1950,estimates,70,8839.59300000012
900,1950,estimates,71,8131.18299999991
900,1950,estimates,72,7444.948
900,1950,estimates,73,6787.82200000003
900,1950,estimates,74,6156.64200000005
900,1950,estimates,75,5546.426
900,1950,estimates,76,4965.63699999994
900,1950,estimates,77,4393.96700000003
900,1950,estimates,78,3823.29300000001
900,1950,estimates,79,3267.99400000006
900,1950,estimates,80plus,14201.827
900,1951,estimates,0,81973.089
900,1951,estimates,1,76250.302
900,1951,estimates,2,70474.481
900,1951,estimates,3,65672.988
900,1951,estimates,4,61757.344
900,1951,estimates,5,58639.277
900,1951,estimates,6,56209.593
900,1951,estimates,7,54359.136
900,1951,estimates,8,53103.395
900,1951,estimates,9,52395.44
900,1951,estimates,10,52084.665
900,1951,estimates,11,52095.513
900,1951,estimates,12,52476.945
900,1951,estimates,13,52453.607
900,1951,estimates,14,51641.482
900,1951,estimates,15,50343.654
900,1951,estimates,16,49222.729
900,1951,estimates,17,48116.911
900,1951,estimates,18,47180.572
900,1951,estimates,19,46547.495
900,1951,estimates,20,46087.748
900,1951,estimates,21,45553.885
900,1951,estimates,22,45014.8979999999
900,1951,estimates,23,44295.734
900,1951,estimates,24,43290.5750000001
900,1951,estimates,25,42097.034
900,1951,estimates,26,40955.8279999999
900,1951,estimates,27,39863.8620000001
900,1951,estimates,28,38690.064
900,1951,estimates,29,37408.061
900,1951,estimates,30,36097.966
900,1951,estimates,31,34810.787
900,1951,estimates,32,33469.5970000001
900,1951,estimates,33,32556.093
900,1951,estimates,34,32293.892
900,1951,estimates,35,32441.274
900,1951,estimates,36,32544.394
900,1951,estimates,37,32707.8970000001
900,1951,estimates,38,32633.6219999999
900,1951,estimates,39,32131.678
900,1951,estimates,40,31347.966
900,1951,estimates,41,30624.6500000001
900,1951,estimates,42,29901.0149999999
900,1951,estimates,43,29146.9610000001
900,1951,estimates,44,28384.2429999999
900,1951,estimates,45,27609.054
900,1951,estimates,46,26797.8499999999
900,1951,estimates,47,25957.3840000001
900,1951,estimates,48,25123.055
900,1951,estimates,49,24310.946
900,1951,estimates,50,23513.192
900,1951,estimates,51,22710.426
900,1951,estimates,52,21911.849
900,1951,estimates,53,21110.246
900,1951,estimates,54,20301.787
900,1951,estimates,55,19496.502
900,1951,estimates,56,18697.729
900,1951,estimates,57,17892.523
900,1951,estimates,58,17156.397
900,1951,estimates,59,16523.416
900,1951,estimates,60,15953.718
900,1951,estimates,61,15379.348
900,1951,estimates,62,14820.99
900,1951,estimates,63,14201.903
900,1951,estimates,64,13479.248
900,1951,estimates,65,12691.51
900,1951,estimates,66,11922.8000000001
900,1951,estimates,67,11159.8669999999
900,1951,estimates,68,10407.3530000001
900,1951,estimates,69,9677.26200000003
900,1951,estimates,70,8966.53999999996
900,1951,estimates,71,8260.95900000002
900,1951,estimates,72,7564.36799999988
900,1951,estimates,73,6893.16399999998
900,1951,estimates,74,6254.41800000013
900,1951,estimates,75,5644.79400000002
900,1951,estimates,76,5057.92399999983
900,1951,estimates,77,4501.43100000011
900,1951,estimates,78,3959.60799999996
900,1951,estimates,79,3426.11600000003
900,1951,estimates,80plus,15183.496
900,1952,estimates,0,85085.46
900,1952,estimates,1,79060.671
900,1952,estimates,2,74351.3590000001
900,1952,estimates,3,69205.529
900,1952,estimates,4,64859.079
900,1952,estimates,5,61248.6940000001
900,1952,estimates,6,58311.061
900,1952,estimates,7,55941.228
900,1952,estimates,8,54034.247
900,1952,estimates,9,52735
900,1952,estimates,10,52063.394
900,1952,estimates,11,51831.281
900,1952,estimates,12,51859.805
900,1952,estimates,13,52219.962
900,1952,estimates,14,52176.883
900,1952,estimates,15,51357.015
900,1952,estimates,16,50058.277
900,1952,estimates,17,48927.588
900,1952,estimates,18,47805.9330000001
900,1952,estimates,19,46858.727
900,1952,estimates,20,46223.505
900,1952,estimates,21,45767.3870000001
900,1952,estimates,22,45235.8899999999
900,1952,estimates,23,44698.927
900,1952,estimates,24,43982.961
900,1952,estimates,25,42982.021
900,1952,estimates,26,41793.243
900,1952,estimates,27,40657.041
900,1952,estimates,28,39570.42
900,1952,estimates,29,38400.389
900,1952,estimates,30,37119.684
900,1952,estimates,31,35809.003
900,1952,estimates,32,34520.963
900,1952,estimates,33,33178.281
900,1952,estimates,34,32262.42
900,1952,estimates,35,31997.017
900,1952,estimates,36,32140.327
900,1952,estimates,37,32239.1549999999
900,1952,estimates,38,32398.9790000001
900,1952,estimates,39,32317.62
900,1952,estimates,40,31803.662
900,1952,estimates,41,31005.2529999999
900,1952,estimates,42,30267.33
900,1952,estimates,43,29527.08
900,1952,estimates,44,28764.601
900,1952,estimates,45,28006.562
900,1952,estimates,46,27243.806
900,1952,estimates,47,26443.25
900,1952,estimates,48,25614.4939999999
900,1952,estimates,49,24783.359
900,1952,estimates,50,23960.491
900,1952,estimates,51,23142.966
900,1952,estimates,52,22321.459
900,1952,estimates,53,21502.8269999999
900,1952,estimates,54,20684
900,1952,estimates,55,19864.2000000001
900,1952,estimates,56,19050.888
900,1952,estimates,57,18242.781
900,1952,estimates,58,17428.6859999999
900,1952,estimates,59,16679.59
900,1952,estimates,60,16027.037
900,1952,estimates,61,15434.1099999999
900,1952,estimates,62,14838.293
900,1952,estimates,63,14259.2770000001
900,1952,estimates,64,13623.652
900,1952,estimates,65,12890.844
900,1952,estimates,66,12097.879
900,1952,estimates,67,11325.238
900,1952,estimates,68,10560.311
900,1952,estimates,69,9808.82299999997
900,1952,estimates,70,9082.79100000011
900,1952,estimates,71,8379.10099999988
900,1952,estimates,72,7683.37500000007
900,1952,estimates,73,6999.34999999995
900,1952,estimates,74,6343.73700000011
900,1952,estimates,75,5723.59999999995
900,1952,estimates,76,5135.53099999996
900,1952,estimates,77,4572.00500000002
900,1952,estimates,78,4039.79599999996
900,1952,estimates,79,3527.74800000002
900,1952,estimates,80plus,15964.19
900,1953,estimates,0,87298.857
900,1953,estimates,1,81532.381
900,1953,estimates,2,76324.468
900,1953,estimates,3,72491.108
900,1953,estimates,4,67974.254
900,1953,estimates,5,64081.777
900,1953,estimates,6,60775.458
900,1953,estimates,7,58017.082
900,1953,estimates,8,55705.879
900,1953,estimates,9,53741.007
900,1953,estimates,10,52397.243
900,1953,estimates,11,51761.542
900,1953,estimates,12,51607.925
900,1953,estimates,13,51653.948
900,1953,estimates,14,51992.712
900,1953,estimates,15,51929.456
900,1953,estimates,16,51100.812
900,1953,estimates,17,49799.835
900,1953,estimates,18,48658.117
900,1953,estimates,19,47519.369
900,1953,estimates,20,46560.239
900,1953,estimates,21,45922.232
900,1953,estimates,22,45469.409
900,1953,estimates,23,44939.773
900,1953,estimates,24,44404.48
900,1953,estimates,25,43691.22
900,1953,estimates,26,42693.9190000001
900,1953,estimates,27,41509.301
900,1953,estimates,28,40377.535
900,1953,estimates,29,39295.629
900,1953,estimates,30,38128.812
900,1953,estimates,31,36848.7110000001
900,1953,estimates,32,35536.761
900,1953,estimates,33,34247.146
900,1953,estimates,34,32902.274
900,1953,estimates,35,31983.457
900,1953,estimates,36,31714.4499999999
900,1953,estimates,37,31853.361
900,1953,estimates,38,31947.5989999999
900,1953,estimates,39,32103.406
900,1953,estimates,40,32014.672
900,1953,estimates,41,31488.3210000001
900,1953,estimates,42,30674.968
900,1953,estimates,43,29922.0969999999
900,1953,estimates,44,29164.94
900,1953,estimates,45,28393.666
900,1953,estimates,46,27639.783
900,1953,estimates,47,26888.805
900,1953,estimates,48,26098.258
900,1953,estimates,49,25280.577
900,1953,estimates,50,24452.146
900,1953,estimates,51,23618.271
900,1953,estimates,52,22780.842
900,1953,estimates,53,21940.495
900,1953,estimates,54,21101.691
900,1953,estimates,55,20265.506
900,1953,estimates,56,19433.963
900,1953,estimates,57,18612.1610000001
900,1953,estimates,58,17794.214
900,1953,estimates,59,16970.791
900,1953,estimates,60,16208.371
900,1953,estimates,61,15536.0909999999
900,1953,estimates,62,14919.937
900,1953,estimates,63,14302.652
900,1953,estimates,64,13702.9519999999
900,1953,estimates,65,13050.6310000001
