region,variant,year,dependencyratio1564
941,estimates,1950,80.232564028679
941,estimates,1955,81.170357483386
941,estimates,1960,83.3443737701004
941,estimates,1965,86.516206833103
941,estimates,1970,89.1020771965247
941,estimates,1975,90.8131646911927
941,estimates,1980,91.7438964248634
941,estimates,1985,92.0946607802098
941,estimates,1990,91.5611649143749
941,estimates,1995,89.1766152036137
941,estimates,2000,86.371979224318
941,estimates,2005,83.7136994958701
941,estimates,2010,81.158777108254
941,constantfertility,2015,77.1475075169878
941,constantmortality,2015,77.1475075169878
941,estimates,2015,77.1475075169878
941,highvariant,2015,77.1475075169878
941,instantreplacement,2015,77.1475075169878
941,lowvariant,2015,77.1475075169878
941,mediumvariant,2015,77.1475075169878
941,nochange,2015,77.1475075169878
941,zeromigration,2015,77.1475075169878
941,constantfertility,2020,75.0457358822248
941,constantmortality,2020,72.7530185270829
941,highvariant,2020,74.5343262238794
941,instantreplacement,2020,62.7065203888122
941,lowvariant,2020,71.4843407061682
941,mediumvariant,2020,73.0183190448528
941,nochange,2020,74.7630381484647
941,zeromigration,2020,72.7280883516334
941,constantfertility,2025,75.2414527723558
941,constantmortality,2025,68.7562312542995
941,highvariant,2025,73.2169805464766
941,instantreplacement,2025,51.627168263725
941,lowvariant,2025,65.7228262624229
941,mediumvariant,2025,69.4798769811672
941,nochange,2025,74.4347874678234
941,zeromigration,2025,69.0916682260936
941,constantfertility,2030,77.4898719159782
941,constantmortality,2030,65.3977850137419
941,highvariant,2030,72.9343654630798
941,instantreplacement,2030,43.172689430659
941,lowvariant,2030,60.3301628770482
941,mediumvariant,2030,66.6436372101248
941,nochange,2030,76.0357198208335
941,zeromigration,2030,66.2719008545491
941,constantfertility,2035,78.8025307790234
941,constantmortality,2035,62.5066034168582
941,highvariant,2035,70.9907786809674
941,instantreplacement,2035,46.2783956127539
941,lowvariant,2035,57.0930712803958
941,mediumvariant,2035,64.1061954615141
941,nochange,2035,76.8580582895599
941,zeromigration,2035,63.7475127179803
941,constantfertility,2040,79.6458710438874
941,constantmortality,2040,60.0360516758942
941,highvariant,2040,68.6087748177188
941,instantreplacement,2040,48.020465519312
941,lowvariant,2040,55.0376027606716
941,mediumvariant,2040,61.9378927856577
941,nochange,2040,77.2607256817433
941,zeromigration,2040,61.5511117373343
941,constantfertility,2045,80.8228144608988
941,constantmortality,2045,57.9879963744232
941,highvariant,2045,66.5457390390115
941,instantreplacement,2045,48.0571575624734
941,lowvariant,2045,53.7171309480943
941,mediumvariant,2045,60.2224640187085
941,nochange,2045,77.9449333734503
941,zeromigration,2045,59.8050917378632
941,constantfertility,2050,82.6856161823618
941,constantmortality,2050,56.3521802933669
941,highvariant,2050,65.4685957133762
941,instantreplacement,2050,47.2660172495015
941,lowvariant,2050,52.4924961931628
941,mediumvariant,2050,58.9803984403546
941,nochange,2050,79.2312318437389
941,zeromigration,2050,58.5662893637438
941,constantfertility,2055,84.69337162048
941,constantmortality,2055,54.8525517014842
941,highvariant,2055,64.6529705678978
941,instantreplacement,2055,47.0106390575347
941,lowvariant,2055,51.3350726584816
941,mediumvariant,2055,57.8980343149991
941,nochange,2055,80.6480355979467
941,zeromigration,2055,57.5321320619065
941,constantfertility,2060,86.6197954254538
941,constantmortality,2060,53.7059025560195
941,highvariant,2060,63.8876687657524
941,instantreplacement,2060,48.7008022971998
941,lowvariant,2060,50.7470014250236
941,mediumvariant,2060,57.1593670077994
941,nochange,2060,82.0380066264678
941,zeromigration,2060,56.8589093843207
941,constantfertility,2065,88.2431289680835
941,constantmortality,2065,52.9263826109386
941,highvariant,2065,63.065653185797
941,instantreplacement,2065,52.2575463975655
941,lowvariant,2065,50.8758399667757
941,mediumvariant,2065,56.766112124363
941,nochange,2065,83.2143430098626
941,zeromigration,2065,56.5509184934222
941,constantfertility,2070,89.4975869377736
941,constantmortality,2070,52.412402653496
941,highvariant,2070,62.2442117853855
941,instantreplacement,2070,56.7648208344833
941,lowvariant,2070,51.5980130111622
941,mediumvariant,2070,56.6325937022609
941,nochange,2070,84.106254138918
941,zeromigration,2070,56.4911607558127
941,constantfertility,2075,90.3605397723889
941,constantmortality,2075,52.0008326158022
941,highvariant,2075,61.4670435078577
941,instantreplacement,2075,61.3838742459648
941,lowvariant,2075,52.6505873389134
941,mediumvariant,2075,56.6105431457287
941,nochange,2075,84.6813022841579
941,zeromigration,2075,56.507940975417
941,constantfertility,2080,90.8886512260866
941,constantmortality,2080,51.6136499539986
941,highvariant,2080,60.7351895109743
941,instantreplacement,2080,66.0883609259294
941,lowvariant,2080,53.9221703254664
941,mediumvariant,2080,56.6364090688249
941,nochange,2080,84.98760456001
941,zeromigration,2080,56.5505187946786
941,constantfertility,2085,91.6532187822801
941,constantmortality,2085,51.269435121431
941,highvariant,2085,60.574621861175
941,instantreplacement,2085,63.2243363788807
941,lowvariant,2085,54.7437767710434
941,mediumvariant,2085,56.8008938168112
941,nochange,2085,85.5243774261924
941,zeromigration,2085,56.7348980170268
941,constantfertility,2090,92.4899619670849
941,constantmortality,2090,50.9690094574103
941,highvariant,2090,60.6530651718266
941,instantreplacement,2090,62.0020592323297
941,lowvariant,2090,55.3715929449855
941,mediumvariant,2090,57.0643301921917
941,nochange,2090,86.1512094186422
941,zeromigration,2090,57.0359770550469
941,constantfertility,2095,93.2688207886927
941,constantmortality,2095,50.7594649290796
941,highvariant,2095,60.8433668062135
941,instantreplacement,2095,62.5118037578563
941,lowvariant,2095,56.0290559970392
941,mediumvariant,2095,57.4621721574326
941,nochange,2095,86.7406420001107
941,zeromigration,2095,57.4750054762775
941,constantfertility,2100,93.9363734409931
941,constantmortality,2100,50.6566867608245
941,highvariant,2100,60.9639779583228
941,instantreplacement,2100,64.2558640347331
941,lowvariant,2100,57.1547464359646
941,mediumvariant,2100,58.0139068719849
941,nochange,2100,87.2359256819662
941,zeromigration,2100,58.0525573547392
