country,variant,freq,year,totaldeaths
764,Estimates,5yearly,1950,1717.731
764,Estimates,5yearly,1955,1791.332
764,Estimates,5yearly,1960,1827.227
764,Estimates,5yearly,1965,1877.168
764,Estimates,5yearly,1970,1825.276
764,Estimates,5yearly,1975,1745.867
764,Estimates,5yearly,1980,1700.274
764,Estimates,5yearly,1985,1529.098
764,Estimates,5yearly,1990,1755.397
764,Estimates,5yearly,1995,2028.342
764,Estimates,5yearly,2000,2257.057
764,Estimates,5yearly,2005,2370.239
764,Estimates,5yearly,2010,2603.154
764,Constant_fertility,5yearly,2015,2852.546
764,Constant_mortality,5yearly,2015,3011.862
764,High_variant,5yearly,2015,2856.672
764,Instant_replacement,5yearly,2015,2866.075
764,Low_variant,5yearly,2015,2844.954
764,Medium_variant,5yearly,2015,2850.812
764,No_change,5yearly,2015,3013.908
764,Zero_migration,5yearly,2015,2848.702
764,Constant_fertility,5yearly,2020,3125.504
764,Constant_mortality,5yearly,2020,3435.291
764,High_variant,5yearly,2020,3131.793
764,Instant_replacement,5yearly,2020,3139.109
764,Low_variant,5yearly,2020,3114.298
764,Medium_variant,5yearly,2020,3123.046
764,No_change,5yearly,2020,3438.636
764,Zero_migration,5yearly,2020,3116.962
764,Constant_fertility,5yearly,2025,3412.124
764,Constant_mortality,5yearly,2025,3875.177
764,High_variant,5yearly,2025,3420.534
764,Instant_replacement,5yearly,2025,3426.256
764,Low_variant,5yearly,2025,3399.352
764,Medium_variant,5yearly,2025,3409.944
764,No_change,5yearly,2025,3878.52
764,Zero_migration,5yearly,2025,3399.844
764,Constant_fertility,5yearly,2030,3723.28
764,Constant_mortality,5yearly,2030,4329.006
764,High_variant,5yearly,2030,3732.889
764,Instant_replacement,5yearly,2030,3739.208
764,Low_variant,5yearly,2030,3710.097
764,Medium_variant,5yearly,2030,3721.432
764,No_change,5yearly,2030,4332.148
764,Zero_migration,5yearly,2030,3706.574
764,Constant_fertility,5yearly,2035,4049.02
764,Constant_mortality,5yearly,2035,4769.618
764,High_variant,5yearly,2035,4060.809
764,Instant_replacement,5yearly,2035,4069.045
764,Low_variant,5yearly,2035,4033.832
764,Medium_variant,5yearly,2035,4047.094
764,No_change,5yearly,2035,4773.055
764,Zero_migration,5yearly,2035,4025.854
764,Constant_fertility,5yearly,2040,4359.246
764,Constant_mortality,5yearly,2040,5139.918
764,High_variant,5yearly,2040,4373.958
764,Instant_replacement,5yearly,2040,4384.284
764,Low_variant,5yearly,2040,4341.094
764,Medium_variant,5yearly,2040,4357.053
764,No_change,5yearly,2040,5144.022
764,Zero_migration,5yearly,2040,4326.785
764,Constant_fertility,5yearly,2045,4605.476
764,Constant_mortality,5yearly,2045,5380.908
764,High_variant,5yearly,2045,4623.876
764,Instant_replacement,5yearly,2045,4636.525
764,Low_variant,5yearly,2045,4583.519
764,Medium_variant,5yearly,2045,4602.901
764,No_change,5yearly,2045,5386.082
764,Zero_migration,5yearly,2045,4560.279
764,Constant_fertility,5yearly,2050,4741.861
764,Constant_mortality,5yearly,2050,5460.485
764,High_variant,5yearly,2050,4764.31
764,Instant_replacement,5yearly,2050,4778.825
764,Low_variant,5yearly,2050,4715.838
764,Medium_variant,5yearly,2050,4738.933
764,No_change,5yearly,2050,5466.951
764,Zero_migration,5yearly,2050,4679.934
764,Constant_fertility,5yearly,2055,4756.346
764,Constant_mortality,5yearly,2055,5388.907
764,High_variant,5yearly,2055,4782.966
764,Instant_replacement,5yearly,2055,4798.98
764,Low_variant,5yearly,2055,4726.246
764,Medium_variant,5yearly,2055,4753.163
764,No_change,5yearly,2055,5396.531
764,Zero_migration,5yearly,2055,4672.881
764,Constant_fertility,5yearly,2060,4672.236
764,Constant_mortality,5yearly,2060,5203.208
764,High_variant,5yearly,2060,4703.684
764,Instant_replacement,5yearly,2060,4721.985
764,Low_variant,5yearly,2060,4637.392
764,Medium_variant,5yearly,2060,4668.783
764,No_change,5yearly,2060,5211.78
764,Zero_migration,5yearly,2060,4563.836
764,Constant_fertility,5yearly,2065,4512.106
764,Constant_mortality,5yearly,2065,4948.473
764,High_variant,5yearly,2065,4549.628
764,Instant_replacement,5yearly,2065,4571.832
764,Low_variant,5yearly,2065,4470.844
764,Medium_variant,5yearly,2065,4508.096
764,No_change,5yearly,2065,4958.302
