variant,region,year,totaldeaths,gender
Estimates,948,1950,14990.694,male
Estimates,948,1950,13856.594,female
Estimates,948,1951,14953.778,male
Estimates,948,1951,13833.883,female
Estimates,948,1952,14884.768,male
Estimates,948,1952,13791.294,female
Estimates,948,1953,14825.395,male
Estimates,948,1953,13754.35,female
Estimates,948,1954,14775.656,male
Estimates,948,1954,13723.075,female
Estimates,948,1955,14735.419,male
Estimates,948,1955,13697.33,female
Estimates,948,1956,14704.3,male
Estimates,948,1956,13676.758,female
Estimates,948,1957,14681.73,male
Estimates,948,1957,13660.882,female
Estimates,948,1958,14666.702,male
Estimates,948,1958,13648.805,female
Estimates,948,1959,14657.352,male
Estimates,948,1959,13638.886,female
Estimates,948,1960,14651.655,male
Estimates,948,1960,13629.348,female
Estimates,948,1961,14647.607,male
Estimates,948,1961,13618.445,female
Estimates,948,1962,14643.498,male
Estimates,948,1962,13604.771,female
Estimates,948,1963,14638.692,male
Estimates,948,1963,13587.914,female
Estimates,948,1964,14633.995,male
Estimates,948,1964,13568.79,female
Estimates,948,1965,14632.626,male
Estimates,948,1965,13550.742,female
Estimates,948,1966,14639.123,male
Estimates,948,1966,13538.33,female
Estimates,948,1967,14656.97,male
Estimates,948,1967,13534.79,female
Estimates,948,1968,14687.779,male
Estimates,948,1968,13541.427,female
Estimates,948,1969,14730.883,male
Estimates,948,1969,13557.322,female
Estimates,948,1970,14782.968,male
Estimates,948,1970,13578.672,female
Estimates,948,1971,14838.959,male
Estimates,948,1971,13599.883,female
Estimates,948,1972,14893.876,male
Estimates,948,1972,13615.77,female
Estimates,948,1973,14944.478,male
Estimates,948,1973,13623.104,female
Estimates,948,1974,14990.194,male
Estimates,948,1974,13621.523,female
Estimates,948,1975,15033.252,male
Estimates,948,1975,13612.445,female
Estimates,948,1976,15077.925,male
Estimates,948,1976,13599.107,female
Estimates,948,1977,15128.824,male
Estimates,948,1977,13586.896,female
Estimates,948,1978,15188.725,male
Estimates,948,1978,13580.535,female
Estimates,948,1979,15257.536,male
Estimates,948,1979,13582.598,female
Estimates,948,1980,15332.679,male
Estimates,948,1980,13595.396,female
Estimates,948,1981,15409.841,male
Estimates,948,1981,13620.059,female
Estimates,948,1982,15484.685,male
Estimates,948,1982,13655.134,female
Estimates,948,1983,15554.506,male
Estimates,948,1983,13698.914,female
Estimates,948,1984,15619.148,male
Estimates,948,1984,13750.372,female
Estimates,948,1985,15680.611,male
Estimates,948,1985,13807.906,female
Estimates,948,1986,15742.515,male
Estimates,948,1986,13869.601,female
Estimates,948,1987,15809.039,male
Estimates,948,1987,13933.659,female
Estimates,948,1988,15883.121,male
Estimates,948,1988,13998.652,female
Estimates,948,1989,15965.37,male
Estimates,948,1989,14063.717,female
Estimates,948,1990,16054.897,male
Estimates,948,1990,14128.328,female
Estimates,948,1991,16149.455,male
Estimates,948,1991,14192.553,female
Estimates,948,1992,16245.838,male
Estimates,948,1992,14257.693,female
Estimates,948,1993,16341.699,male
Estimates,948,1993,14325.088,female
Estimates,948,1994,16436.377,male
Estimates,948,1994,14395.555,female
Estimates,948,1995,16530.906,male
Estimates,948,1995,14471.628,female
Estimates,948,1996,16627.389,male
Estimates,948,1996,14556.197,female
Estimates,948,1997,16727.615,male
Estimates,948,1997,14649.665,female
Estimates,948,1998,16832.022,male
Estimates,948,1998,14750.572,female
Estimates,948,1999,16939.495,male
Estimates,948,1999,14856.225,female
Estimates,948,2000,17046.816,male
Estimates,948,2000,14961.544,female
Estimates,948,2001,17149.782,male
Estimates,948,2001,15060.445,female
Estimates,948,2002,17245.45,male
Estimates,948,2002,15148.062,female
Estimates,948,2003,17332.534,male
Estimates,948,2003,15221.241,female
Estimates,948,2004,17411.645,male
Estimates,948,2004,15278.998,female
Estimates,948,2005,17484.109,male
Estimates,948,2005,15320.458,female
Estimates,948,2006,17552.393,male
Estimates,948,2006,15346.194,female
Estimates,948,2007,17621.2,male
Estimates,948,2007,15361.72,female
Estimates,948,2008,17695.431,male
Estimates,948,2008,15373.831,female
Estimates,948,2009,17778.864,male
Estimates,948,2009,15388.399,female
Estimates,948,2010,17875.122,male
Estimates,948,2010,15412.618,female
Estimates,948,2011,17986.782,male
Estimates,948,2011,15453.21,female
Estimates,948,2012,18114.165,male
Estimates,948,2012,15513.851,female
Estimates,948,2013,18257.384,male
Estimates,948,2013,15597.003,female
Estimates,948,2014,18417.089,male
Estimates,948,2014,15704.302,female
Estimates,948,2015,18593.207,male
Estimates,948,2015,15835.364,female
Medium_variant,948,2015,18593.207,male
Medium_variant,948,2015,15835.364,female
Medium_variant,948,2016,18784.904,male
Medium_variant,948,2016,15987.543,female
Medium_variant,948,2017,18990.129,male
Medium_variant,948,2017,16155.448,female
Medium_variant,948,2018,19207.091,male
Medium_variant,948,2018,16334.439,female
Medium_variant,948,2019,19434.812,male
Medium_variant,948,2019,16522.35,female
Medium_variant,948,2020,19672.729,male
Medium_variant,948,2020,16717.678,female
Medium_variant,948,2021,19920.723,male
Medium_variant,948,2021,16919.995,female
Medium_variant,948,2022,20178.978,male
Medium_variant,948,2022,17130.462,female
Medium_variant,948,2023,20447.382,male
Medium_variant,948,2023,17350.014,female
Medium_variant,948,2024,20725.384,male
Medium_variant,948,2024,17578.712,female
Medium_variant,948,2025,21012.369,male
Medium_variant,948,2025,17816.742,female
Medium_variant,948,2026,21307.748,male
Medium_variant,948,2026,18064.459,female
Medium_variant,948,2027,21611.208,male
Medium_variant,948,2027,18322.206,female
Medium_variant,948,2028,21922.484,male
Medium_variant,948,2028,18590.237,female
Medium_variant,948,2029,22241.344,male
Medium_variant,948,2029,18868.605,female
Medium_variant,948,2030,22568.205,male
Medium_variant,948,2030,19157.195,female
Medium_variant,948,2031,22903.801,male
Medium_variant,948,2031,19455.798,female
Medium_variant,948,2032,23248.488,male
Medium_variant,948,2032,19764.128,female
Medium_variant,948,2033,23602.052,male
Medium_variant,948,2033,20081.927,female
Medium_variant,948,2034,23963.679,male
Medium_variant,948,2034,20409.135,female
Medium_variant,948,2035,24332.235,male
Medium_variant,948,2035,20746.06,female
Medium_variant,948,2036,24706.413,male
Medium_variant,948,2036,21093.216,female
Medium_variant,948,2037,25084.836,male
Medium_variant,948,2037,21450.744,female
Medium_variant,948,2038,25466.281,male
Medium_variant,948,2038,21818.427,female
Medium_variant,948,2039,25849.909,male
Medium_variant,948,2039,22195.69,female
Medium_variant,948,2040,26235.705,male
Medium_variant,948,2040,22581.987,female
Medium_variant,948,2041,26624.312,male
Medium_variant,948,2041,22976.735,female
Medium_variant,948,2042,27016.365,male
Medium_variant,948,2042,23378.983,female
Medium_variant,948,2043,27411.838,male
Medium_variant,948,2043,23787.62,female
Medium_variant,948,2044,27809.876,male
Medium_variant,948,2044,24201.602,female
Medium_variant,948,2045,28208.842,male
Medium_variant,948,2045,24620.101,female
Medium_variant,948,2046,28606.791,male
Medium_variant,948,2046,25042.597,female
Medium_variant,948,2047,29002.448,male
Medium_variant,948,2047,25468.875,female
Medium_variant,948,2048,29395.139,male
Medium_variant,948,2048,25898.559,female
Medium_variant,948,2049,29784.923,male
Medium_variant,948,2049,26330.998,female
Medium_variant,948,2050,30172.414,male
Medium_variant,948,2050,26765.75,female
Medium_variant,948,2051,30558.826,male
Medium_variant,948,2051,27202.615,female
Medium_variant,948,2052,30946.132,male
Medium_variant,948,2052,27641.579,female
Medium_variant,948,2053,31336.118,male
Medium_variant,948,2053,28082.48,female
Medium_variant,948,2054,31729.85,male
Medium_variant,948,2054,28524.892,female
Medium_variant,948,2055,32129.023,male
Medium_variant,948,2055,28968.779,female
Medium_variant,948,2056,32535.15,male
Medium_variant,948,2056,29414.217,female
Medium_variant,948,2057,32947.688,male
Medium_variant,948,2057,29861.057,female
Medium_variant,948,2058,33365.224,male
Medium_variant,948,2058,30308.84,female
Medium_variant,948,2059,33786.036,male
Medium_variant,948,2059,30756.808,female
Medium_variant,948,2060,34207.225,male
Medium_variant,948,2060,31204.149,female
Medium_variant,948,2061,34625.444,male
Medium_variant,948,2061,31650.112,female
Medium_variant,948,2062,35037.946,male
Medium_variant,948,2062,32094.021,female
Medium_variant,948,2063,35442.817,male
Medium_variant,948,2063,32535.171,female
Medium_variant,948,2064,35839.189,male
Medium_variant,948,2064,32972.861,female
Medium_variant,948,2065,36227.616,male
Medium_variant,948,2065,33407.164,female
Medium_variant,948,2066,36609.929,male
Medium_variant,948,2066,33838.549,female
Medium_variant,948,2067,36988.798,male
Medium_variant,948,2067,34267.222,female
Medium_variant,948,2068,37366.079,male
Medium_variant,948,2068,34692.746,female
Medium_variant,948,2069,37742.036,male
Medium_variant,948,2069,35114.035,female
Medium_variant,948,2070,38116.385,male
Medium_variant,948,2070,35529.516,female
Medium_variant,948,2071,38488.202,male
Medium_variant,948,2071,35937.516,female
Medium_variant,948,2072,38855.796,male
Medium_variant,948,2072,36336.69,female
Medium_variant,948,2073,39217.643,male
Medium_variant,948,2073,36726.034,female
Medium_variant,948,2074,39572.933,male
Medium_variant,948,2074,37104.977,female
Medium_variant,948,2075,39921.479,male
Medium_variant,948,2075,37473.457,female
Medium_variant,948,2076,40263.579,male
Medium_variant,948,2076,37831.98,female
Medium_variant,948,2077,40599.56,male
Medium_variant,948,2077,38181.819,female
Medium_variant,948,2078,40929.258,male
Medium_variant,948,2078,38524.001,female
Medium_variant,948,2079,41251.912,male
Medium_variant,948,2079,38858.967,female
Medium_variant,948,2080,41565.576,male
Medium_variant,948,2080,39186.691,female
Medium_variant,948,2081,41867.922,male
Medium_variant,948,2081,39506.81,female
Medium_variant,948,2082,42158.138,male
Medium_variant,948,2082,39819.113,female
Medium_variant,948,2083,42436.551,male
Medium_variant,948,2083,40123.75,female
Medium_variant,948,2084,42704.469,male
Medium_variant,948,2084,40421.304,female
Medium_variant,948,2085,42964.384,male
Medium_variant,948,2085,40712.355,female
Medium_variant,948,2086,43219.543,male
Medium_variant,948,2086,40997.495,female
Medium_variant,948,2087,43473.18,male
Medium_variant,948,2087,41277.512,female
Medium_variant,948,2088,43727.869,male
Medium_variant,948,2088,41553.375,female
Medium_variant,948,2089,43984.949,male
Medium_variant,948,2089,41825.99,female
Medium_variant,948,2090,44244.503,male
Medium_variant,948,2090,42096.102,female
Medium_variant,948,2091,44505.613,male
Medium_variant,948,2091,42364.218,female
Medium_variant,948,2092,44766.961,male
Medium_variant,948,2092,42630.675,female
Medium_variant,948,2093,45027.138,male
Medium_variant,948,2093,42895.661,female
Medium_variant,948,2094,45284.765,male
Medium_variant,948,2094,43159.259,female
Medium_variant,948,2095,45539.108,male
Medium_variant,948,2095,43421.569,female
Medium_variant,948,2096,45789.801,male
Medium_variant,948,2096,43682.662,female
Medium_variant,948,2097,46036.513,male
Medium_variant,948,2097,43942.497,female
Medium_variant,948,2098,46279.153,male
Medium_variant,948,2098,44201.09,female
Medium_variant,948,2099,46517.699,male
Medium_variant,948,2099,44458.44,female
Estimates,948,1950,14990.694,male
Estimates,948,1950,13856.594,female
Estimates,948,1951,14953.778,male
Estimates,948,1951,13833.883,female
Estimates,948,1952,14884.768,male
Estimates,948,1952,13791.294,female
Estimates,948,1953,14825.395,male
Estimates,948,1953,13754.35,female
Estimates,948,1954,14775.656,male
Estimates,948,1954,13723.075,female
Estimates,948,1955,14735.419,male
Estimates,948,1955,13697.33,female
Estimates,948,1956,14704.3,male
Estimates,948,1956,13676.758,female
Estimates,948,1957,14681.73,male
Estimates,948,1957,13660.882,female
Estimates,948,1958,14666.702,male
Estimates,948,1958,13648.805,female
Estimates,948,1959,14657.352,male
Estimates,948,1959,13638.886,female
Estimates,948,1960,14651.655,male
Estimates,948,1960,13629.348,female
Estimates,948,1961,14647.607,male
Estimates,948,1961,13618.445,female
Estimates,948,1962,14643.498,male
Estimates,948,1962,13604.771,female
Estimates,948,1963,14638.692,male
Estimates,948,1963,13587.914,female
Estimates,948,1964,14633.995,male
Estimates,948,1964,13568.79,female
Estimates,948,1965,14632.626,male
