agebroad,gender,percentagetotalpopulation,country,variant,year
"Region, subregion, country or area *",female,Austria,40,estimates,1950
0_1,female,2.485,40,estimates,1950
0_4,female,6.787,40,estimates,1950
0_14,female,20.854,40,estimates,1950
0_17,female,24.443,40,estimates,1950
0_19,female,26.862,40,estimates,1950
0_24,female,33.63,40,estimates,1950
3_4,female,2.921,40,estimates,1950
3_5,female,4.421,40,estimates,1950
3_6,female,5.926,40,estimates,1950
4_5,female,2.98,40,estimates,1950
4_6,female,4.485,40,estimates,1950
5_14,female,14.067,40,estimates,1950
5_10,female,8.828,40,estimates,1950
5_11,female,10.196,40,estimates,1950
6_9,female,5.919,40,estimates,1950
6_10,female,7.328,40,estimates,1950
6_11,female,8.696,40,estimates,1950
6_12,female,10.023,40,estimates,1950
7_10,female,5.823,40,estimates,1950
7_12,female,8.518,40,estimates,1950
11_16,female,7.651,40,estimates,1950
11_17,female,8.828,40,estimates,1950
11_18,female,10.019,40,estimates,1950
12_14,female,3.871,40,estimates,1950
12_16,female,6.284,40,estimates,1950
12_17,female,7.46,40,estimates,1950
12_18,female,8.652,40,estimates,1950
13_17,female,6.133,40,estimates,1950
13_18,female,7.325,40,estimates,1950
13_19,female,8.552,40,estimates,1950
15_17,female,3.588,40,estimates,1950
18_23,female,7.696,40,estimates,1950
15_24,female,12.776,40,estimates,1950
15_49,female,49.245,40,estimates,1950
15_59,female,62.479,40,estimates,1950
15_64,female,67.869,40,estimates,1950
20_64,female,61.861,40,estimates,1950
20_69,female,66.323,40,estimates,1950
25_49,female,36.469,40,estimates,1950
25_64,female,55.093,40,estimates,1950
25_69,female,59.555,40,estimates,1950
15plus,female,79.146,40,estimates,1950
16plus,female,77.923,40,estimates,1950
17plus,female,76.734,40,estimates,1950
18plus,female,75.557,40,estimates,1950
20plus,female,73.138,40,estimates,1950
21plus,female,71.878,40,estimates,1950
25plus,female,66.37,40,estimates,1950
50plus,female,29.901,40,estimates,1950
60plus,female,16.667,40,estimates,1950
65plus,female,11.277,40,estimates,1950
70plus,female,6.814,40,estimates,1950
75plus,female,3.398,40,estimates,1950
80plus,female,1.326,40,estimates,1950
85plus,female,0.379,40,estimates,1950
90plus,female,0.066,40,estimates,1950
total,female,100,40,estimates,1950
"Region, subregion, country or area *",male,Austria,40,estimates,1950
0_1,male,3.021,40,estimates,1950
0_4,male,8.196,40,estimates,1950
0_14,male,24.97,40,estimates,1950
0_17,male,29.319,40,estimates,1950
0_19,male,32.217,40,estimates,1950
0_24,male,39.726,40,estimates,1950
3_4,male,3.508,40,estimates,1950
3_5,male,5.304,40,estimates,1950
3_6,male,7.101,40,estimates,1950
4_5,male,3.57,40,estimates,1950
4_6,male,5.368,40,estimates,1950
5_14,male,16.774,40,estimates,1950
5_10,male,10.528,40,estimates,1950
5_11,male,12.151,40,estimates,1950
6_9,male,7.058,40,estimates,1950
6_10,male,8.733,40,estimates,1950
6_11,male,10.356,40,estimates,1950
6_12,male,11.93,40,estimates,1950
7_10,male,6.936,40,estimates,1950
7_12,male,10.133,40,estimates,1950
11_16,male,9.169,40,estimates,1950
11_17,male,10.595,40,estimates,1950
11_18,male,12.031,40,estimates,1950
12_14,male,4.623,40,estimates,1950
12_16,male,7.546,40,estimates,1950
12_17,male,8.972,40,estimates,1950
12_18,male,10.408,40,estimates,1950
13_17,male,7.397,40,estimates,1950
13_18,male,8.833,40,estimates,1950
13_19,male,10.295,40,estimates,1950
15_17,male,4.349,40,estimates,1950
18_23,male,8.911,40,estimates,1950
15_24,male,14.756,40,estimates,1950
15_49,male,48.757,40,estimates,1950
15_59,male,60.976,40,estimates,1950
15_64,male,65.608,40,estimates,1950
20_64,male,58.362,40,estimates,1950
20_69,male,62.192,40,estimates,1950
25_49,male,34.001,40,estimates,1950
25_64,male,50.852,40,estimates,1950
25_69,male,54.683,40,estimates,1950
15plus,male,75.03,40,estimates,1950
16plus,male,73.551,40,estimates,1950
17plus,male,72.107,40,estimates,1950
18plus,male,70.681,40,estimates,1950
20plus,male,67.783,40,estimates,1950
21plus,male,66.3,40,estimates,1950
25plus,male,60.274,40,estimates,1950
50plus,male,26.273,40,estimates,1950
60plus,male,14.054,40,estimates,1950
65plus,male,9.422,40,estimates,1950
70plus,male,5.591,40,estimates,1950
75plus,male,2.727,40,estimates,1950
80plus,male,1.022,40,estimates,1950
85plus,male,0.266,40,estimates,1950
90plus,male,0.039,40,estimates,1950
total,male,100,40,estimates,1950
"Region, subregion, country or area *",female,Austria,40,estimates,1951
0_1,female,2.393,40,estimates,1951
0_4,female,6.493,40,estimates,1951
0_14,female,20.76,40,estimates,1951
0_17,female,24.412,40,estimates,1951
0_19,female,26.765,40,estimates,1951
0_24,female,33.227,40,estimates,1951
3_4,female,2.801,40,estimates,1951
3_5,female,4.267,40,estimates,1951
3_6,female,5.758,40,estimates,1951
4_5,female,2.894,40,estimates,1951
4_6,female,4.385,40,estimates,1951
5_14,female,14.267,40,estimates,1951
5_10,female,8.883,40,estimates,1951
5_11,female,10.291,40,estimates,1951
6_9,female,5.971,40,estimates,1951
6_10,female,7.417,40,estimates,1951
6_11,female,8.824,40,estimates,1951
6_12,female,10.19,40,estimates,1951
7_10,female,5.926,40,estimates,1951
7_12,female,8.7,40,estimates,1951
11_16,female,7.853,40,estimates,1951
11_17,female,9.036,40,estimates,1951
11_18,female,10.205,40,estimates,1951
12_14,female,3.976,40,estimates,1951
12_16,female,6.445,40,estimates,1951
12_17,female,7.629,40,estimates,1951
12_18,female,8.798,40,estimates,1951
13_17,female,6.262,40,estimates,1951
13_18,female,7.432,40,estimates,1951
13_19,female,8.616,40,estimates,1951
15_17,female,3.652,40,estimates,1951
18_23,female,7.42,40,estimates,1951
15_24,female,12.467,40,estimates,1951
15_49,female,48.755,40,estimates,1951
15_59,female,62.21,40,estimates,1951
15_64,female,67.658,40,estimates,1951
20_64,female,61.653,40,estimates,1951
20_69,female,66.171,40,estimates,1951
25_49,female,36.288,40,estimates,1951
25_64,female,55.191,40,estimates,1951
25_69,female,59.71,40,estimates,1951
15plus,female,79.24,40,estimates,1951
16plus,female,77.989,40,estimates,1951
17plus,female,76.771,40,estimates,1951
18plus,female,75.588,40,estimates,1951
20plus,female,73.235,40,estimates,1951
21plus,female,72.015,40,estimates,1951
25plus,female,66.773,40,estimates,1951
50plus,female,30.485,40,estimates,1951
